name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,0, 48.5963, 45.9827, 45.064, 43, 59.1969,,0, 1, 1.05684, 1.07838, 1.13015, 0.820926,,0, 0, 0.0537809, 0.0726853, 0.115158,-0.218137
start,0,,1, 165.718, 162.767, 152.42, 159.448, 174.896,,1, 1, 1.01813, 1.08725, 1.03932, 0.947522,,1, 0, 0.0178081, 0.0802445, 0.0378338,-0.0553842
end,128,,2, 175.473, 172.221, 204.666, 168.958, 183.843,,2, 1, 1.01888, 0.857362, 1.03856, 0.954473,,2, 0, 0.0185312,-0.166368, 0.0371262,-0.0476988
incr,1,,3, 182.684, 179.164, 213.133, 176.258, 191.12,,3, 1, 1.01965, 0.857139, 1.03646, 0.95586,,3, 0, 0.0192697,-0.166673, 0.03518,-0.0461779
num_try,122880,,4, 189.473, 186.322, 203.597, 182.588, 187.109,,4, 1, 1.01691, 0.930628, 1.03771, 1.01263,,4, 0, 0.0166307,-0.0745433, 0.0363396, 0.0124751
align,31,,5, 196.273, 192.644, 210.093, 189.511, 197.81,,5, 1, 1.01884, 0.93422, 1.03568, 0.99223,,5, 0, 0.0184878,-0.070412, 0.0344508,-0.00783127
baseline,0,,6, 203.106, 199.692, 218.786, 196.365, 204.885,,6, 1, 1.0171, 0.928332, 1.03433, 0.991315,,6, 0, 0.0168095,-0.0772005, 0.0331894,-0.00876133
rand,1,,7, 209.893, 206.724, 226.682, 203.018, 211.685,,7, 1, 1.01533, 0.925936, 1.03386, 0.991537,,7, 0, 0.0151005,-0.0799877, 0.0327548,-0.00853556
rand_align,1,,8, 216.365, 213.081, 222.12, 209.71, 205.725,,8, 1, 1.01541, 0.974091, 1.03173, 1.05172,,8, 0, 0.0151794,-0.0265978, 0.0307576, 0.0491739
seed,0,,9, 223.111, 219.211, 228.248, 216.051, 216.018,,9, 1, 1.01779, 0.977496, 1.03268, 1.03284,,9, 0, 0.0174838,-0.0230216, 0.0316435, 0.0317942
testmask,0,,10, 229.753, 226.235, 234.91, 222.114, 222.91,,10, 1, 1.01555, 0.978045, 1.03439, 1.0307,,10, 0, 0.0153114,-0.0224478, 0.0332503, 0.0297837
clock,500,,11, 236.393, 232.559, 242.788, 229.182, 229.276,,11, 1, 1.01649, 0.973663, 1.03147, 1.03104,,11, 0, 0.0162201,-0.0270493, 0.0305059, 0.0301072
=====,,,12, 242.727, 239.256, 239.194, 235.515, 222.381,,12, 1, 1.01451, 1.01477, 1.03062, 1.09149,,12, 0, 0.0143021, 0.0145548, 0.029713, 0.0838215
Totals:,,,13, 249.467, 245.604, 246.285, 242.147, 232.484,,13, 1, 1.01573, 1.01292, 1.03023, 1.07305,,13, 0, 0.0154864, 0.0127567, 0.0293403, 0.0680767
total_bytes, 8256,,14, 255.713, 252.335, 251.071, 247.953, 238.821,,14, 1, 1.01339, 1.01849, 1.0313, 1.07073,,14, 0, 0.0132108, 0.0181546, 0.0303491, 0.0660595
best_test,lxDw,,15, 262.51, 258.32, 259.238, 255.056, 245.192,,15, 1, 1.01622, 1.01262, 1.02922, 1.07063,,15, 0, 0.0159635, 0.0124651, 0.0283949, 0.0659717
best_total, 48856.4,,16, 268.708, 264.514, 255.552, 260.863, 238.732,,16, 1, 1.01586, 1.05148, 1.03007, 1.12556,,16, 0, 0.0156097, 0.0489622, 0.0291959, 0.111557
worst_test,local,,17, 274.964, 271.594, 261.301, 267.438, 248.374,,17, 1, 1.01241, 1.05229, 1.02814, 1.10706,,17, 0, 0.0122558, 0.0496914, 0.0273704, 0.0967051
worst_total, 64540.3,,18, 281.376, 277.724, 267.465, 273.15, 255.148,,18, 1, 1.01315, 1.05201, 1.03011, 1.10279,,18, 0, 0.0129777, 0.0494404, 0.0292337, 0.0932129
