name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,0, 45.709, 42.7862, 45.064, 43, 53.2522,,0, 1, 1.06831, 1.01431, 1.063, 0.85835,,0, 0, 0.0639443, 0.0141101, 0.0592661,-0.165026
start,0,,1, 161.918, 158.168, 151.458, 158.711, 167.907,,1, 1, 1.02371, 1.06906, 1.02021, 0.964332,,1, 0, 0.023162, 0.0646023, 0.0198083,-0.0369871
end,128,,2, 168.849, 165.254, 203.932, 166.006, 175.184,,2, 1, 1.02175, 0.827967, 1.01712, 0.963836,,2, 0, 0.0212871,-0.207778, 0.0168367,-0.0375208
incr,1,,3, 173.188, 169.268, 210.126, 170.086, 179.521,,3, 1, 1.02316, 0.824212, 1.01824, 0.964726,,3, 0, 0.0226338,-0.21328, 0.0179138,-0.0365633
num_try,122880,,4, 177.463, 173.848, 192.123, 173.962, 169.442,,4, 1, 1.0208, 0.923699, 1.02013, 1.04734,,4, 0, 0.0203735,-0.082604, 0.0197298, 0.0452001
align,0,,5, 181.233, 177.596, 196.25, 177.918, 177.812,,5, 1, 1.02048, 0.923481, 1.01863, 1.01924,,5, 0, 0.0200684,-0.0828592, 0.0182918, 0.0188777
baseline,0,,6, 185.387, 181.766, 202.853, 182.154, 181.967,,6, 1, 1.01992, 0.913897, 1.01775, 1.01879,,6, 0, 0.0195339,-0.0942156, 0.0174422, 0.0184469
rand,1,,7, 189.521, 185.5, 207.812, 186.232, 185.871,,7, 1, 1.02168, 0.911982, 1.01766, 1.01964,,7, 0, 0.0212156,-0.096513, 0.0173527, 0.0192577
rand_align,0,,8, 193.573, 190.213, 199.749, 189.913, 177.45,,8, 1, 1.01766, 0.969078, 1.01927, 1.09086,,8, 0, 0.0173565,-0.0319087, 0.018906, 0.0832918
seed,0,,9, 197.789, 193.936, 203.021, 193.706, 185.85,,9, 1, 1.01987, 0.974225, 1.02108, 1.06424,,9, 0, 0.0194796,-0.026457, 0.0206415, 0.0603624
testmask,0,,10, 201.71, 197.99, 206.398, 197.557, 189.368,,10, 1, 1.01879, 0.977287, 1.02102, 1.06517,,10, 0, 0.0184399,-0.0232404, 0.0205889, 0.061187
clock,500,,11, 205.852, 201.778, 212.049, 201.935, 193.757,,11, 1, 1.02019, 0.970772, 1.01939, 1.06242,,11, 0, 0.0197902,-0.030108, 0.0190248, 0.0587531
=====,,,12, 210.121, 205.854, 204.535, 205.585, 182.121,,12, 1, 1.02073, 1.02731, 1.02206, 1.15374,,12, 0, 0.0203071, 0.0265841, 0.0215864, 0.133257
Totals:,,,13, 213.921, 210.147, 208.042, 209.003, 189.954,,13, 1, 1.01796, 1.02826, 1.02353, 1.12617,,13, 0, 0.017644, 0.0274809, 0.0229903, 0.112037
total_bytes, 8256,,14, 217.663, 213.854, 210.262, 213.202, 194.465,,14, 1, 1.01781, 1.0352, 1.02092, 1.11929,,14, 0, 0.0175022, 0.0340052, 0.0204942, 0.10658
best_test,lxDw,,15, 221.98, 217.492, 216.386, 217.304, 198.114,,15, 1, 1.02064, 1.02585, 1.02152, 1.12046,,15, 0, 0.0202179, 0.0252004, 0.0210643, 0.107511
best_total, 44714.3,,16, 225.818, 221.744, 208.939, 221.071, 187.198,,16, 1, 1.01838, 1.08079, 1.02148, 1.20631,,16, 0, 0.0180451, 0.0747498, 0.0210238, 0.171024
worst_test,local,,17, 229.872, 225.773, 211.936, 224.392, 195.054,,17, 1, 1.01816, 1.08463, 1.02442, 1.1785,,17, 0, 0.0178335, 0.0780279, 0.0238389, 0.151466
worst_total, 62515.1,,18, 233.468, 229.448, 214.692, 228.647, 198.887,,18, 1, 1.01752, 1.08746, 1.02108, 1.17387,,18, 0, 0.0172198, 0.0804226, 0.0206484, 0.148117
total_local, 62515.1,,19, 237.703, 233.131, 220.143, 232.495, 202.92,,19, 1, 1.01961, 1.07977, 1.0224, 1.17141,,19, 0, 0.0192343, 0.0738738, 0.0219073, 0.146328
total_i386, 61856.6,,20, 241.425, 237.206, 212.925, 236.248, 192.024,,20, 1, 1.01779, 1.13385, 1.02191, 1.25727,,20, 0, 0.0174771, 0.118049, 0.0214421, 0.204623
total_i686, 45520.3,,21, 245.427, 241.116, 215.848, 239.36, 199.513,,21, 1, 1.01788, 1.13704, 1.02535, 1.23013,,21, 0, 0.0175659, 0.12052, 0.0247204, 0.187077
total_lxCond, 61289.3,,22, 248.782, 244.853, 219.646, 243.473, 203.593,,22, 1, 1.01605, 1.13265, 1.0218, 1.22196,,22, 0, 0.0157918, 0.117114, 0.0213394, 0.181642
total_lxDw, 44714.3,,23, 253.024, 248.447, 224.179, 247.437, 207.345,,23, 1, 1.01842, 1.12867, 1.02258, 1.2203,,23, 0, 0.0180878, 0.114001, 0.0220802, 0.180532
ratio_local, 1,,24, 256.672, 252.54, 217.584, 251.188, 196.596,,24, 1, 1.01636, 1.17965, 1.02184, 1.30558,,24, 0, 0.0160984, 0.152288, 0.0213695, 0.234057
ratio_i386, 1.01065,,25, 260.561, 256.434, 220.509, 254.59, 204.337,,25, 1, 1.01609, 1.18163, 1.02345, 1.27515,,25, 0, 0.0158389, 0.153714, 0.022915, 0.21578
ratio_i686, 1.37335,,26, 263.939, 259.835, 222.884, 258.387, 208.064,,26, 1, 1.0158, 1.1842, 1.02149, 1.26855,,26, 0, 0.01555, 0.15555, 0.0210369, 0.211697
ratio_lxCond, 1.02,,27, 267.978, 263.408, 228.095, 262.105, 211.631,,27, 1, 1.01735, 1.17485, 1.02241, 1.26625,,27, 0, 0.0170528, 0.14883, 0.0219159, 0.210266
ratio_lxDw, 1.3981,,28, 271.494, 267.256, 225.121, 265.601, 201.087,,28, 1, 1.01586, 1.20599, 1.02218, 1.35013,,28, 0, 0.0156105, 0.170804, 0.0217033, 0.259332
,,,29, 275.413, 271.154, 228.568, 269.116, 208.697,,29, 1, 1.01571, 1.20495, 1.0234, 1.31968,,29, 0, 0.0154644, 0.170088, 0.0228644, 0.242238
,,,30, 279.058, 274.496, 230.233, 272.792, 212.421,,30, 1, 1.01662, 1.21206, 1.02297, 1.3137,,30, 0, 0.0163449, 0.174962, 0.022454, 0.238793
,,,31, 282.664, 278.419, 236.016, 276.307, 216.265,,31, 1, 1.01525, 1.19765, 1.02301, 1.30702,,31, 0, 0.0150168, 0.165028, 0.0224885, 0.234903
,,,32, 286.234, 282.104, 227.609, 280.281, 206.293,,32, 1, 1.01464, 1.25757, 1.02124, 1.38751,,32, 0, 0.0144301, 0.204815, 0.0207972, 0.279286
,,,33, 369.157, 364.199, 308.816, 362.574, 291.554,,33, 1, 1.01361, 1.19539, 1.01816, 1.26617,,33, 0, 0.01343, 0.163456, 0.017833, 0.210217
,,,34, 375.784, 370.577, 311.454, 367.969, 297.865,,34, 1, 1.01405, 1.20655, 1.02124, 1.26159,,34, 0, 0.0138562, 0.171189, 0.0207962, 0.20735
,,,35, 379.018, 374.235, 316.32, 371.611, 301.522,,35, 1, 1.01278, 1.19821, 1.01993, 1.25702,,35, 0, 0.0126179, 0.165421, 0.0195407, 0.204465
,,,36, 382.61, 378.098, 300.146, 375.942, 289.358,,36, 1, 1.01193, 1.27475, 1.01774, 1.32227,,36, 0, 0.0117925, 0.215532, 0.0174282, 0.243726
,,,37, 385.529, 381.237, 303.474, 379.588, 296.797,,37, 1, 1.01126, 1.27039, 1.01565, 1.29897,,37, 0, 0.0111348, 0.212837, 0.0154111, 0.230157
,,,38, 389.379, 384.798, 309.064, 382.451, 300.435,,38, 1, 1.01191, 1.25987, 1.01811, 1.29605,,38, 0, 0.011766, 0.206265, 0.0177922, 0.228427
,,,39, 393.453, 388.225, 313.414, 385.666, 303.899,,39, 1, 1.01347, 1.25538, 1.02019, 1.29468,,39, 0, 0.0132873, 0.203428, 0.0197916, 0.227611
,,,40, 396.945, 391.365, 306.132, 389.021, 296.721,,40, 1, 1.01426, 1.29665, 1.02037, 1.33777,,40, 0, 0.0140572, 0.22878, 0.0199634, 0.252488
,,,41, 400.634, 396.181, 309.169, 391.626, 303.566,,41, 1, 1.01124, 1.29584, 1.023, 1.31976,,41, 0, 0.0111145, 0.228301, 0.0224829, 0.242286
,,,42, 403.835, 398.725, 312.642, 396.382, 307.014,,42, 1, 1.01282, 1.29169, 1.0188, 1.31536,,42, 0, 0.0126544, 0.225818, 0.0184557, 0.239753
,,,43, 406.711, 402.824, 317.405, 399.553, 310.269,,43, 1, 1.00965, 1.28136, 1.01791, 1.31083,,43, 0, 0.00955719, 0.219581, 0.0175992, 0.237127
,,,44, 410.318, 405.755, 310.974, 402.845, 300.773,,44, 1, 1.01125, 1.31946, 1.01855, 1.36421,,44, 0, 0.011121, 0.242114, 0.0182113, 0.266976
,,,45, 414.312, 408.427, 314.124, 406.358, 307.758,,45, 1, 1.01441, 1.31895, 1.01957, 1.34623,,45, 0, 0.0142046, 0.241819, 0.0191985, 0.257183
,,,46, 417.762, 412.205, 315.534, 409.192, 311.054,,46, 1, 1.01348, 1.32398, 1.02094, 1.34305,,46, 0, 0.013303, 0.244704, 0.020514, 0.255428
,,,47, 421.184, 416.22, 320.779, 412.415, 314.286,,47, 1, 1.01193, 1.31301, 1.02126, 1.34013,,47, 0, 0.0117863, 0.238389, 0.0208211, 0.253804
,,,48, 424.13, 419.049, 314.701, 415.805, 305.292,,48, 1, 1.01213, 1.34773, 1.02002, 1.38926,,48, 0, 0.0119816, 0.258009, 0.01963, 0.280193
,,,49, 427.758, 422.899, 316.923, 419.034, 311.682,,49, 1, 1.01149, 1.34972, 1.02082, 1.37242,,49, 0, 0.0113607, 0.259108, 0.0203959, 0.271359
,,,50, 430.272, 425.512, 319.253, 422.886, 314.974,,50, 1, 1.01119, 1.34775, 1.01747, 1.36605,,50, 0, 0.0110621, 0.258021, 0.0171658, 0.267964
,,,51, 434.271, 428.357, 323.817, 425.127, 318.382,,51, 1, 1.0138, 1.3411, 1.02151, 1.36399,,51, 0, 0.0136169, 0.254344, 0.0210544, 0.266858
,,,52, 437.14, 432.318, 318.574, 428.223, 309.726,,52, 1, 1.01115, 1.37218, 1.02082, 1.41138,,52, 0, 0.0110299, 0.27123, 0.0203988, 0.291472
,,,53, 440.763, 434.958, 320.48, 431.842, 316.334,,53, 1, 1.01335, 1.37532, 1.02066, 1.39335,,53, 0, 0.013171, 0.272896, 0.0202392, 0.282303
,,,54, 444.188, 439.177, 324.139, 435.256, 319.515,,54, 1, 1.01141, 1.37036, 1.02052, 1.39019,,54, 0, 0.0112799, 0.270266, 0.0201078, 0.280675
,,,55, 446.672, 442.261, 327.205, 437.776, 322.824,,55, 1, 1.00997, 1.36511, 1.02032, 1.38364,,55, 0, 0.0098755, 0.267459, 0.0199166, 0.277269
,,,56, 450.339, 444.22, 318.198, 440.976, 313.288,,56, 1, 1.01377, 1.41528, 1.02123, 1.43746,,56, 0, 0.0135868, 0.293425, 0.0207902, 0.304327
,,,57, 453.73, 447.845, 324.344, 443.217, 320.282,,57, 1, 1.01314, 1.39892, 1.02372, 1.41666,,57, 0, 0.0129706, 0.285162, 0.0231711, 0.294114
,,,58, 456.513, 451.546, 326.998, 446.822, 323.725,,58, 1, 1.011, 1.39607, 1.02169, 1.41019,,58, 0, 0.0108806, 0.283704, 0.0212284, 0.290875
,,,59, 459.888, 454.854, 330.84, 450.506, 326.463,,59, 1, 1.01107, 1.39006, 1.02083, 1.4087,,59, 0, 0.010946, 0.280607, 0.0204003, 0.290125
,,,60, 462.538, 457.293, 329.19, 453.259, 318.233,,60, 1, 1.01147, 1.40508, 1.02047, 1.45346,,60, 0, 0.0113403, 0.288296, 0.0200609, 0.311985
,,,61, 464.949, 460.358, 329.46, 456.154, 324.471,,61, 1, 1.00997, 1.41124, 1.01928, 1.43295,,61, 0, 0.00987484, 0.291405, 0.0189168, 0.302137
,,,62, 468.329, 463.436, 333.417, 458.506, 327.295,,62, 1, 1.01056, 1.40464, 1.02142, 1.43091,,62, 0, 0.0104492, 0.288072, 0.0209754, 0.301144
,,,63, 471.99, 467.164, 338.138, 460.966, 330.513,,63, 1, 1.01033, 1.39585, 1.02391, 1.42805,,63, 0, 0.0102243, 0.283591, 0.0233554, 0.299746
,,,64, 474.84, 469.157, 338.018, 464.686, 322.251,,64, 1, 1.01211, 1.40478, 1.02185, 1.47351,,64, 0, 0.0119681, 0.288143, 0.0213845, 0.321347
,,,65, 544.126, 539.749, 405.012, 532.904, 391.974,,65, 1, 1.00811, 1.34348, 1.02106, 1.38817,,65, 0, 0.00804405, 0.255665, 0.0206247, 0.279627
,,,66, 548.371, 543.335, 405.755, 536.293, 396.343,,66, 1, 1.00927, 1.35148, 1.02252, 1.38358,,66, 0, 0.00918354, 0.260071, 0.0220246, 0.277236
