name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,3, 138.105, 133.395, 154.049, 131.847, 149.728,,3, 1, 1.03531, 0.896502, 1.04747, 0.922376,,3, 0, 0.0341093,-0.115446, 0.0453189,-0.0841565
start,3,,36, 312.522, 308.463, 264.725, 305.923, 248.055,,36, 1, 1.01316, 1.18055, 1.02157, 1.25989,,36, 0, 0.012987, 0.152938, 0.0211148, 0.206278
end,2049,,69, 484.913, 481.371, 385.994, 477.142, 354.734,,69, 1, 1.00736, 1.25627, 1.01629, 1.36698,,69, 0, 0.00730553, 0.203994, 0.0160263, 0.268459
incr,33,,102, 662.839, 660.125, 497.347, 653.248, 458.286,,102, 1, 1.00411, 1.33275, 1.01468, 1.44634,,102, 0, 0.00409416, 0.249671, 0.0144695, 0.308601
num_try,30720,,135, 834.675, 828.757, 614.194, 830.607, 571.427,,135, 1, 1.00714, 1.35898, 1.0049, 1.46069,,135, 0, 0.0070903, 0.264152, 0.00487409, 0.31539
align,31,,168, 1010.63, 1005.87, 710.742, 1000.02, 669.435,,168, 1, 1.00473, 1.42194, 1.01061, 1.50968,,168, 0, 0.00470811, 0.296734, 0.0105018, 0.337607
baseline,0,,201, 1184.9, 1179.13, 831.085, 1175.24, 767.196,,201, 1, 1.00489, 1.42573, 1.00822, 1.54446,,201, 0, 0.00486997, 0.298604, 0.00815169, 0.352523
rand,1,,234, 1360.5, 1352.08, 936.211, 1349.92, 882.071,,234, 1, 1.00623, 1.4532, 1.00784, 1.5424,,234, 0, 0.00618993, 0.311864, 0.00778125, 0.351658
rand_align,1,,267, 1526.14, 1518.97, 1057.45, 1516.42, 986.898,,267, 1, 1.00472, 1.44322, 1.00641, 1.5464,,267, 0, 0.00469756, 0.307105, 0.00637027, 0.353336
seed,0,,300, 1692.07, 1686.35, 1159.29, 1675.24, 1081.64,,300, 1, 1.0034, 1.45958, 1.01005, 1.56436,,300, 0, 0.0033842, 0.314873, 0.00994789, 0.360759
testmask,0,,333, 1852.37, 1849.52, 1292.43, 1844.79, 1204.39,,333, 1, 1.00154, 1.43325, 1.00411, 1.53801,,333, 0, 0.00153826, 0.302283, 0.00408929, 0.34981
clock,500,,366, 2025.56, 2020.83, 1410.21, 2019.33, 1331.53,,366, 1, 1.00234, 1.43635, 1.00309, 1.52123,,366, 0, 0.00233699, 0.303793, 0.00307658, 0.342636
=====,,,399, 2180.79, 2181, 1514.4, 2177.1, 1431.63,,399, 1, 0.999904, 1.44004, 1.0017, 1.5233,,399, 0,-9.60702e-05, 0.305574, 0.00169368, 0.343528
Totals:,,,432, 2353.99, 2348.51, 1591.82, 2351.07, 1523.56,,432, 1, 1.00233, 1.4788, 1.00124, 1.54506,,432, 0, 0.00232766, 0.323776, 0.00124002, 0.352776
total_bytes, 64638,,465, 2504.1, 2505.33, 1706.75, 2494, 1631.76,,465, 1, 0.999507, 1.46717, 1.00405, 1.5346,,465, 0,-0.000493174, 0.318416, 0.0040327, 0.348364
best_test,lxDw,,498, 2665.41, 2675.11, 1830.51, 2677.65, 1705.16,,498, 1, 0.996374, 1.4561, 0.995429, 1.56315,,498, 0,-0.00363955, 0.313234,-0.00459174, 0.360265
best_total, 184885,,531, 2830.1, 2820.46, 1944.05, 2829.08, 1836.77,,531, 1, 1.00342, 1.45578, 1.00036, 1.5408,,531, 0, 0.00340509, 0.313081, 0.000359505, 0.350986
worst_test,local,,564, 3016.17, 3005.99, 2043.62, 3002.86, 1932.93,,564, 1, 1.00339, 1.47589, 1.00443, 1.56041,,564, 0, 0.00337448, 0.322443, 0.00441126, 0.359144
worst_total, 294372,,597, 3169.99, 3162.71, 2153.24, 3164.18, 2031.98,,597, 1, 1.0023, 1.47219, 1.00184, 1.56005,,597, 0, 0.00229686, 0.32074, 0.00183301, 0.358994
total_local, 294372,,630, 3305.17, 3308.61, 2259.63, 3296.34, 2139.78,,630, 1, 0.998961, 1.4627, 1.00268, 1.54463,,630, 0,-0.00104035, 0.316334, 0.00267175, 0.352596
total_i386, 294119,,663, 3462.43, 3471.66, 2358.53, 3466.34, 2242.52,,663, 1, 0.997341, 1.46804, 0.998871, 1.54399,,663, 0,-0.0026663, 0.318822,-0.00113014, 0.352327
total_i686, 195299,,696, 3629.34, 3619.17, 2466.71, 3618.99, 2292.31,,696, 1, 1.00281, 1.47133, 1.00286, 1.58326,,696, 0, 0.00280302, 0.320343, 0.00285079, 0.368394
total_lxCond, 293775,,729, 3755.55, 3743.41, 2563.38, 3741.25, 2430.96,,729, 1, 1.00324, 1.46508, 1.00382, 1.54488,,729, 0, 0.00323232, 0.317443, 0.0038074, 0.352701
total_lxDw, 184885,,762, 3913.1, 3895.59, 2670.66, 3908.13, 2501.24,,762, 1, 1.00449, 1.46522, 1.00127, 1.56446,,762, 0, 0.00447422, 0.317507, 0.00126862, 0.360803
ratio_local, 1,,795, 4069.59, 4069.53, 2804.59, 4057.2, 2637.1,,795, 1, 1.00002, 1.45105, 1.00305, 1.54321,,795, 0, 1.5011e-05, 0.310843, 0.00304534, 0.352
ratio_i386, 1.00086,,828, 4178.65, 4181.37, 2877.56, 4172.85, 2694.66,,828, 1, 0.999349, 1.45215, 1.00139, 1.55072,,828, 0,-0.000651291, 0.311366, 0.0013894, 0.355138
ratio_i686, 1.50729,,861, 4323.73, 4326.59, 2991.35, 4335.74, 2834.05,,861, 1, 0.999339, 1.44541, 0.99723, 1.52563,,861, 0,-0.000661474, 0.308154,-0.00277725, 0.344535
ratio_lxCond, 1.00203,,894, 4512.4, 4486.48, 3055.5, 4485.12, 2900.48,,894, 1, 1.00578, 1.47681, 1.00608, 1.55574,,894, 0, 0.00574273, 0.322866, 0.00604475, 0.35722
ratio_lxDw, 1.59219,,927, 4637.86, 4657.12, 3185.5, 4622.07, 3023.49,,927, 1, 0.995864, 1.45593, 1.00342, 1.53394,,927, 0,-0.00415278, 0.313154, 0.00340575, 0.348086
,,,960, 4745.06, 4749.53, 3236.3, 4748.29, 3070.49,,960, 1, 0.999059, 1.4662, 0.99932, 1.54538,,960, 0,-0.000941787, 0.317965,-0.000680035, 0.352908
,,,993, 4878.85, 4874.17, 3360.34, 4896.99, 3185.34,,993, 1, 1.00096, 1.45189, 0.996297, 1.53166,,993, 0, 0.000959931, 0.311244,-0.00371653, 0.347113
,,,1026, 5008.47, 5016.15, 3427.3, 5022.07, 3248.74,,1026, 1, 0.998469, 1.46134, 0.997292, 1.54166,,1026, 0,-0.00153294, 0.315699,-0.00271509, 0.35135
,,,1059, 5211.9, 5175.29, 3495.05, 5110.06, 3350.06,,1059, 1, 1.00707, 1.49123, 1.01993, 1.55576,,1059, 0, 0.00702398, 0.329411, 0.019541, 0.357229
,,,1092, 5236.23, 5281.26, 3539.69, 5270.93, 3407.99,,1092, 1, 0.991474, 1.47929, 0.993418, 1.53646,,1092, 0,-0.00859918, 0.324,-0.00662583, 0.349151
