name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,3, 126.771, 122.438, 142.007, 122.34, 136.303,,3, 1, 1.03539, 0.892712, 1.03622, 0.930068,,3, 0, 0.0341783,-0.120182, 0.0349575,-0.0751904
start,3,,36, 292.304, 287.325, 233.872, 287.198, 217.739,,36, 1, 1.01733, 1.24985, 1.01778, 1.34245,,36, 0, 0.0170348, 0.199902, 0.0174701, 0.255093
end,2049,,69, 455.794, 452.138, 345.477, 451.342, 311.22,,69, 1, 1.00809, 1.31932, 1.00986, 1.46454,,69, 0, 0.00802019, 0.242032, 0.00976687, 0.317191
incr,33,,102, 624.416, 619.117, 437.964, 618.713, 401.632,,102, 1, 1.00856, 1.42573, 1.00922, 1.5547,,102, 0, 0.00848688, 0.298603, 0.00913378, 0.356787
num_try,30720,,135, 790.791, 781.801, 542.545, 783.942, 496.579,,135, 1, 1.0115, 1.45756, 1.00874, 1.59248,,135, 0, 0.0113682, 0.313921, 0.00866024, 0.372048
align,0,,168, 954.878, 950.416, 634.015, 951.99, 593.461,,168, 1, 1.00469, 1.50608, 1.00303, 1.609,,168, 0, 0.00467206, 0.336025, 0.00302374, 0.378495
baseline,0,,201, 1120.6, 1116.4, 724.131, 1117.46, 687.891,,201, 1, 1.00377, 1.54752, 1.00281, 1.62904,,201, 0, 0.003752, 0.353804, 0.00280472, 0.386143
rand,1,,234, 1290.18, 1288.04, 821.813, 1286.99, 772.485,,234, 1, 1.00166, 1.56992, 1.00248, 1.67017,,234, 0, 0.00165941, 0.363024, 0.00247016, 0.401257
rand_align,0,,267, 1457.18, 1454.12, 929.553, 1450.96, 867.327,,267, 1, 1.00211, 1.56762, 1.00429, 1.68008,,267, 0, 0.00210494, 0.362089, 0.00427243, 0.404792
seed,0,,300, 1624.71, 1621.97, 1023.21, 1620.08, 942.568,,300, 1, 1.00169, 1.58785, 1.00285, 1.7237,,300, 0, 0.00168332, 0.370218, 0.00284457, 0.419854
testmask,0,,333, 1792.19, 1780.2, 1122.61, 1782.54, 1050.89,,333, 1, 1.00673, 1.59645, 1.00541, 1.7054,,333, 0, 0.00668771, 0.373609, 0.00538201, 0.413627
clock,500,,366, 1952.76, 1949.27, 1246.43, 1952.4, 1166.94,,366, 1, 1.00179, 1.56669, 1.00019, 1.67341,,366, 0, 0.00178913, 0.361711, 0.000185395, 0.402416
=====,,,399, 2121.27, 2109.02, 1368.91, 2107.75, 1274.73,,399, 1, 1.00581, 1.5496, 1.00641, 1.6641,,399, 0, 0.00577238, 0.354672, 0.00637309, 0.399073
Totals:,,,432, 2283.24, 2281.72, 1457.16, 2282.1, 1372.28,,432, 1, 1.00066, 1.5669, 1.0005, 1.66383,,432, 0, 0.000663503, 0.361799, 0.000497069, 0.398976
total_bytes, 64638,,465, 2447.25, 2443.66, 1539.73, 2446.36, 1478.25,,465, 1, 1.00147, 1.5894, 1.00036, 1.6555,,465, 0, 0.00146464, 0.370831, 0.000361816, 0.395955
best_test,lxDw,,498, 2602.98, 2602.66, 1635.53, 2605.65, 1553.83,,498, 1, 1.00012, 1.59153, 0.998975, 1.6752,,498, 0, 0.000122971, 0.371672,-0.00102609, 0.403057
best_total, 187691,,531, 2781.26, 2770.29, 1744.16, 2765.42, 1655.61,,531, 1, 1.00396, 1.59462, 1.00573, 1.6799,,531, 0, 0.00394702, 0.372891, 0.00569733, 0.404728
worst_test,local,,564, 2940.61, 2935.99, 1836.21, 2935.89, 1741.53,,564, 1, 1.00157, 1.60145, 1.00161, 1.68852,,564, 0, 0.00156845, 0.375567, 0.001605, 0.407764
worst_total, 313130,,597, 3103.34, 3099.37, 1944.01, 3100.83, 1840.43,,597, 1, 1.00128, 1.59636, 1.00081, 1.6862,,597, 0, 0.0012797, 0.373576, 0.000808653, 0.406951
total_local, 313130,,630, 3261.44, 3261.2, 2044.58, 3263.41, 1943.58,,630, 1, 1.00007, 1.59516, 0.999397, 1.67805,,630, 0, 7.21933e-05, 0.373105,-0.000603165, 0.404072
total_i386, 312773,,663, 3411.01, 3428.68, 2140.34, 3426.25, 2040.29,,663, 1, 0.994847, 1.59368, 0.995551, 1.67183,,663, 0,-0.00518012, 0.372522,-0.00446866, 0.401853
total_i686, 197186,,696, 3576.58, 3571.06, 2234.35, 3568.75, 2128.81,,696, 1, 1.00154, 1.60072, 1.00219, 1.68008,,696, 0, 0.00154203, 0.375283, 0.00218831, 0.404792
total_lxCond, 312586,,729, 3742.43, 3738.71, 2339.69, 3737.85, 2230.93,,729, 1, 1.00099, 1.59954, 1.00122, 1.67752,,729, 0, 0.000993637, 0.374821, 0.00122227, 0.40388
total_lxDw, 187691,,762, 3885.02, 3876.18, 2438.47, 3873.36, 2296.26,,762, 1, 1.00228, 1.59322, 1.00301, 1.69189,,762, 0, 0.00227574, 0.372339, 0.00299963, 0.408944
ratio_local, 1,,795, 4042.76, 4040.34, 2542.45, 4043.66, 2428.8,,795, 1, 1.0006, 1.5901, 0.999777, 1.66451,,795, 0, 0.000597081, 0.371111,-0.000223234, 0.399221
ratio_i386, 1.00114,,828, 4207.77, 4198.69, 2632.52, 4201.18, 2487.52,,828, 1, 1.00216, 1.59838, 1.00157, 1.69155,,828, 0, 0.00215901, 0.374367, 0.00156629, 0.408827
ratio_i686, 1.58799,,861, 4340.38, 4363.37, 2775.64, 4359.12, 2585.22,,861, 1, 0.994731, 1.56374, 0.995701, 1.67892,,861, 0,-0.00529712, 0.360508,-0.00431754, 0.40438
ratio_lxCond, 1.00174,,894, 4505.74, 4505.86, 2854.48, 4492.91, 2722.94,,894, 1, 0.999974, 1.57848, 1.00286, 1.65473,,894, 0,-2.61281e-05, 0.366479, 0.00284837, 0.395673
