Memcpy	test:
start	32768
end	131072
incr	8192
ntry	3000
bytes	memcpy	libc586	lx64	lx64si0	lx128
32768	57452	57407	44836	42955	45604
40960	73009	73033	57552	54097	58326
49152	87768	87680	69164	65190	70097
57344	102866	102588	80996	75782	81997
5536	116538	116523	91642	86514	92946
73728	131756	131758	103969	97465	105221
81920	147499	147355	116700	108663	118060
90112	163057	163022	129418	119754	130812
98304	176494	176550	139415	130337	141287
106496	191833	191807	151874	141274	153671
114688	207011	207009	164172	152254	165957
122880	222144	222223	176172	163280	178149
131072	236116	236237	187129	174029	189288
