Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	   992	  1023	     1	  1023.0
STATS	  1088	  1151	     1	  1120.0
STATS	  1536	  1599	     1	  1584.0
STATS	  1664	  1727	     2	  1702.0
STATS	  1728	  1791	     3	  1781.0
STATS	  1792	  1855	    39	  1826.0
STATS	  1856	  1919	  6954	  1885.0
STATS	  1920	  1983	  1748	  1946.0
STATS	  1984	  2047	   753	  2015.0
STATS	  2048	  2175	  1766	  2138.0
STATS	  2176	  2303	  3288	  2222.0
STATS	  2304	  2431	   694	  2361.0
STATS	  2432	  2559	  1133	  2491.0
STATS	  2560	  2687	   467	  2615.0
STATS	  2688	  2815	   518	  2769.0
STATS	  2816	  2943	   818	  2855.0
STATS	  2944	  3071	   140	  3006.0
STATS	  3072	  3199	   968	  3136.0
STATS	  3200	  3327	    93	  3261.0
STATS	  3328	  3455	   255	  3381.0
STATS	  3456	  3583	     6	  3499.0
STATS	  3584	  3711	     1	  3611.0
STATS	  3712	  3839	     2	  3775.0
STATS	  4096	  4351	     4	  4199.0
STATS	  4352	  4607	     4	  4551.0
STATS	  4608	  4863	    52	  4714.0
STATS	  4864	  5119	    46	  4973.0
STATS	  5120	  5375	    41	  5284.0
STATS	  5376	  5631	    26	  5528.0
STATS	  5632	  5887	    25	  5769.0
STATS	  5888	  6143	    18	  5967.0
STATS	  6144	  6399	     7	  6246.0
STATS	  6400	  6655	     4	  6558.0
STATS	  6656	  6911	     4	  6773.0
STATS	  6912	  7167	     8	  7023.0
STATS	  7168	  7423	     7	  7306.0
STATS	  7424	  7679	     1	  7655.0
STATS	  7680	  7935	     1	  7742.0
STATS	  7936	  8191	     2	  7983.0
STATS	  8704	  9215	     3	  8865.0
STATS	  9216	  9727	     5	  9677.0
STATS	  9728	 10239	    31	 10025.0
STATS	 10240	 10751	    32	 10498.0
STATS	 10752	 11263	    10	 10943.0
STATS	 11264	 11775	     4	 11559.0
STATS	 11776	 12287	     4	 11952.0
STATS	 12288	 12799	     2	 12447.0
STATS	 12800	 13311	     3	 13046.0
STATS	 13824	 14335	     1	 14278.0
STATS	 14336	 14847	     1	 14723.0
STATS	 14848	 15359	     1	 14937.0
STATS	 27648	 28671	     1	 28659.0
STATS	1638400	1703935	     1	1669470.0
STATS	mode	0	6954	  1885.0
STATS	mode	1	3288	  2222.0
STATS	mode	2	1766	  2138.0
STATS	mode_avg	  2014.5
STATS	summary	memcpy	1024	     2.0
STATS	start	bytes=1024	func=libc586
STATS	  1728	  1791	     6	  1772.0
STATS	  1792	  1855	  3255	  1836.0
STATS	  1856	  1919	  4906	  1880.0
STATS	  1920	  1983	  1183	  1943.0
STATS	  1984	  2047	   579	  2014.0
STATS	  2048	  2175	  2313	  2133.0
STATS	  2176	  2303	  2960	  2213.0
STATS	  2304	  2431	   721	  2368.0
STATS	  2432	  2559	   988	  2484.0
STATS	  2560	  2687	   382	  2615.0
STATS	  2688	  2815	   739	  2773.0
STATS	  2816	  2943	   407	  2854.0
STATS	  2944	  3071	   228	  3020.0
STATS	  3072	  3199	   819	  3117.0
STATS	  3200	  3327	   125	  3263.0
STATS	  3328	  3455	   291	  3362.0
STATS	  3456	  3583	     4	  3469.0
STATS	  4352	  4607	     1	  4369.0
STATS	  4608	  4863	     1	  4818.0
STATS	  4864	  5119	     1	  4888.0
STATS	  9216	  9727	     7	  9542.0
STATS	  9728	 10239	    37	  9986.0
STATS	 10240	 10751	    27	 10520.0
STATS	 10752	 11263	    11	 11040.0
STATS	 11264	 11775	     6	 11481.0
STATS	 11776	 12287	     1	 11848.0
STATS	 13312	 13823	     1	 13521.0
STATS	 15872	 16383	     1	 16145.0
STATS	mode	0	4906	  1880.0
STATS	mode	1	3255	  1836.0
STATS	mode	2	2960	  2213.0
STATS	mode_avg	  1955.8
STATS	summary	libc586	1024	     1.9
STATS	start	bytes=1024	func=lx64
STATS	  1280	  1343	     1	  1322.0
STATS	  1344	  1407	  6762	  1386.0
STATS	  1408	  1471	   992	  1428.0
STATS	  1472	  1535	   210	  1499.0
STATS	  1536	  1599	  1101	  1586.0
STATS	  1600	  1663	  1196	  1631.0
STATS	  1664	  1727	  1493	  1700.0
STATS	  1728	  1791	  2109	  1750.0
STATS	  1792	  1855	   786	  1834.0
STATS	  1856	  1919	   521	  1889.0
STATS	  1920	  1983	   368	  1947.0
STATS	  1984	  2047	   451	  2018.0
STATS	  2048	  2175	   944	  2101.0
STATS	  2176	  2303	  1046	  2244.0
STATS	  2304	  2431	   699	  2367.0
STATS	  2432	  2559	   771	  2492.0
STATS	  2560	  2687	   354	  2616.0
STATS	  2688	  2815	   109	  2739.0
STATS	  2816	  2943	    15	  2851.0
STATS	  2944	  3071	     1	  2994.0
STATS	  3072	  3199	     1	  3177.0
STATS	  3200	  3327	     2	  3259.0
STATS	  3584	  3711	     1	  3635.0
STATS	  3712	  3839	     1	  3812.0
STATS	  4096	  4351	     1	  4350.0
STATS	  9216	  9727	    12	  9497.0
STATS	  9728	 10239	    21	  9939.0
STATS	 10240	 10751	    13	 10442.0
STATS	 10752	 11263	    15	 10896.0
STATS	 11264	 11775	     2	 11561.0
STATS	 11776	 12287	     1	 11957.0
STATS	 27648	 28671	     1	 28250.0
STATS	mode	0	6762	  1386.0
STATS	mode	1	2109	  1750.0
STATS	mode	2	1493	  1700.0
STATS	mode_avg	  1505.3
STATS	summary	lx64	1024	     1.5
STATS	start	bytes=1024	func=lx64si0
STATS	  1280	  1343	    21	  1332.0
STATS	  1344	  1407	  6978	  1386.0
STATS	  1408	  1471	  1323	  1442.0
STATS	  1472	  1535	  4012	  1509.0
STATS	  1536	  1599	  1508	  1559.0
STATS	  1600	  1663	   617	  1628.0
STATS	  1664	  1727	   283	  1693.0
STATS	  1728	  1791	   250	  1759.0
STATS	  1792	  1855	   313	  1826.0
STATS	  1856	  1919	   344	  1886.0
STATS	  1920	  1983	   297	  1952.0
STATS	  1984	  2047	   393	  2017.0
STATS	  2048	  2175	  1152	  2108.0
STATS	  2176	  2303	   803	  2241.0
STATS	  2304	  2431	   831	  2368.0
STATS	  2432	  2559	   553	  2472.0
STATS	  2560	  2687	   146	  2629.0
STATS	  2688	  2815	    97	  2729.0
STATS	  2816	  2943	    10	  2849.0
STATS	  2944	  3071	     3	  2984.0
STATS	  3072	  3199	     3	  3113.0
STATS	  3840	  3967	     2	  3847.0
STATS	  3968	  4095	     1	  4072.0
STATS	  8704	  9215	     1	  9190.0
STATS	  9216	  9727	    12	  9451.0
STATS	  9728	 10239	    20	 10016.0
STATS	 10240	 10751	    12	 10457.0
STATS	 10752	 11263	     8	 10996.0
STATS	 12288	 12799	     3	 12441.0
STATS	 14336	 14847	     1	 14597.0
STATS	 55296	 57343	     1	 55625.0
STATS	102400	106495	     1	104353.0
STATS	253952	262143	     1	259212.0
STATS	mode	0	6978	  1386.0
STATS	mode	1	4012	  1509.0
STATS	mode	2	1508	  1559.0
STATS	mode_avg	  1446.4
STATS	summary	lx64si0	1024	     1.4
STATS	start	bytes=1024	func=lx128
STATS	  1344	  1407	    57	  1378.0
STATS	  1408	  1471	  5000	  1430.0
STATS	  1472	  1535	  1702	  1528.0
STATS	  1536	  1599	  2457	  1559.0
STATS	  1600	  1663	   941	  1628.0
STATS	  1664	  1727	  2566	  1699.0
STATS	  1728	  1791	   581	  1755.0
STATS	  1792	  1855	  1050	  1840.0
STATS	  1856	  1919	   431	  1885.0
STATS	  1920	  1983	   212	  1951.0
STATS	  1984	  2047	   266	  2014.0
STATS	  2048	  2175	  1022	  2118.0
STATS	  2176	  2303	   868	  2240.0
STATS	  2304	  2431	  1126	  2366.0
STATS	  2432	  2559	   881	  2491.0
STATS	  2560	  2687	   464	  2620.0
STATS	  2688	  2815	   191	  2737.0
STATS	  2816	  2943	   110	  2859.0
STATS	  3200	  3327	     1	  3237.0
STATS	  3840	  3967	     1	  3935.0
STATS	  8704	  9215	     1	  9212.0
STATS	  9216	  9727	    15	  9481.0
STATS	  9728	 10239	    24	 10024.0
STATS	 10240	 10751	    12	 10441.0
STATS	 10752	 11263	    12	 10938.0
STATS	 11264	 11775	     4	 11464.0
STATS	 11776	 12287	     2	 11863.0
STATS	 12288	 12799	     1	 12321.0
STATS	 17408	 18431	     1	 17560.0
STATS	 25600	 26623	     1	 26452.0
STATS	mode	0	5000	  1430.0
STATS	mode	1	2566	  1699.0
STATS	mode	2	2457	  1559.0
