Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  1984	  2047	  2704	  2028.0
STATS	  2048	  2175	 11762	  2080.0
STATS	  2176	  2303	  1743	  2235.0
STATS	  2304	  2431	  3051	  2346.0
STATS	  2432	  2559	   233	  2473.0
STATS	  2560	  2687	    92	  2618.0
STATS	  2688	  2815	    46	  2734.0
STATS	  2816	  2943	     4	  2891.0
STATS	  2944	  3071	     1	  2958.0
STATS	  3328	  3455	     1	  3441.0
STATS	  5632	  5887	     6	  5874.0
STATS	  5888	  6143	   129	  5997.0
STATS	  6144	  6399	    44	  6252.0
STATS	  6400	  6655	    10	  6525.0
STATS	  6656	  6911	     8	  6721.0
STATS	  6912	  7167	     1	  6983.0
STATS	  7168	  7423	     1	  7352.0
STATS	  7424	  7679	    24	  7546.0
STATS	  7680	  7935	    18	  7795.0
STATS	  7936	  8191	     5	  8057.0
STATS	  8192	  8703	     1	  8348.0
STATS	  9216	  9727	     5	  9466.0
STATS	  9728	 10239	     1	  9812.0
STATS	 10240	 10751	    20	 10706.0
STATS	 10752	 11263	    80	 10895.0
STATS	 11264	 11775	     2	 11292.0
STATS	 11776	 12287	     1	 11823.0
STATS	 12288	 12799	     1	 12359.0
STATS	 12800	 13311	     1	 13135.0
STATS	 14336	 14847	     1	 14727.0
STATS	 14848	 15359	     1	 15314.0
STATS	 15360	 15871	     1	 15680.0
STATS	 16384	 17407	     1	 17403.0
STATS	2883584	3014655	     1	2987673.0
STATS	mode	0	11762	  2080.0
STATS	mode	1	3051	  2346.0
STATS	mode	2	2704	  2028.0
STATS	mode_avg	  2118.3
STATS	summary	memcpy	1024	     2.1
STATS	start	bytes=1024	func=libc586
STATS	  1920	  1983	     5	  1965.0
STATS	  1984	  2047	  8562	  2031.0
STATS	  2048	  2175	  6570	  2095.0
STATS	  2176	  2303	  1513	  2242.0
STATS	  2304	  2431	  2966	  2335.0
STATS	  2432	  2559	   139	  2477.0
STATS	  2560	  2687	    95	  2621.0
STATS	  2688	  2815	    32	  2720.0
STATS	  2816	  2943	     7	  2867.0
STATS	  2944	  3071	     2	  2973.0
STATS	 10240	 10751	    62	 10649.0
STATS	 10752	 11263	    39	 10905.0
STATS	 11264	 11775	     1	 11321.0
STATS	 11776	 12287	     2	 12102.0
STATS	 12800	 13311	     1	 13012.0
STATS	 13312	 13823	     2	 13478.0
STATS	 15360	 15871	     1	 15488.0
STATS	 26624	 27647	     1	 26918.0
STATS	mode	0	8562	  2031.0
STATS	mode	1	6570	  2095.0
STATS	mode	2	2966	  2335.0
STATS	mode_avg	  2104.1
STATS	summary	libc586	1024	     2.1
STATS	start	bytes=1024	func=lx64
STATS	  1280	  1343	   231	  1306.0
STATS	  1344	  1407	  6092	  1380.0
STATS	  1408	  1471	  3944	  1435.0
STATS	  1472	  1535	   956	  1498.0
STATS	  1536	  1599	  1668	  1578.0
STATS	  1600	  1663	  1468	  1635.0
STATS	  1664	  1727	   984	  1691.0
STATS	  1728	  1791	   415	  1752.0
STATS	  1792	  1855	   525	  1842.0
STATS	  1856	  1919	  1429	  1893.0
STATS	  1920	  1983	  1343	  1952.0
STATS	  1984	  2047	   502	  2016.0
STATS	  2048	  2175	   328	  2094.0
STATS	  2176	  2303	    39	  2221.0
STATS	  2304	  2431	     4	  2330.0
STATS	  2432	  2559	     1	  2484.0
STATS	  2560	  2687	     1	  2659.0
STATS	  9728	 10239	    34	 10048.0
STATS	 10240	 10751	    30	 10485.0
STATS	 11264	 11775	     3	 11333.0
STATS	 11776	 12287	     1	 12262.0
STATS	 14336	 14847	     1	 14745.0
STATS	 65536	 69631	     1	 69169.0
STATS	mode	0	6092	  1380.0
STATS	mode	1	3944	  1435.0
STATS	mode	2	1668	  1578.0
STATS	mode_avg	  1426.8
STATS	summary	lx64	1024	     1.4
STATS	start	bytes=1024	func=lx64si0
STATS	  1088	  1151	     7	  1142.0
STATS	  1152	  1215	  1527	  1195.0
STATS	  1216	  1279	  4763	  1263.0
STATS	  1280	  1343	  4223	  1309.0
STATS	  1344	  1407	  1074	  1377.0
STATS	  1408	  1471	  1964	  1438.0
