Memcpy test:
start	0
end	513
incr	1
ntry	20000
STATS	start	bytes=0	func=memcpy
STATS	    72	    75	 19868	    74.0
STATS	   108	   111	    28	   110.0
STATS	   112	   115	    22	   112.0
STATS	   116	   119	    21	   118.0
STATS	   120	   123	    48	   121.0
STATS	   124	   127	     7	   124.0
STATS	   288	   303	     1	   297.0
STATS	   384	   399	     1	   386.0
STATS	   672	   703	     1	   684.0
STATS	  6144	  6399	     2	  6260.0
STATS	3276800	3407871	     1	3364342.0
STATS	mode	0	19868	    74.0
STATS	mode	1	48	   121.0
STATS	mode	2	28	   110.0
STATS	mode_avg	    74.2
STATS	summary	memcpy	0	    74.2
STATS	start	bytes=0	func=libc586
STATS	    76	    79	    72	    79.0
STATS	    80	    83	 19895	    80.0
STATS	    88	    91	    14	    89.0
STATS	   116	   119	     6	   116.0
STATS	   124	   127	     2	   126.0
STATS	   128	   135	     1	   128.0
STATS	   272	   287	     1	   286.0
STATS	  6144	  6399	     7	  6313.0
STATS	  6400	  6655	     1	  6407.0
STATS	 10752	 11263	     1	 11063.0
STATS	mode	0	19895	    80.0
STATS	mode	1	72	    79.0
STATS	mode	2	14	    89.0
STATS	mode_avg	    80.0
STATS	summary	libc586	0	    80.0
STATS	start	bytes=0	func=lx64
STATS	    92	    95	 19963	    92.0
STATS	   100	   103	    16	   102.0
STATS	   124	   127	     1	   127.0
STATS	   128	   135	     4	   129.0
STATS	   136	   143	     7	   140.0
STATS	   320	   335	     1	   334.0
STATS	  6144	  6399	     7	  6365.0
STATS	  6400	  6655	     1	  6404.0
STATS	mode	0	19963	    92.0
STATS	mode	1	16	   102.0
STATS	mode	2	7	  6365.0
STATS	mode_avg	    94.2
STATS	summary	lx64	0	    94.2
STATS	start	bytes=0	func=lx64si0
STATS	    84	    87	    30	    87.0
STATS	    88	    91	 19935	    88.0
STATS	   104	   107	    20	   106.0
STATS	   120	   123	     1	   123.0
STATS	   124	   127	     4	   125.0
STATS	   128	   135	     5	   134.0
STATS	   136	   143	     1	   136.0
STATS	   256	   271	     1	   269.0
STATS	  6144	  6399	     2	  6316.0
STATS	  9728	 10239	     1	  9920.0
STATS	mode	0	19935	    88.0
STATS	mode	1	30	    87.0
STATS	mode	2	20	   106.0
STATS	mode_avg	    88.0
STATS	summary	lx64si0	0	    88.0
STATS	start	bytes=0	func=lx128
STATS	    96	    99	 19974	    97.0
STATS	   104	   107	    20	   107.0
STATS	   144	   151	     2	   144.0
STATS	   304	   319	     1	   310.0
STATS	  6144	  6399	     2	  6289.0
STATS	  8704	  9215	     1	  8763.0
STATS	mode	0	19974	    97.0
STATS	mode	1	20	   107.0
STATS	mode	2	2	  6289.0
STATS	mode_avg	    97.6
STATS	summary	lx128	0	    97.6
STATS	start	bytes=1	func=memcpy
STATS	   128	   135	 14585	   129.0
STATS	   136	   143	  4767	   140.0
STATS	   144	   151	   162	   145.0
STATS	   152	   159	   191	   154.0
STATS	   160	   167	    45	   163.0
STATS	   168	   175	    45	   170.0
STATS	   176	   183	    11	   178.0
STATS	   184	   191	     6	   187.0
STATS	   192	   199	    16	   196.0
STATS	   200	   207	     4	   203.0
STATS	   208	   215	     1	   208.0
STATS	   216	   223	     1	   222.0
STATS	   352	   367	     1	   363.0
STATS	   464	   479	     1	   478.0
STATS	  3712	  3839	    16	  3811.0
STATS	  3840	  3967	    57	  3888.0
STATS	  3968	  4095	    12	  4028.0
STATS	  4096	  4351	    12	  4230.0
STATS	  4352	  4607	    15	  4480.0
STATS	  4608	  4863	     6	  4736.0
STATS	  4864	  5119	     1	  5077.0
STATS	  5120	  5375	     7	  5339.0
STATS	  5376	  5631	    10	  5461.0
STATS	  5632	  5887	     7	  5712.0
STATS	  5888	  6143	     5	  5981.0
STATS	  6144	  6399	     1	  6329.0
STATS	  7168	  7423	     2	  7269.0
STATS	  7680	  7935	     2	  7844.0
STATS	  8192	  8703	     2	  8677.0
STATS	  8704	  9215	     5	  8790.0
STATS	 10752	 11263	     1	 10919.0
STATS	 11776	 12287	     1	 11778.0
STATS	 12288	 12799	     1	 12789.0
STATS	 13312	 13823	     1	 13515.0
STATS	mode	0	14585	   129.0
STATS	mode	1	4767	   140.0
STATS	mode	2	191	   154.0
STATS	mode_avg	   131.9
STATS	summary	memcpy	1	   131.9
STATS	start	bytes=1	func=libc586
STATS	   124	   127	  2108	   126.0
STATS	   128	   135	 11274	   129.0
STATS	   136	   143	  6075	   140.0
STATS	   144	   151	   154	   147.0
STATS	   152	   159	   134	   155.0
STATS	   160	   167	    72	   162.0
STATS	   168	   175	    43	   169.0
STATS	   176	   183	    16	   177.0
STATS	   184	   191	     3	   188.0
STATS	   192	   199	     1	   193.0
STATS	   200	   207	     1	   203.0
STATS	   208	   215	     1	   214.0
STATS	   224	   231	     1	   229.0
STATS	   232	   239	     2	   236.0
STATS	   240	   247	     4	   244.0
STATS	   248	   255	     1	   249.0
STATS	   288	   303	     1	   295.0
STATS	   368	   383	     1	   374.0
STATS	  3584	  3711	     1	  3694.0
STATS	  3712	  3839	    43	  3767.0
STATS	  3840	  3967	    11	  3884.0
STATS	  3968	  4095	     7	  4004.0
STATS	  4096	  4351	     7	  4232.0
STATS	  4352	  4607	     7	  4478.0
STATS	  4608	  4863	     1	  4704.0
STATS	  5120	  5375	     3	  5333.0
STATS	  5376	  5631	     7	  5417.0
STATS	  5632	  5887	     4	  5760.0
STATS	  5888	  6143	     2	  5964.0
STATS	  6144	  6399	     2	  6283.0
STATS	  7168	  7423	     1	  7383.0
STATS	  7680	  7935	     1	  7933.0
STATS	  8192	  8703	     4	  8598.0
STATS	  8704	  9215	     6	  8873.0
STATS	 14336	 14847	     1	 14497.0
STATS	mode	0	11274	   129.0
STATS	mode	1	6075	   140.0
STATS	mode	2	2108	   126.0
STATS	mode_avg	   132.1
STATS	summary	libc586	1	   132.1
STATS	start	bytes=1	func=lx64
STATS	    88	    91	   156	    90.0
STATS	   104	   107	 10927	   105.0
STATS	   108	   111	  2787	   109.0
STATS	   112	   115	   445	   113.0
STATS	   116	   119	  4929	   117.0
STATS	   120	   123	   223	   121.0
STATS	   124	   127	    99	   124.0
STATS	   128	   135	    98	   131.0
STATS	   136	   143	   102	   139.0
STATS	   144	   151	    53	   147.0
STATS	   152	   159	     4	   155.0
STATS	   160	   167	    82	   160.0
STATS	   168	   175	    56	   169.0
STATS	   176	   183	     1	   178.0
STATS	   184	   191	     4	   186.0
STATS	   192	   199	     1	   192.0
STATS	   200	   207	     4	   201.0
STATS	   208	   215	     2	   210.0
STATS	   216	   223	     2	   216.0
STATS	   240	   247	     4	   242.0
