name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,0, 61, 52.9699, 46.8575, 55.5694, 46.8567,,0, 1, 1.1516, 1.30182, 1.09773, 1.30184,,0, 0, 0.131642, 0.231844, 0.0890256, 0.231857
start,0,,1, 131.778, 118.676, 116.582, 129.168, 116.319,,1, 1, 1.1104, 1.13035, 1.0202, 1.1329,,1, 0, 0.0994241, 0.115317, 0.019802, 0.117311
end,128,,2, 135.834, 122.682, 120.419, 131.977, 120.148,,2, 1, 1.1072, 1.12801, 1.02922, 1.13055,,2, 0, 0.0968228, 0.11348, 0.0283925, 0.115477
incr,1,,3, 139.02, 130.673, 124.2, 134.51, 123.589,,3, 1, 1.06387, 1.11932, 1.03352, 1.12486,,3, 0, 0.0600387, 0.106599, 0.0324368, 0.111
num_try,122880,,4, 142.654, 129.134, 127.797, 135.773, 127.51,,4, 1, 1.10469, 1.11626, 1.05068, 1.11877,,4, 0, 0.0947717, 0.104149, 0.0482359, 0.106158
align,31,,5, 146.9, 133.728, 131.822, 144.266, 131.647,,5, 1, 1.09849, 1.11438, 1.01825, 1.11586,,5, 0, 0.0896615, 0.10264, 0.0179272, 0.103831
baseline,0,,6, 150.317, 137.725, 135.53, 146.618, 134.929,,6, 1, 1.09143, 1.10911, 1.02523, 1.11405,,6, 0, 0.0837705, 0.0983732, 0.0246126, 0.102371
rand,1,,7, 154.502, 145.787, 139.293, 148.908, 138.803,,7, 1, 1.05978, 1.10919, 1.03757, 1.1131,,7, 0, 0.0564081, 0.0984381, 0.0362053, 0.101612
rand_align,1,,8, 169.743, 138.742, 142.804, 141.641, 142.55,,8, 1, 1.22345, 1.18865, 1.19841, 1.19076,,8, 0, 0.182639, 0.158707, 0.165558, 0.160201
seed,0,,9, 172.058, 142.947, 146.315, 149.482, 146.403,,9, 1, 1.20365, 1.17595, 1.15103, 1.17524,,9, 0, 0.169195, 0.14962, 0.131215, 0.149109
testmask,0,,10, 173.738, 146.952, 150.163, 151.836, 150.172,,10, 1, 1.18228, 1.157, 1.14425, 1.15693,,10, 0, 0.154175, 0.135695, 0.126065, 0.135644
clock,500,,11, 176.063, 154.96, 154.138, 154.041, 153.89,,11, 1, 1.13618, 1.14224, 1.14296, 1.14408,,11, 0, 0.11986, 0.124528, 0.12508, 0.125936
