name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,0, 61, 52.9714, 46.8571, 55.5665, 46.8573,,0, 1, 1.15156, 1.30183, 1.09778, 1.30183,,0, 0, 0.131616, 0.231851, 0.089073, 0.231848
start,0,,1, 131.527, 119.023, 117.481, 129.21, 117.508,,1, 1, 1.10505, 1.11956, 1.01793, 1.1193,,1, 0, 0.0950662, 0.106789, 0.0176097, 0.106587
end,128,,2, 133.707, 121.098, 118.92, 131.848, 118.98,,2, 1, 1.10413, 1.12435, 1.0141, 1.12378,,2, 0, 0.0943057, 0.110593, 0.013902, 0.110147
incr,1,,3, 135.955, 126.841, 121.28, 134.171, 121.335,,3, 1, 1.07185, 1.121, 1.0133, 1.12049,,3, 0, 0.067036, 0.107937, 0.0131206, 0.107532
num_try,122880,,4, 138.269, 123.704, 123.295, 134.216, 123.268,,4, 1, 1.11773, 1.12145, 1.03019, 1.12169,,4, 0, 0.105333, 0.108294, 0.0293084, 0.108491
align,0,,5, 140.037, 126.549, 125.559, 141.909, 125.545,,5, 1, 1.10658, 1.1153, 0.986806, 1.11544,,5, 0, 0.0963153, 0.103383,-0.01337, 0.10349
baseline,0,,6, 141.611, 129.06, 127, 144.377, 127.032,,6, 1, 1.09725, 1.11505, 0.980846, 1.11477,,6, 0, 0.0886298, 0.103179,-0.0195277, 0.102954
rand,1,,7, 144.126, 135.193, 129.198, 146.246, 129.485,,7, 1, 1.06607, 1.11554, 0.985501, 1.11307,,7, 0, 0.0619773, 0.103577,-0.0147118, 0.10158
rand_align,0,,8, 144.309, 125.477, 131.404, 136.721, 131.366,,8, 1, 1.15008, 1.09821, 1.0555, 1.09853,,8, 0, 0.130496, 0.0894259, 0.0525816, 0.0896886
seed,0,,9, 155.379, 133.731, 135.984, 147.683, 136.024,,9, 1, 1.16188, 1.14263, 1.05211, 1.14229,,9, 0, 0.139328, 0.124823, 0.0495335, 0.124566
testmask,0,,10, 157.485, 136.396, 138.342, 149.859, 138.297,,10, 1, 1.15461, 1.13837, 1.05089, 1.13875,,10, 0, 0.13391, 0.121554, 0.0484258, 0.121842
clock,500,,11, 159.252, 142.282, 140.21, 151.592, 140.238,,11, 1, 1.11927, 1.13581, 1.05053, 1.13558,,11, 0, 0.106558, 0.119568, 0.0480977, 0.119397
=====,,,12, 148.729, 130.479, 142.678, 141.598, 142.636,,12, 1, 1.13987, 1.04241, 1.05036, 1.04272,,12, 0, 0.122708, 0.0406826, 0.0479489, 0.0409684
Totals:,,,13, 157.469, 135.421, 143.994, 149.864, 144.063,,13, 1, 1.16281, 1.09359, 1.05075, 1.09306,,13, 0, 0.140018, 0.0855767, 0.0482985, 0.0851379
total_bytes, 8256,,14, 159.155, 138.218, 145.9, 151.661, 145.877,,14, 1, 1.15148, 1.09085, 1.04941, 1.09102,,14, 0, 0.131553, 0.0832801, 0.0470863, 0.0834297
best_test,movq_r,,15, 161.7, 144.164, 148.589, 153.743, 147.992,,15, 1, 1.12164, 1.08823, 1.05175, 1.09262,,15, 0, 0.108445, 0.0810787, 0.0492081, 0.0847699
best_total, 24115.6,,16, 150.93, 132.399, 137.296, 143.849, 146.709,,16, 1, 1.13997, 1.0993, 1.04923, 1.02877,,16, 0, 0.12278, 0.0903309, 0.046918, 0.0279696
worst_test,local,,17, 159.155, 139.554, 145.522, 151.676, 154.532,,17, 1, 1.14045, 1.09368, 1.04931, 1.02991,,17, 0, 0.123157, 0.0856571, 0.0469891, 0.0290447
worst_total, 32569.2,,18, 161.695, 142.03, 147.191, 153.733, 156.898,,18, 1, 1.13845, 1.09854, 1.05179, 1.03057,,18, 0, 0.121614, 0.0897002, 0.0492414, 0.0296619
total_local, 32569.2,,19, 163.383, 148.44, 149.28, 156.013, 159.186,,19, 1, 1.10067, 1.09448, 1.04725, 1.02637,,19, 0, 0.0914639, 0.0863204, 0.0451138, 0.0256924
total_libc586, 31327.2,,20, 153.231, 134.217, 139.498, 145.715, 149.074,,20, 1, 1.14167, 1.09845, 1.05158, 1.02788,,20, 0, 0.124089, 0.0896228, 0.0490476, 0.0271273
total_lx64si1, 25726.9,,21, 161.678, 141.792, 147.209, 153.77, 156.905,,21, 1, 1.14025, 1.09829, 1.05143, 1.03042,,21, 0, 0.123001, 0.0894956, 0.0489141, 0.0295256
total_movq, 24164.2,,22, 163.373, 143.995, 149.261, 156.028, 159.21,,22, 1, 1.13457, 1.09454, 1.04708, 1.02614,,22, 0, 0.118608, 0.0863779, 0.0449594, 0.0254787
total_movq_r, 24115.6,,23, 165.445, 150.617, 151.468, 157.675, 160.717,,23, 1, 1.09845, 1.09228, 1.04928, 1.02942,,23, 0, 0.0896252, 0.0844824, 0.0469646, 0.0285753
ratio_local, 1,,24, 155.405, 136.83, 141.84, 147.688, 150.808,,24, 1, 1.13575, 1.09563, 1.05225, 1.03048,,24, 0, 0.119521, 0.0872852, 0.0496563, 0.0295779
ratio_libc586, 1.03964,,25, 163.35, 145.599, 149.18, 156.026, 159.158,,25, 1, 1.12192, 1.09499, 1.04694, 1.02634,,25, 0, 0.108667, 0.0867465, 0.0448346, 0.0256624
