name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,0, 53.5644, 50.508, 46.2384, 55.6237, 46.09,,0, 1, 1.06051, 1.15844, 0.962978, 1.16217,,0, 0, 0.0570595, 0.13677,-0.038445, 0.13954
start,0,,1, 99.7813, 89.8863, 98.8897, 116.743, 99.9097,,1, 1, 1.11008, 1.00902, 0.85471, 0.998715,,1, 0, 0.099167, 0.0089356,-0.169987,-0.0012871
end,128,,2, 103.955, 95.29, 103.955, 120.029, 104.71,,2, 1, 1.09093, 0.999996, 0.866081, 0.992786,,2, 0, 0.0833535,-4.1784e-06,-0.154626,-0.00726608
incr,1,,3, 107.204, 96.8268, 106.341, 123.877, 107.078,,3, 1, 1.10718, 1.00812, 0.865405, 1.00118,,3, 0, 0.0968008, 0.00805284,-0.155528, 0.00118081
num_try,245760,,4, 110.444, 101.739, 108.709, 117.032, 109.286,,4, 1, 1.08556, 1.01596, 0.943706, 1.0106,,4, 0, 0.0788199, 0.0157122,-0.0596517, 0.0104896
align,31,,5, 113.228, 102.686, 111.121, 124.13, 111.908,,5, 1, 1.10267, 1.01897, 0.912178, 1.0118,,5, 0, 0.0931105, 0.0186166,-0.0962774, 0.011665
baseline,0,,6, 116.6, 108.469, 113.556, 126.58, 114.529,,6, 1, 1.07497, 1.02681, 0.921158, 1.01808,,6, 0, 0.0697384, 0.0261073,-0.0855906, 0.0177619
rand,1,,7, 119.798, 109.645, 115.922, 128.662, 116.662,,7, 1, 1.0926, 1.03343, 0.931103, 1.02688,,7, 0, 0.0847489, 0.0323529,-0.0739954, 0.0261735
rand_align,1,,8, 138.503, 109.767, 118.132, 123.97, 119.266,,8, 1, 1.2618, 1.17245, 1.11723, 1.1613,,8, 0, 0.207479, 0.147083, 0.104928, 0.138894
seed,0,,9, 139.816, 109.978, 120.667, 132.27, 121.819,,9, 1, 1.27132, 1.1587, 1.05706, 1.14774,,9, 0, 0.213415, 0.136964, 0.0539765, 0.128721
testmask,0,,10, 141.349, 115.465, 123.324, 133.771, 124.333,,10, 1, 1.22417, 1.14616, 1.05665, 1.13686,,10, 0, 0.183123, 0.127521, 0.0536146, 0.120385
clock,500,,11, 142.811, 116.463, 125.369, 136.272, 126.396,,11, 1, 1.22623, 1.13912, 1.04798, 1.12987,,11, 0, 0.184493, 0.122132, 0.0457847, 0.11494
=====,,,12, 144.906, 116.622, 127.983, 129.984, 129.171,,12, 1, 1.24253, 1.13223, 1.1148, 1.12182,,12, 0, 0.195189, 0.116783, 0.102975, 0.10859
Totals:,,,13, 146.67, 116.727, 130.215, 137.908, 131.432,,13, 1, 1.25652, 1.12637, 1.06354, 1.11594,,13, 0, 0.204152, 0.112189, 0.0597408, 0.103892
total_bytes, 8256,,14, 148.113, 121.969, 132.197, 140.211, 134.264,,14, 1, 1.21435, 1.1204, 1.05635, 1.10315,,14, 0, 0.176512, 0.107461, 0.0533475, 0.0935032
best_test,movq_r,,15, 149.803, 123.573, 134.373, 141.9, 135.824,,15, 1, 1.21226, 1.11483, 1.05569, 1.10292,,15, 0, 0.175097, 0.103001, 0.0527546, 0.0933173
best_total, 23908.7,,16, 151.584, 123.779, 126.12, 133.153, 135.967,,16, 1, 1.22464, 1.2019, 1.13842, 1.11486,,16, 0, 0.183432, 0.167987, 0.121592, 0.103024
worst_test,local,,17, 152.959, 123.361, 134.464, 141.073, 143.809,,17, 1, 1.23993, 1.13754, 1.08425, 1.06362,,17, 0, 0.193502, 0.12091, 0.0777051, 0.059818
worst_total, 31049.5,,18, 154.8, 129.427, 135.988, 142.915, 145.325,,18, 1, 1.19605, 1.13833, 1.08316, 1.0652,,18, 0, 0.163911, 0.121524, 0.0767796, 0.0612114
total_local, 31049.5,,19, 156.909, 130.848, 138.418, 144.98, 147.549,,19, 1, 1.19917, 1.13358, 1.08228, 1.06344,,19, 0, 0.166091, 0.117842, 0.076025, 0.059652
total_libc586, 28141,,20, 158.269, 130.959, 129.837, 136.374, 139.058,,20, 1, 1.20854, 1.21898, 1.16055, 1.13815,,20, 0, 0.172556, 0.179642, 0.138339, 0.121384
total_lx64si1, 26203.7,,21, 160.101, 130.957, 137.52, 143.434, 146.627,,21, 1, 1.22255, 1.1642, 1.1162, 1.09189,,21, 0, 0.182034, 0.141042, 0.104104, 0.0841596
total_movq, 24015.7,,22, 161.698, 136.496, 139.644, 145.687, 148.555,,22, 1, 1.18464, 1.15794, 1.1099, 1.08847,,22, 0, 0.155864, 0.136395, 0.0990209, 0.0812834
total_movq_r, 23908.7,,23, 163.973, 138.503, 141.302, 147.623, 151.011,,23, 1, 1.1839, 1.16045, 1.11076, 1.08584,,23, 0, 0.155335, 0.138264, 0.0997144, 0.0790499
ratio_local, 1,,24, 165.746, 137.874, 132.201, 138.801, 141.827,,24, 1, 1.20216, 1.25374, 1.19413, 1.16865,,24, 0, 0.168164, 0.202388, 0.162568, 0.144312
ratio_libc586, 1.10335,,25, 167.847, 139.242, 140.376, 146.595, 149.217,,25, 1, 1.20544, 1.1957, 1.14497, 1.12485,,25, 0, 0.170425, 0.163667, 0.126617, 0.110992
ratio_lx64si1, 1.18493,,26, 169.852, 144.103, 142.568, 148.759, 151.768,,26, 1, 1.17868, 1.19137, 1.14179, 1.11916,,26, 0, 0.151596, 0.160634, 0.124185, 0.106472
ratio_movq, 1.29288,,27, 171.88, 146.697, 144.482, 151.128, 153.608,,27, 1, 1.17167, 1.18963, 1.13732, 1.11895,,27, 0, 0.146515, 0.159401, 0.120738, 0.106306
ratio_movq_r, 1.29867,,28, 173.656, 145.627, 135.326, 141.404, 144.492,,28, 1, 1.19247, 1.28325, 1.22809, 1.20184,,28, 0, 0.161408, 0.220727, 0.185725, 0.167941
,,,29, 175.579, 147.005, 143.2, 149.632, 152.329,,29, 1, 1.19437, 1.22611, 1.1734, 1.15263,,29, 0, 0.162738, 0.184413, 0.147775, 0.132416
,,,30, 177.423, 152.058, 145.245, 152.019, 154.599,,30, 1, 1.16681, 1.22154, 1.16711, 1.14764,,30, 0, 0.142962, 0.181363, 0.143184, 0.128643
,,,31, 179.4, 153.82, 147.194, 153.793, 156.444,,31, 1, 1.1663, 1.2188, 1.1665, 1.14674,,31, 0, 0.142586, 0.179518, 0.142737, 0.127962
,,,32, 181.312, 153.679, 138.106, 144.309, 147.154,,32, 1, 1.17981, 1.31285, 1.25642, 1.23213,,32, 0, 0.152405, 0.238298, 0.204085, 0.188394
,,,33, 182.619, 154.782, 146.309, 152.874, 155.648,,33, 1, 1.17985, 1.24817, 1.19457, 1.17328,,33, 0, 0.152432, 0.198828, 0.162876, 0.147689
,,,34, 184.579, 160.694, 148.901, 155.242, 158.07,,34, 1, 1.14864, 1.23961, 1.18898, 1.16771,,34, 0, 0.129403, 0.193297, 0.15894, 0.14362
,,,35, 186.092, 162.506, 152.349, 157.735, 160.373,,35, 1, 1.14514, 1.22149, 1.17978, 1.16037,,35, 0, 0.126746, 0.181327, 0.152381, 0.138205
,,,36, 188.194, 161.838, 144.186, 149.388, 151.954,,36, 1, 1.16285, 1.30522, 1.25977, 1.23849,,36, 0, 0.140045, 0.233845, 0.206203, 0.192566
,,,37, 190.106, 162.423, 153.314, 157.729, 160.157,,37, 1, 1.17044, 1.23998, 1.20527, 1.187,,37, 0, 0.145618, 0.193532, 0.17031, 0.157538
,,,38, 191.845, 168.075, 156.152, 160.325, 163.031,,38, 1, 1.14142, 1.22858, 1.1966, 1.17674,,38, 0, 0.1239, 0.18605, 0.164298, 0.150192
,,,39, 193.907, 169.448, 159.928, 163.182, 165.368,,39, 1, 1.14434, 1.21246, 1.18829, 1.17258,,39, 0, 0.126134, 0.175233, 0.158452, 0.147176
,,,40, 195.959, 169.813, 151.432, 154.251, 156.744,,40, 1, 1.15397, 1.29404, 1.27039, 1.25019,,40, 0, 0.133428, 0.227228, 0.212839, 0.200121
,,,41, 197.247, 170.042, 161.05, 163.339, 165.447,,41, 1, 1.15999, 1.22476, 1.2076, 1.19221,,41, 0, 0.137923, 0.183512, 0.171908, 0.161222
,,,42, 199.088, 175.56, 164.082, 165.859, 168.206,,42, 1, 1.13401, 1.21334, 1.20034, 1.1836,,42, 0, 0.118177, 0.175831, 0.166903, 0.155119
,,,43, 200.883, 177.04, 167.288, 168.472, 170.244,,43, 1, 1.13467, 1.20082, 1.19238, 1.17997,,43, 0, 0.11869, 0.167236, 0.161344, 0.152523
,,,44, 202.609, 177.048, 159.728, 159.883, 161.976,,44, 1, 1.14438, 1.26846, 1.26724, 1.25086,,44, 0, 0.126161, 0.211644, 0.210882, 0.200552
,,,45, 204.968, 177.59, 168.818, 168.501, 170.852,,45, 1, 1.15417, 1.21413, 1.21642, 1.19968,,45, 0, 0.133574, 0.176367, 0.177914, 0.166444
,,,46, 206.674, 182.672, 171.984, 171.483, 172.857,,46, 1, 1.13139, 1.2017, 1.20522, 1.19563,,46, 0, 0.116135, 0.167848, 0.170275, 0.163623
,,,47, 208.244, 184.481, 175.036, 173.887, 175.343,,47, 1, 1.12881, 1.18972, 1.19758, 1.18764,,47, 0, 0.11411, 0.159466, 0.164985, 0.157992
,,,48, 209.713, 184.64, 167.414, 165.594, 167.152,,48, 1, 1.13579, 1.25266, 1.26643, 1.25462,,48, 0, 0.119559, 0.201697, 0.210377, 0.202946
,,,49, 211.834, 185.184, 176.323, 174.047, 175.446,,49, 1, 1.14391, 1.2014, 1.21711, 1.2074,,49, 0, 0.125806, 0.167636, 0.17838, 0.171777
