name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,0, 53.5645, 50.1739, 46.9107, 56.1139, 46.3486,,0, 1, 1.06758, 1.14184, 0.954568, 1.15569,,0, 0, 0.0632988, 0.124221,-0.0475948, 0.134714
start,0,,1, 96.0788, 86.3113, 96.9575, 114.867, 98.5468,,1, 1, 1.11317, 0.990938, 0.836433, 0.974956,,1, 0, 0.101661,-0.00914511,-0.195553,-0.0256874
end,128,,2, 99.297, 90.2002, 101.434, 118.527, 102.941,,2, 1, 1.10085, 0.978928, 0.837758, 0.964598,,2, 0, 0.0916128,-0.0215255,-0.193662,-0.0367013
incr,1,,3, 101.527, 91.1116, 103.317, 122.22, 104.976,,3, 1, 1.11431, 0.982671, 0.830688, 0.967145,,3, 0, 0.102584,-0.0176348,-0.203821,-0.0339714
num_try,245760,,4, 103.478, 93.682, 105.427, 114.655, 106.807,,4, 1, 1.10457, 0.981518, 0.902516, 0.96883,,4, 0, 0.0946695,-0.0188297,-0.108014,-0.0321732
align,0,,5, 105.638, 94.2316, 107.471, 121.952, 108.774,,5, 1, 1.12105, 0.982947, 0.866229, 0.971171,,5, 0, 0.107978,-0.0173489,-0.15443,-0.0296847
baseline,0,,6, 107.491, 98.095, 109.346, 123.904, 110.819,,6, 1, 1.09579, 0.98304, 0.867536, 0.969971,,6, 0, 0.087413,-0.0172526,-0.15269,-0.0309588
rand,1,,7, 109.444, 99.0015, 111.233, 125.866, 112.979,,7, 1, 1.10548, 0.983914, 0.869529, 0.968713,,7, 0, 0.0954146,-0.0163495,-0.150048,-0.0322975
rand_align,0,,8, 113.664, 97.1187, 113.29, 119.999, 114.651,,8, 1, 1.17036, 1.0033, 0.94721, 0.991395,,8, 0, 0.145565, 0.0032879,-0.0557318,-0.00867919
seed,0,,9, 122.657, 99.4307, 116.24, 129.06, 117.956,,9, 1, 1.23359, 1.0552, 0.950386, 1.03985,,9, 0, 0.189357, 0.0523113,-0.0522042, 0.0383202
testmask,0,,10, 124.775, 103.162, 118.694, 130.828, 119.995,,10, 1, 1.2095, 1.05123, 0.95373, 1.03984,,10, 0, 0.173214, 0.0487324,-0.048515, 0.0383092
clock,500,,11, 126.479, 104.139, 120.207, 132.941, 121.763,,11, 1, 1.21452, 1.05217, 0.95139, 1.03873,,11, 0, 0.176632, 0.0495865,-0.0510934, 0.0372882
=====,,,12, 116.73, 99.9448, 122.5, 126.236, 123.835,,12, 1, 1.16795, 0.9529, 0.924696, 0.942631,,12, 0, 0.143797,-0.049428,-0.0814362,-0.0608607
Totals:,,,13, 124.774, 101.318, 124.287, 134.194, 125.618,,13, 1, 1.2315, 1.00392, 0.929798, 0.993281,,13, 0, 0.187983, 0.00390107,-0.0755027,-0.00676472
total_bytes, 8256,,14, 126.531, 105.135, 126.29, 136.418, 127.693,,14, 1, 1.2035, 1.00191, 0.927522, 0.990901,,14, 0, 0.169092, 0.00190242,-0.0781415,-0.00918214
best_test,movq_r,,15, 128.555, 106.063, 128.179, 138.385, 129.629,,15, 1, 1.21206, 1.00293, 0.928967, 0.991715,,15, 0, 0.174957, 0.00292136,-0.0764646,-0.00835389
