ptest -- memset version 1.0
start	0	end	4096
incr	128	ntry	20000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
       0	   0.000%	  76.000	  -1.316%	  77.000	  -3.947%	  79.000	  21.244%	  59.854	  22.368%	  59.000	  -4.953%	  79.764	   7.895%	  70.000	   1.316%	  75.000	   1.316%	  75.000	 -15.789%	  88.000	 -15.789%	  88.000	 -11.842%	  85.000	 -15.789%	  88.000
     128	   0.000%	 130.948	   0.006%	 130.940	 -32.963%	 174.113	  11.795%	 115.503	  12.371%	 114.748	   8.814%	 119.406	  16.304%	 109.599	  11.294%	 116.159	  11.792%	 115.506	  -5.057%	 137.571	  -5.008%	 137.506	   0.319%	 130.531	  -4.234%	 136.493
     256	   0.000%	 170.338	   0.013%	 170.316	 -45.465%	 247.782	   9.222%	 154.629	   8.674%	 155.562	   3.499%	 164.379	  12.025%	 149.855	   8.818%	 155.319	   8.447%	 155.951	  -1.233%	 172.439	   2.317%	 166.391	   6.661%	 158.993	   2.886%	 165.422
     384	   0.000%	 215.517	  -0.164%	 215.871	 -49.178%	 321.505	   7.237%	 199.921	   6.853%	 200.748	   2.725%	 209.645	  10.397%	 193.110	   6.963%	 200.510	   7.182%	 200.038	   0.950%	 213.470	   7.033%	 200.360	  10.434%	 193.031	   7.579%	 199.184
     512	   0.000%	 257.429	  -1.075%	 260.198	 -53.500%	 395.155	   6.154%	 241.586	   4.734%	 245.242	   1.422%	 253.768	   7.781%	 237.400	   4.874%	 244.882	   4.876%	 244.878	   1.781%	 252.843	   8.549%	 235.421	  11.129%	 228.780	   8.769%	 234.855
     640	   0.000%	 300.405	   0.116%	 300.057	 -56.123%	 469.001	   5.307%	 284.461	   4.496%	 286.899	   1.512%	 295.863	   6.200%	 281.779	   4.103%	 288.078	   4.987%	 285.423	   2.858%	 291.818	  10.044%	 270.233	  12.095%	 264.070	  10.833%	 267.860
     768	   0.000%	 342.058	  -0.292%	 343.056	 -58.934%	 543.645	   4.572%	 326.420	   4.563%	 326.450	   1.755%	 336.054	   5.304%	 323.915	   4.435%	 326.889	   4.430%	 326.905	   3.058%	 331.596	  11.836%	 301.571	  13.553%	 295.700	  12.150%	 300.497
     896	   0.000%	 382.784	   0.089%	 382.442	 -61.189%	 617.005	   4.032%	 367.349	   3.404%	 369.754	   1.393%	 377.452	   4.845%	 364.238	   3.442%	 369.609	   3.614%	 368.951	   4.009%	 367.437	  12.940%	 333.250	  13.881%	 329.649	  12.938%	 333.259
    1024	   0.000%	 426.602	  -0.071%	 426.905	 -62.039%	 691.260	   3.542%	 411.491	   3.028%	 413.684	   1.868%	 418.633	   5.144%	 404.658	   3.698%	 410.825	   3.597%	 411.258	   4.501%	 407.401	  14.080%	 366.535	  15.126%	 362.075	  14.138%	 366.287
    1152	   0.000%	 467.722	   0.363%	 466.022	 -63.617%	 765.270	   3.560%	 451.070	   3.780%	 450.043	   1.445%	 460.962	   4.048%	 448.789	   2.968%	 453.840	   3.417%	 451.741	   5.261%	 443.116	  14.094%	 401.799	  15.602%	 394.747	  14.911%	 397.982
    1280	   0.000%	 505.148	  -1.069%	 510.546	 -66.611%	 841.630	   2.515%	 492.443	   2.932%	 490.339	   0.515%	 502.548	   3.475%	 487.595	   2.594%	 492.047	   2.076%	 494.662	   4.430%	 482.769	  13.780%	 435.539	  15.693%	 425.877	  14.246%	 433.186
    1408	   0.000%	 549.947	   0.015%	 549.865	 -66.775%	 917.174	   2.993%	 533.490	   2.707%	 535.061	   0.962%	 544.658	   3.294%	 531.833	   2.322%	 537.177	   2.472%	 536.351	   5.603%	 519.132	  14.790%	 468.609	  16.132%	 461.228	  14.471%	 470.364
