ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
       0	   0.000%	  75.827	  -1.261%	  76.783	  -3.273%	  78.309	  20.892%	  59.985	  21.202%	  59.750	  -2.253%	  77.535	   7.684%	  70.000	  -6.759%	  80.952	  -7.002%	  81.136	 -22.291%	  92.729	 -23.253%	  93.459	 -10.313%	  83.647	 -22.622%	  92.980
       1	   0.000%	  85.080	  -1.151%	  86.059	  -0.118%	  85.180	   4.175%	  81.527	   4.564%	  81.196	  -2.002%	  86.782	   6.831%	  79.268	  -5.971%	  90.160	  -6.201%	  90.356	 -19.804%	 101.929	 -20.009%	 102.103	  -8.209%	  92.064	 -19.969%	 102.069
       2	   0.000%	  86.038	  -0.156%	  86.172	  -0.527%	  86.491	  -7.163%	  92.200	  -3.246%	  88.831	  -1.952%	  87.717	   6.879%	  80.119	  -5.992%	  91.193	  -6.209%	  91.380	 -19.740%	 103.022	 -20.519%	 103.692	  -8.257%	  93.142	 -19.914%	 103.172
       3	   0.000%	  87.952	  -1.113%	  88.931	   0.122%	  87.845	 -15.457%	 101.546	 -14.728%	 100.905	  -1.704%	  89.451	   6.521%	  82.217	  -5.679%	  92.946	  -5.388%	  92.690	 -19.077%	 104.731	 -20.184%	 105.704	  -9.053%	  95.915	 -19.623%	 105.210
       4	   0.000%	  89.051	  -1.055%	  89.990	   3.724%	  85.735	 -14.133%	 101.636	 -14.561%	 102.018	   2.067%	  87.210	   9.946%	  80.194	  -1.687%	  90.553	  -1.996%	  90.829	 -14.932%	 102.348	 -15.748%	 103.075	  -4.581%	  93.130	 -15.345%	 102.715
       5	   0.000%	  90.086	  -0.840%	  90.843	   0.453%	  89.678	 -14.824%	 103.440	 -14.444%	 103.098	  -1.107%	  91.083	   6.401%	  84.320	  -4.907%	  94.506	  -5.355%	  94.910	 -17.873%	 106.187	 -18.990%	 107.193	  -8.200%	  97.473	 -18.308%	 106.579
       6	   0.000%	  91.056	  -1.043%	  92.006	   0.344%	  90.743	 -12.664%	 102.587	 -14.262%	 104.042	  -1.487%	  92.410	   7.111%	  84.581	  -5.185%	  95.777	  -5.119%	  95.717	 -18.268%	 107.690	 -18.811%	 108.185	  -7.972%	  98.315	 -18.223%	 107.649
       7	   0.000%	  92.036	  -1.076%	  93.026	  -0.070%	  92.100	 -15.058%	 105.895	 -14.468%	 105.352	  -1.486%	  93.404	   6.942%	  85.647	  -5.117%	  96.745	  -5.446%	  97.048	 -18.124%	 108.716	 -18.574%	 109.131	  -8.041%	  99.437	 -18.411%	 108.980
       8	   0.000%	  93.156	  -0.870%	  93.967	   5.147%	  88.361	 -13.172%	 105.427	 -13.454%	 105.689	   3.214%	  90.162	  11.525%	  82.419	  -0.178%	  93.322	  -0.492%	  93.614	 -13.142%	 105.398	 -13.605%	 105.829	  -2.802%	  95.766	 -13.327%	 105.570
       9	   0.000%	  94.129	  -1.590%	  95.626	   1.956%	  92.288	 -14.172%	 107.469	 -12.507%	 105.901	   0.031%	  94.100	   8.169%	  86.439	  -3.421%	  97.349	  -3.675%	  97.588	 -16.172%	 109.351	 -16.764%	 109.908	  -6.309%	 100.068	 -16.298%	 109.470
      10	   0.000%	  95.694	  -0.330%	  96.009	   2.780%	  93.034	  -8.575%	 103.899	 -11.059%	 106.276	   0.826%	  94.903	   8.702%	  87.366	  -2.450%	  98.038	  -2.609%	  98.191	 -15.148%	 110.190	 -15.725%	 110.742	  -5.658%	 101.108	 -15.152%	 110.193
      11	   0.000%	  96.967	  -0.117%	  97.081	   2.670%	  94.378	 -10.578%	 107.224	  -9.487%	 106.166	   0.981%	  96.016	   9.116%	  88.127	  -2.503%	  99.395	  -2.624%	  99.512	 -14.603%	 111.127	 -15.028%	 111.540	  -5.074%	 101.887	 -14.927%	 111.442
      12	   0.000%	 108.367	  -0.472%	 108.878	  16.972%	  89.975	   1.036%	 107.244	   1.411%	 106.838	  16.017%	  91.010	  22.723%	  83.743	  12.636%	  94.673	  12.587%	  94.726	   1.821%	 106.393	   1.015%	 107.267	  10.096%	  97.426	   1.400%	 106.850
      13	   0.000%	 108.574	  -0.783%	 109.424	  13.380%	  94.046	  -0.164%	 108.752	   1.496%	 106.949	  12.492%	  95.011	  19.210%	  87.717	   9.323%	  98.452	   9.084%	  98.710	  -1.641%	 110.356	  -2.456%	 111.240	   6.533%	 101.481	  -1.800%	 110.528
      14	   0.000%	 108.580	  -0.977%	 109.640	  12.877%	  94.598	   2.853%	 105.483	   1.085%	 107.402	  11.391%	  96.212	  18.586%	  88.400	   8.261%	  99.611	   8.183%	  99.694	  -2.721%	 111.535	  -3.136%	 111.986	   5.815%	 102.267	  -2.880%	 111.707
      15	   0.000%	 109.237	  -0.386%	 109.659	  12.090%	  96.030	   0.098%	 109.130	   1.397%	 107.711	  11.135%	  97.073	  17.950%	  89.630	   7.701%	 100.825	   7.649%	 100.881	  -3.003%	 112.518	  -3.588%	 113.157	   5.601%	 103.118	  -3.195%	 112.727
      16	   0.000%	 109.054	  -0.960%	 110.101	  16.161%	  91.430	   0.551%	 108.453	   1.024%	 107.938	  14.927%	  92.775	  21.875%	  85.198	  11.769%	  96.219	  11.435%	  96.583	   0.940%	 108.028	   0.278%	 108.750	   8.974%	  99.267	   0.721%	 108.267
      17	   0.000%	 109.566	  -0.711%	 110.345	  12.714%	  95.636	  -0.793%	 110.434	   1.107%	 108.352	  11.708%	  96.738	  18.468%	  89.331	   8.449%	 100.308	   8.086%	 100.706	  -2.251%	 112.032	  -2.976%	 112.826	   5.790%	 103.221	  -2.585%	 112.397
      18	   0.000%	 109.883	  -0.962%	 110.940	  12.446%	  96.207	   2.674%	 106.945	   1.213%	 108.550	  10.742%	  98.080	  17.605%	  90.538	   7.743%	 101.374	   7.747%	 101.370	  -3.221%	 113.423	  -3.651%	 113.895	   5.415%	 103.933	  -3.454%	 113.678
      19	   0.000%	 109.894	  -1.172%	 111.181	  11.520%	  97.234	  -0.572%	 110.522	   0.953%	 108.846	  10.065%	  98.833	  16.895%	  91.327	   6.849%	 102.367	   6.482%	 102.770	  -3.804%	 114.073	  -4.552%	 114.896	   4.251%	 105.222	  -4.099%	 114.398
      20	   0.000%	 110.132	  -1.066%	 111.307	  15.971%	  92.543	   0.234%	 109.874	   0.875%	 109.169	  14.217%	  94.475	  21.151%	  86.838	  11.171%	  97.830	  11.086%	  97.923	   0.485%	 109.598	  -0.139%	 110.285	   9.007%	 100.213	   0.276%	 109.829
