memset test:
start	0
end	512
incr	1
ntry	10000
align	3
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
       0	167.076	167.076	206.921	206.921	144.453	144.453	141.216	141.216
       1	172.802	172.802	209.816	209.816	152.260	152.260	155.228	155.228
       2	172.411	 86.206	217.513	108.756	156.418	 78.209	204.215	102.107
       3	170.020	 56.673	211.765	 70.588	218.634	 72.878	204.155	 68.052
       4	291.130	 72.782	215.061	 53.765	212.048	 53.012	204.021	 51.005
       5	295.710	 59.142	215.613	 43.123	225.016	 45.003	204.022	 40.804
       6	294.011	 49.002	204.050	 34.008	218.063	 36.344	204.062	 34.010
       7	284.024	 40.575	204.066	 29.152	218.040	 31.149	204.068	 29.153
       8	284.031	 35.504	209.600	 26.200	218.031	 27.254	204.053	 25.507
       9	300.055	 33.339	208.461	 23.162	214.980	 23.887	204.042	 22.671
      10	300.065	 30.006	208.427	 20.843	218.906	 21.891	204.058	 20.406
      11	300.056	 27.278	208.459	 18.951	219.014	 19.910	204.345	 18.577
      12	252.115	 21.010	209.547	 17.462	217.049	 18.087	208.071	 17.339
      13	252.098	 19.392	211.025	 16.233	212.068	 16.313	208.059	 16.005
      14	252.128	 18.009	204.131	 14.581	227.858	 16.276	208.127	 14.866
      15	252.128	 16.809	204.120	 13.608	228.002	 15.200	206.708	 13.781
      16	252.149	 15.759	215.063	 13.441	227.944	 14.246	204.118	 12.757
      17	252.128	 14.831	213.580	 12.564	223.002	 13.118	204.125	 12.007
      18	252.136	 14.008	211.692	 11.761	226.951	 12.608	204.132	 11.341
      19	252.110	 13.269	211.674	 11.141	227.064	 11.951	204.134	 10.744
      20	252.144	 12.607	214.225	 10.711	227.043	 11.352	204.119	 10.206
      21	252.143	 12.007	217.813	 10.372	228.012	 10.858	204.142	  9.721
      22	252.163	 11.462	214.999	  9.773	233.424	 10.610	204.140	  9.279
      23	252.156	 10.963	215.005	  9.348	233.500	 10.152	204.157	  8.876
      24	252.184	 10.508	221.841	  9.243	233.499	  9.729	204.158	  8.507
      25	252.178	 10.087	218.250	  8.730	230.778	  9.231	204.194	  8.168
      26	252.149	  9.698	218.118	  8.389	234.612	  9.024	208.181	  8.007
      27	252.163	  9.339	218.121	  8.079	234.676	  8.692	208.182	  7.710
      28	252.184	  9.007	221.965	  7.927	234.703	  8.382	208.165	  7.434
      29	252.226	  8.697	226.336	  7.805	235.776	  8.130	208.148	  7.178
      30	252.216	  8.407	204.259	  6.809	243.817	  8.127	208.264	  6.942
      31	252.259	  8.137	204.261	  6.589	244.042	  7.872	208.271	  6.718
      32	252.272	  7.883	232.193	  7.256	244.058	  7.627	208.263	  6.508
      33	252.189	  7.642	225.892	  6.845	238.624	  7.231	208.216	  6.310
      34	252.274	  7.420	226.211	  6.653	242.506	  7.133	208.227	  6.124
      35	252.262	  7.207	225.895	  6.454	242.525	  6.929	208.233	  5.950
      36	252.160	  7.004	229.391	  6.372	242.553	  6.738	208.236	  5.784
      37	256.239	  6.925	229.977	  6.216	241.255	  6.520	212.234	  5.736
      38	256.285	  6.744	229.431	  6.038	254.331	  6.693	212.238	  5.585
      39	256.312	  6.572	229.673	  5.889	254.358	  6.522	212.200	  5.441
      40	256.299	  6.407	229.573	  5.739	254.373	  6.359	212.210	  5.305
      41	260.326	  6.349	229.468	  5.597	252.158	  6.150	216.172	  5.272
      42	260.354	  6.199	229.638	  5.468	256.630	  6.110	216.239	  5.149
      43	260.316	  6.054	229.453	  5.336	256.668	  5.969	216.260	  5.029
      44	260.351	  5.917	229.766	  5.222	256.620	  5.832	216.206	  4.914
      45	260.298	  5.784	229.801	  5.107	250.234	  5.561	216.275	  4.806
      46	260.338	  5.660	229.671	  4.993	267.626	  5.818	216.284	  4.702
      47	260.346	  5.539	229.584	  4.885	267.701	  5.696	216.361	  4.603
      48	260.336	  5.424	229.450	  4.780	267.693	  5.577	216.346	  4.507
      49	264.373	  5.395	229.942	  4.693	262.928	  5.366	220.240	  4.495
      50	264.380	  5.288	229.672	  4.593	268.412	  5.368	220.255	  4.405
      51	264.377	  5.184	229.553	  4.501	268.418	  5.263	220.253	  4.319
      52	264.389	  5.084	229.772	  4.419	268.426	  5.162	220.258	  4.236
      53	264.406	  4.989	229.757	  4.335	267.686	  5.051	220.370	  4.158
      54	264.396	  4.896	229.722	  4.254	276.082	  5.113	220.412	  4.082
      55	264.404	  4.807	229.732	  4.177	276.085	  5.020	220.401	  4.007
      56	264.408	  4.722	229.761	  4.103	276.084	  4.930	220.365	  3.935
      57	268.328	  4.708	229.746	  4.031	274.131	  4.809	224.293	  3.935
      58	268.456	  4.629	229.486	  3.957	279.750	  4.823	224.333	  3.868
      59	268.332	  4.548	229.367	  3.888	279.741	  4.741	224.337	  3.802
      60	268.340	  4.472	229.870	  3.831	279.737	  4.662	224.260	  3.738
      61	268.530	  4.402	232.623	  3.813	288.557	  4.730	224.484	  3.680
      62	268.482	  4.330	232.523	  3.750	292.485	  4.718	224.449	  3.620
      63	268.486	  4.262	232.868	  3.696	292.598	  4.644	224.454	  3.563
      64	268.508	  4.195	232.893	  3.639	292.476	  4.570	224.475	  3.507
      65	272.428	  4.191	235.940	  3.630	284.640	  4.379	228.421	  3.514
      66	272.469	  4.128	236.173	  3.578	291.395	  4.415	228.413	  3.461
      67	272.488	  4.067	235.576	  3.516	291.399	  4.349	228.438	  3.410
      68	272.472	  4.007	236.405	  3.477	291.398	  4.285	228.442	  3.359
      69	272.519	  3.950	236.325	  3.425	290.658	  4.212	228.473	  3.311
      70	272.509	  3.893	236.175	  3.374	298.826	  4.269	228.472	  3.264
      71	272.526	  3.838	236.128	  3.326	298.864	  4.209	228.471	  3.218
