name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,0, 58.9692, 52, 56.257, 65.5772, 58.5497,,0, 1, 1.13402, 1.04821, 0.899234, 1.00717,,0, 0, 0.118184, 0.0459944,-0.112058, 0.00711458
start,0,,1, 72.4662, 64.4058, 69.3529, 78.0516, 70.9019,,1, 1, 1.12515, 1.04489, 0.928439, 1.02206,,1, 0, 0.111229, 0.0429624,-0.0770765, 0.0215869
end,128,,2, 73.6128, 66.4126, 70.674, 80.7405, 72.9795,,2, 1, 1.10842, 1.04158, 0.911721, 1.00868,,2, 0, 0.0978119, 0.0399222,-0.0968265, 0.0086036
incr,1,,3, 76.086, 69.1702, 72.6774, 82.8271, 74.9148,,3, 1, 1.09998, 1.0469, 0.918612, 1.01563,,3, 0, 0.090894, 0.0447991,-0.0885993, 0.0153931
num_try,245760,,4, 78.2583, 64.4167, 69.3532, 78.0611, 70.9026,,4, 1, 1.21488, 1.1284, 1.00253, 1.10374,,4, 0, 0.176871, 0.113791, 0.00251988, 0.0939923
align,0,,5, 80.2584, 70.374, 73.6831, 83.3108, 76.6031,,5, 1, 1.14045, 1.08924, 0.963361, 1.04772,,5, 0, 0.123157, 0.0819256,-0.0380325, 0.0455433
baseline,0,,6, 81.3929, 71.429, 76.3592, 85.0672, 78.7991,,6, 1, 1.13949, 1.06592, 0.956808, 1.03292,,6, 0, 0.122417, 0.0618447,-0.0451418, 0.031868
rand,1,,7, 84.3369, 73.4146, 78.5916, 87.3915, 79.9834,,7, 1, 1.14878, 1.0731, 0.965048, 1.05443,,7, 0, 0.129509, 0.0681233,-0.0362179, 0.0516211
rand_align,0,,8, 86.528, 66.4181, 70.6787, 80.9682, 72.984,,8, 1, 1.30278, 1.22424, 1.06867, 1.18557,,8, 0, 0.232409, 0.183169, 0.064254, 0.156527
seed,0,,9, 90.4244, 74.4175, 78.679, 88.7402, 80.9815,,9, 1, 1.2151, 1.14928, 1.01898, 1.11661,,9, 0, 0.17702, 0.129892, 0.0186252, 0.104428
testmask,0,,10, 93.0895, 77.1673, 80.6756, 90.7576, 83.1331,,10, 1, 1.20633, 1.15387, 1.02569, 1.11976,,10, 0, 0.171041, 0.133355, 0.0250501, 0.106955
clock,500,,11, 95.4447, 78.4373, 82.9028, 92.2826, 85.8496,,11, 1, 1.21683, 1.15128, 1.03427, 1.11177,,11, 0, 0.178192, 0.131405, 0.0331304, 0.100531
=====,,,12, 92.4306, 71.4323, 76.3596, 85.0577, 78.8019,,12, 1, 1.29396, 1.21046, 1.08668, 1.17295,,12, 0, 0.227179, 0.173871, 0.0797674, 0.147448
Totals:,,,13, 97.4444, 77.166, 80.6774, 90.767, 83.1452,,13, 1, 1.26279, 1.20783, 1.07357, 1.17198,,13, 0, 0.208102, 0.172067, 0.0685255, 0.146742
total_bytes, 8256,,14, 98.8305, 78.4333, 82.9186, 92.3116, 85.8514,,14, 1, 1.26006, 1.1919, 1.07062, 1.15118,,14, 0, 0.206386, 0.161002, 0.0659602, 0.131327
best_test,lx_zan,,15, 101.485, 80.4124, 85.6217, 94.0483, 87.177,,15, 1, 1.26206, 1.18527, 1.07908, 1.16413,,15, 0, 0.207644, 0.156313, 0.0732805, 0.140988
best_total, 13077.4,,16, 94.4527, 73.4109, 78.5965, 87.3861, 79.9788,,16, 1, 1.28663, 1.20174, 1.08087, 1.18097,,16, 0, 0.222776, 0.167874, 0.0748156, 0.15324
worst_test,local,,17, 98.8227, 78.6294, 82.9072, 92.3596, 85.8907,,17, 1, 1.25682, 1.19197, 1.06998, 1.15056,,17, 0, 0.204339, 0.161052, 0.0654011, 0.130861
worst_total, 15605.7,,18, 101.497, 80.414, 85.6375, 94.0481, 87.2264,,18, 1, 1.26219, 1.1852, 1.07921, 1.16361,,18, 0, 0.207724, 0.15626, 0.0733941, 0.140605
total_local, 15605.7,,19, 103.737, 82.6546, 87.0014, 96.9751, 89.2387,,19, 1, 1.25507, 1.19236, 1.06973, 1.16247,,19, 0, 0.203229, 0.161326, 0.0651823, 0.13976
total_lx_zan, 13077.4,,20, 96.6379, 76.1678, 79.6812, 89.6071, 81.9619,,20, 1, 1.26875, 1.21281, 1.07846, 1.17906,,20, 0, 0.211823, 0.175466, 0.072754, 0.151865
total_lx_hyb, 13617.6,,21, 101.491, 80.6119, 85.6507, 94.032, 87.2253,,21, 1, 1.25901, 1.18494, 1.07933, 1.16355,,21, 0, 0.205725, 0.156078, 0.0734954, 0.140562
total_lx_mmx64_BA, 15001.4,,22, 103.734, 82.6419, 86.963, 96.7257, 89.1979,,22, 1, 1.25523, 1.19286, 1.07246, 1.16297,,22, 0, 0.20333, 0.161676, 0.0675622, 0.140131
total_lx_mmx64_h2, 13928.1,,23, 105.685, 85.4239, 88.922, 98.7637, 90.9196,,23, 1, 1.23719, 1.18852, 1.07008, 1.16241,,23, 0, 0.191716, 0.158617, 0.0654942, 0.139716
ratio_local, 1,,24, 97.5956, 78.3703, 81.6825, 91.3373, 84.8952,,24, 1, 1.24531, 1.19482, 1.06852, 1.1496,,24, 0, 0.196989, 0.163051, 0.0641245, 0.130133
ratio_lx_zan, 1.19333,,25, 103.733, 82.6769, 87.0255, 96.9816, 89.2585,,25, 1, 1.25468, 1.19199, 1.06962, 1.16217,,25, 0, 0.202984, 0.161064, 0.0650862, 0.139537
ratio_lx_hyb, 1.14599,,26, 105.685, 85.475, 88.9645, 98.8127, 90.9136,,26, 1, 1.23644, 1.18794, 1.06955, 1.16248,,26, 0, 0.191227, 0.15821, 0.0650251, 0.139767
ratio_lx_mmx64_BA, 1.04028,,27, 106.565, 86.7783, 90.891, 100.3, 93.5945,,27, 1, 1.22802, 1.17245, 1.06247, 1.13858,,27, 0, 0.18568, 0.147087, 0.0587976, 0.121717
ratio_lx_mmx64_h2, 1.12045,,28, 100.477, 79.4324, 84.6715, 93.2993, 87.1018,,28, 1, 1.26494, 1.18667, 1.07693, 1.15356,,28, 0, 0.209447, 0.157305, 0.0714367, 0.133117
,,,29, 105.686, 85.482, 88.976, 98.8002, 90.9176,,29, 1, 1.23635, 1.1878, 1.06969, 1.16243,,29, 0, 0.191166, 0.158106, 0.0651497, 0.139735
,,,30, 106.604, 86.7574, 90.6904, 100.474, 93.6029,,30, 1, 1.22876, 1.17548, 1.06102, 1.1389,,30, 0, 0.186175, 0.149282, 0.0575108, 0.12196
,,,31, 109.222, 88.7031, 93.3478, 102.038, 95.0974,,31, 1, 1.23132, 1.17006, 1.07041, 1.14853,,31, 0, 0.187866, 0.145341, 0.0657766, 0.129322
,,,32, 94.452, 73.4141, 78.5948, 87.5879, 79.9753,,32, 1, 1.28656, 1.20176, 1.07837, 1.18101,,32, 0, 0.222736, 0.167886, 0.0726729, 0.15327
,,,33, 104.831, 84.5229, 88.0603, 97.7178, 90.2063,,33, 1, 1.24026, 1.19044, 1.07279, 1.16212,,33, 0, 0.193719, 0.159975, 0.0678505, 0.139504
,,,34, 105.924, 86.8157, 90.0206, 99.4153, 92.6637,,34, 1, 1.2201, 1.17666, 1.06547, 1.1431,,34, 0, 0.180395, 0.150139, 0.0614462, 0.125186
,,,35, 108.529, 87.9093, 92.6012, 101.363, 95.0457,,35, 1, 1.23455, 1.172, 1.0707, 1.14186,,35, 0, 0.189989, 0.146758, 0.0660288, 0.124234
