name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,3, 77.9233, 78.0771, 82.4064, 95.1295, 91.5109,,3, 1, 0.998031, 0.945598, 0.819129, 0.85152,,3, 0,-0.00197326,-0.0575324,-0.220809,-0.174371
start,3,,36, 112.114, 95.6085, 100.095, 112.486, 109.434,,36, 1, 1.17263, 1.12007, 0.996692, 1.02448,,36, 0, 0.147218, 0.107198,-0.00331928, 0.0238981
end,2049,,69, 128.265, 119.691, 122.642, 135.672, 134.88,,69, 1, 1.07163, 1.04584, 0.9454, 0.950955,,69, 0, 0.066842, 0.0438338,-0.0577528,-0.051574
incr,33,,102, 145.094, 140.472, 138.828, 152.703, 151.802,,102, 1, 1.03291, 1.04514, 0.950174, 0.955811,,102, 0, 0.0318581, 0.0431868,-0.0524385,-0.0462322
num_try,30720,,135, 162.485, 161.621, 155.809, 160.161, 168.032,,135, 1, 1.00535, 1.04285, 1.01451, 0.966991,,135, 0, 0.0053187, 0.0410866, 0.0143026,-0.0341359
align,31,,168, 178.517, 170.826, 172.325, 177.745, 184.709,,168, 1, 1.04502, 1.03593, 1.00435, 0.96648,,168, 0, 0.0430842, 0.0346852, 0.00432772,-0.0346824
baseline,0,,201, 195.524, 187.853, 188.546, 176.193, 201.742,,201, 1, 1.04084, 1.03701, 1.10972, 0.96918,,201, 0, 0.0392344, 0.0356857, 0.0988686,-0.0318005
rand,1,,234, 212.196, 204.687, 205.687, 193.643, 218.503,,234, 1, 1.03669, 1.03165, 1.09581, 0.971137,,234, 0, 0.035388, 0.0306781, 0.0874326,-0.0297211
rand_align,1,,267, 228.799, 221.101, 222.724, 193.274, 235.512,,267, 1, 1.03482, 1.02728, 1.18381, 0.971499,,267, 0, 0.0336467, 0.026555, 0.15527,-0.0293372
seed,0,,300, 245.959, 237.853, 239.083, 209.706, 252.046,,300, 1, 1.03408, 1.02876, 1.17287, 0.975849,,300, 0, 0.0329564, 0.0279547, 0.147393,-0.0247492
testmask,0,,333, 262.306, 254.636, 255.544, 209.326, 268.555,,333, 1, 1.03012, 1.02646, 1.2531, 0.97673,,333, 0, 0.0292372, 0.0257753, 0.201977,-0.0238248
clock,500,,366, 279.067, 271.14, 272.548, 225.922, 285.567,,366, 1, 1.02924, 1.02392, 1.23523, 0.977239,,366, 0, 0.028405, 0.0233604, 0.190437,-0.023291
=====,,,399, 295.224, 288.159, 289.04, 226.519, 301.862,,399, 1, 1.02452, 1.02139, 1.30331, 0.97801,,399, 0, 0.0239297, 0.0209458, 0.232722,-0.0224843
Totals:,,,432, 312.931, 305.205, 306.273, 243.555, 319.205,,432, 1, 1.02532, 1.02174, 1.28485, 0.980344,,432, 0, 0.0246903, 0.0212767, 0.221698,-0.0200503
total_bytes, 64638,,465, 329.349, 322.229, 323.545, 244.753, 335.496,,465, 1, 1.0221, 1.01794, 1.34564, 0.981678,,465, 0, 0.021621, 0.0176253, 0.256859,-0.0186635
best_test,lx_mmx64_BA,,498, 346.669, 338.237, 339.235, 261.642, 353.006,,498, 1, 1.02493, 1.02191, 1.32498, 0.982047,,498, 0, 0.0243237, 0.0214448, 0.24527,-0.0182807
best_total, 26432.4,,531, 363.292, 355.58, 357.277, 262.651, 259.582,,531, 1, 1.02169, 1.01683, 1.38317, 1.39953,,531, 0, 0.0212285, 0.0165561, 0.277024, 0.285472
worst_test,local,,564, 379.788, 372.484, 373.976, 280.89, 276.66,,564, 1, 1.01961, 1.01554, 1.35209, 1.37276,,564, 0, 0.0192312, 0.0153013, 0.260402, 0.271542
