name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
vers,1.0,,0, 54.2295, 55.1328, 56.2556, 38, 38, 51, 49, 54, 54, 64.8246, 62.5709, 58.566, 62.5723,,0, 1, 0.983617, 0.963985, 1.42709, 1.42709, 1.06332, 1.10672, 1.00425, 1.00425, 0.836558, 0.86669, 0.925955, 0.86667,,0, 0,-0.0166561,-0.0373608, 0.299275, 0.299275, 0.0595529, 0.0964332, 0.00423246, 0.00423246,-0.195375,-0.153816,-0.0799658,-0.153842
start,0,,1, 63.5467, 64.4625, 65.2665, 63.352, 63.3606, 60.3154, 58.3224, 63.3258, 63.3172, 74.1377, 71.8823, 67.406, 71.8735,,1, 1, 0.985793, 0.973649, 1.00307, 1.00294, 1.05357, 1.08958, 1.00349, 1.00362, 0.857144, 0.884038, 0.942745, 0.884147,,1, 0,-0.0144121,-0.0270638, 0.00306391, 0.00292856, 0.0508492, 0.0822123, 0.00347636, 0.00361115,-0.166665,-0.131173,-0.0607322,-0.131034
end,128,,2, 63.7658, 64.5833, 66.5195, 63.4106, 64.3872, 61.3196, 59.3213, 64.3267, 64.3286, 75.1354, 72.8749, 68.4179, 72.8711,,2, 1, 0.987342, 0.958604, 1.0056, 0.99035, 1.03989, 1.07492, 0.991282, 0.991251, 0.848679, 0.875005, 0.932005, 0.87505,,2, 0,-0.0128201,-0.043184, 0.00557038,-0.00974411, 0.0383631, 0.069701,-0.008795,-0.00882597,-0.178302,-0.142851,-0.0729553,-0.142792
incr,1,,3, 66.5471, 67.4806, 68.5021, 65.4136, 66.3787, 63.3208, 61.3254, 66.3177, 66.322, 77.132, 74.8703, 70.939, 74.8832,,3, 1, 0.986166, 0.971461, 1.01733, 1.00254, 1.05095, 1.08515, 1.00346, 1.00339, 0.862769, 0.888832, 0.938088, 0.888678,,3, 0,-0.0140281,-0.0293778, 0.0170323, 0.00253032, 0.0484813, 0.078466, 0.00344659, 0.00338278,-0.159059,-0.125073,-0.0659978,-0.125267
num_try,245760,,4, 67.5311, 68.4594, 65.2724, 63.359, 63.3583, 60.3161, 58.3269, 63.3201, 63.3193, 74.1412, 71.8762, 67.406, 71.8776,,4, 1, 0.98644, 1.0346, 1.06585, 1.06586, 1.11962, 1.1578, 1.0665, 1.06652, 0.910844, 0.939547, 1.00186, 0.939529,,4, 0,-0.013746, 0.0334473, 0.0617807, 0.0617906, 0.106839, 0.136295, 0.0623564, 0.0623685,-0.0978831,-0.0643431, 0.00185199,-0.0643627
align,0,,5, 68.547, 69.4431, 68.9044, 67.3724, 67.3746, 64.3283, 62.3325, 67.327, 67.3201, 78.1408, 75.8882, 71.4253, 75.866,,5, 1, 0.987097, 0.994814, 1.01744, 1.0174, 1.06558, 1.0997, 1.01812, 1.01823, 0.877225, 0.903264, 0.959702, 0.903527,,5, 0,-0.0130716,-0.00521259, 0.0171363, 0.0171043, 0.0615457, 0.0906612, 0.0177986, 0.0178995,-0.139958,-0.107097,-0.0419901,-0.106773
baseline,0,,6, 69.5383, 70.4531, 69.9008, 68.3734, 68.3771, 65.3232, 63.3179, 68.324, 68.3154, 78.4265, 76.4167, 72.4085, 76.42,,6, 1, 0.987016, 0.994815, 1.01704, 1.01698, 1.06453, 1.09824, 1.01777, 1.0179, 0.886668, 0.909989, 0.960361, 0.909949,,6, 0,-0.0131549,-0.00521218, 0.016752, 0.0166996, 0.0606165, 0.0894537, 0.0174621, 0.0175859,-0.127817,-0.0989142,-0.0412752,-0.0989623
rand,1,,7, 70.5361, 71.4646, 70.611, 69.3704, 69.3752, 66.3266, 64.3292, 69.3176, 69.3211, 79.4256, 77.4139, 73.4377, 77.4215,,7, 1, 0.987008, 0.998939, 1.0168, 1.01673, 1.06347, 1.09649, 1.01758, 1.01753, 0.888078, 0.911156, 0.96049, 0.911066,,7, 0,-0.0131628,-0.0010618, 0.016527, 0.0164592, 0.0596788, 0.087997, 0.0172757, 0.0172263,-0.126028,-0.097507,-0.0411353,-0.0976151
rand_align,0,,8, 71.5461, 72.4737, 66.5128, 63.4211, 64.3828, 61.3134, 59.3221, 64.328, 64.3263, 75.1259, 72.882, 68.4257, 72.8857,,8, 1, 0.9872, 1.07567, 1.12811, 1.11126, 1.16689, 1.20606, 1.11221, 1.11224, 0.952349, 0.98167, 1.0456, 0.98162,,8, 0,-0.0129657, 0.0703502, 0.113563, 0.100121, 0.143022, 0.170854, 0.100887, 0.100911,-0.0500352,-0.0186724, 0.0436132,-0.018724
seed,0,,9, 72.7807, 74.4622, 70.6674, 69.3749, 69.3687, 66.3205, 64.3316, 69.3294, 69.3283, 79.4146, 77.4247, 73.4183, 77.4248,,9, 1, 0.977417, 1.0299, 1.04909, 1.04919, 1.09741, 1.13134, 1.04978, 1.0498, 0.916465, 0.940018, 0.991315, 0.940018,,9, 0,-0.0231045, 0.0290357, 0.0467955, 0.0468806, 0.0887623, 0.11609, 0.0474195, 0.0474347,-0.091149,-0.0638092,-0.00876137,-0.0638098
