name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
vers,1.0,,3, 67.1499, 68.1449, 71.2273, 80.1584, 81.0703, 70.69, 61.1393, 72.6392, 72.8242, 85.0297, 85.8879, 75.9652, 85.8309,,3, 1, 0.985399, 0.942755, 0.837715, 0.828292, 0.949921, 1.09831, 0.92443, 0.922083, 0.789723, 0.781832, 0.883956, 0.782351,,3, 0,-0.0148174,-0.0607215,-0.193724,-0.207304,-0.0527195, 0.0895097,-0.0817477,-0.0845015,-0.266267,-0.279048,-0.131278,-0.278199
start,3,,36, 93.6477, 94.7272, 168.487, 94.0408, 93.5652, 81.1924, 71.8097, 83.7365, 84.0081, 93.4993, 97.3454, 86.9307, 96.6086,,36, 1, 0.988604, 0.555815, 0.995819, 1.00088, 1.1534, 1.30411, 1.11836, 1.11475, 1.00159, 0.962014, 1.07727, 0.969351,,36, 0,-0.0115277,-0.799159,-0.00419836, 0.000880369, 0.133001, 0.233192, 0.105834, 0.102935, 0.00158434,-0.0394855, 0.0717258,-0.0316184
end,2049,,69, 102.992, 104.282, 250.669, 107.384, 103.174, 97.3094, 88.0321, 98.7631, 100.507, 129.143, 110.381, 95.9889, 110.39,,69, 1, 0.987623, 0.410867, 0.959098, 0.998232, 1.05839, 1.16993, 1.04282, 1.02473, 0.797504, 0.93306, 1.07295, 0.932983,,69, 0,-0.0125326,-1.43388,-0.0426463,-0.00177155, 0.0551719, 0.14525, 0.0410572, 0.0241297,-0.253912,-0.0717427, 0.0679935,-0.071831
incr,33,,102, 113.048, 113.741, 307.523, 115.242, 112.509, 110.674, 101.246, 107.964, 109.977, 139.964, 121.46, 109.324, 121.295,,102, 1, 0.993907, 0.367609, 0.980966, 1.00479, 1.02145, 1.11657, 1.04709, 1.02793, 0.807691, 0.930747, 1.03406, 0.932007,,102, 0,-0.00613077,-1.72028,-0.0194036, 0.00476765, 0.0209979, 0.104401, 0.0449722, 0.0271692,-0.238097,-0.0744059, 0.0329419,-0.0729538
num_try,30720,,135, 121.804, 122.804, 363.647, 129.796, 121.442, 123.877, 114.17, 117.673, 119.563, 150.704, 149.326, 138.316, 143.415,,135, 1, 0.991861, 0.334952, 0.93843, 1.00298, 0.983264, 1.06686, 1.03511, 1.01875, 0.808234, 0.815694, 0.880624, 0.849311,,135, 0,-0.00820614,-1.98551,-0.0656095, 0.00297586,-0.0170204, 0.0626737, 0.0339156, 0.0184033,-0.237266,-0.22595,-0.135559,-0.177425
align,31,,168, 131.75, 131.985, 430.809, 139.955, 131.259, 125.981, 122.081, 126.995, 128.759, 160.932, 158.848, 145.593, 154.387,,168, 1, 0.998222, 0.305821, 0.941379, 1.00374, 1.0458, 1.0792, 1.03744, 1.02323, 0.81867, 0.82941, 0.904921, 0.853377,,168, 0,-0.00178098,-2.26989,-0.0622719, 0.00373087, 0.0437906, 0.0733913, 0.0360932, 0.0227071,-0.221493,-0.205677,-0.105069,-0.171816
baseline,0,,201, 140.854, 141.878, 501.64, 153.092, 140.942, 135.302, 137.645, 136.646, 138.232, 170.554, 166.77, 157.764, 157.135,,201, 1, 0.992782, 0.280787, 0.920064, 0.999379, 1.04103, 1.02332, 1.03079, 1.01897, 0.825863, 0.8446, 0.892813, 0.896389,,201, 0,-0.00727073,-2.56141,-0.0868805,-0.000621531, 0.0394154, 0.0227867, 0.0298741, 0.018617,-0.210854,-0.183992,-0.120055,-0.115586
rand,1,,234, 149.871, 151.151, 564.595, 160.752, 150.016, 144.616, 150.65, 145.62, 147.693, 181.041, 175.722, 170.305, 167.415,,234, 1, 0.99153, 0.265449, 0.932311, 0.999037, 1.03634, 0.99483, 1.02919, 1.01475, 0.82783, 0.852889, 0.880019, 0.895208,,234, 0,-0.00854235,-2.7672,-0.0726039,-0.000963794, 0.0350662,-0.00519671, 0.0283666, 0.0145339,-0.207977,-0.172486,-0.136339,-0.117059
rand_align,1,,267, 159.317, 160.281, 618.456, 175.084, 159.692, 153.956, 163.913, 155.386, 157.003, 190.47, 184.11, 179.55, 170.981,,267, 1, 0.993986, 0.257604, 0.909945, 0.997649, 1.03482, 0.971961, 1.0253, 1.01474, 0.836442, 0.865334, 0.887314, 0.93178,,267, 0,-0.00604988,-2.88192,-0.098968,-0.00235699, 0.0336514,-0.0288474, 0.0246758, 0.0145226,-0.19554,-0.155624,-0.126997,-0.0732152
seed,0,,300, 169.097, 169.553, 682.085, 185.87, 169.055, 163.934, 171.622, 164.397, 165.832, 200.798, 193.263, 186.662, 180.496,,300, 1, 0.997316, 0.247912, 0.909762, 1.00025, 1.0315, 0.985289, 1.02859, 1.01969, 0.842125, 0.874962, 0.905903, 0.936846,,300, 0,-0.00269164,-3.03368,-0.0991885, 0.000249947, 0.0305375,-0.0149309, 0.0277946, 0.0193083,-0.187472,-0.142907,-0.103871,-0.0674113
