name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,0, 54.2244, 51, 57.0508, 65.9027, 61.3352,,0, 1, 1.06322, 0.95046, 0.822796, 0.884068,,0, 0, 0.0594648,-0.0521223,-0.215368,-0.131135
start,0,,1, 63.5736, 60.3554, 66.3627, 75.2652, 70.7316,,1, 1, 1.05332, 0.957973, 0.844662, 0.898801,,1, 0, 0.0506218,-0.0438709,-0.183905,-0.112593
end,128,,2, 63.8324, 61.1973, 66.6376, 76.0444, 71.7011,,2, 1, 1.04306, 0.957905, 0.83941, 0.890257,,2, 0, 0.041282,-0.0439451,-0.191312,-0.123271
incr,1,,3, 66.3986, 63.2545, 68.8006, 78.0527, 73.7449,,3, 1, 1.04971, 0.965088, 0.850689, 0.900383,,3, 0, 0.0473515,-0.036175,-0.175517,-0.110639
num_try,491520,,4, 67.446, 60.3453, 66.9259, 75.815, 71.6659,,4, 1, 1.11767, 1.00777, 0.889613, 0.941117,,4, 0, 0.105279, 0.00771119,-0.124085,-0.0625672
align,31,,5, 68.4576, 64.8455, 71.1574, 79.7056, 75.8647,,5, 1, 1.0557, 0.962059, 0.858881, 0.902365,,5, 0, 0.0527652,-0.0394377,-0.164305,-0.1082
baseline,0,,6, 69.476, 66.153, 72.1544, 80.9099, 77.0851,,6, 1, 1.05023, 0.96288, 0.858684, 0.90129,,6, 0, 0.0478297,-0.0385507,-0.164573,-0.10952
rand,1,,7, 70.5786, 67.4283, 73.1532, 82.2216, 78.1356,,7, 1, 1.04672, 0.964805, 0.858395, 0.903283,,7, 0, 0.0446348,-0.0364791,-0.164965,-0.107072
rand_align,1,,8, 71.8288, 63.3591, 69.3887, 78.1708, 74.4087,,8, 1, 1.13368, 1.03517, 0.91887, 0.965328,,8, 0, 0.117915, 0.0339705,-0.088293,-0.0359175
seed,0,,9, 72.8488, 67.5999, 73.1676, 82.3025, 78.2453,,9, 1, 1.07765, 0.995642, 0.885134, 0.931031,,9, 0, 0.0720512,-0.00437684,-0.129772,-0.0740785
testmask,0,,10, 74.2999, 68.1169, 74.5767, 83.2455, 79.2822,,10, 1, 1.09077, 0.996289, 0.89254, 0.937157,,10, 0, 0.0832176,-0.00372519,-0.120398,-0.0670568
clock,500,,11, 75.3164, 69.2042, 75.5876, 84.1756, 80.2518,,11, 1, 1.08832, 0.996412, 0.894753, 0.938501,,11, 0, 0.081153,-0.0036009,-0.117626,-0.0655295
=====,,,12, 87.5443, 64.6161, 70.9936, 79.6609, 75.7757,,12, 1, 1.35484, 1.23313, 1.09896, 1.15531,,12, 0, 0.261905, 0.189055, 0.0900506, 0.134431
Totals:,,,13, 88.0942, 69.141, 74.8655, 83.959, 79.6823,,13, 1, 1.27412, 1.1767, 1.04925, 1.10557,,13, 0, 0.215147, 0.150165, 0.0469409, 0.0954879
total_bytes, 8256,,14, 88.4111, 70.1302, 75.748, 85.0286, 80.7644,,14, 1, 1.26067, 1.16717, 1.03978, 1.09468,,14, 0, 0.206771, 0.143229, 0.0382589, 0.0864902
best_test,lx_zan,,15, 88.3813, 71.3443, 76.9617, 85.8089, 81.7912,,15, 1, 1.2388, 1.14838, 1.02998, 1.08057,,15, 0, 0.192766, 0.129208, 0.0291051, 0.0745644
best_total, 11292.5,,16, 88.8999, 66.182, 72.1638, 81.4446, 76.9987,,16, 1, 1.34326, 1.23192, 1.09154, 1.15456,,16, 0, 0.255545, 0.188257, 0.083862, 0.133871
worst_test,lx_mmx64_BA,,17, 89.6383, 70.2622, 76.3287, 85.149, 81.5015,,17, 1, 1.27577, 1.17437, 1.05272, 1.09984,,17, 0, 0.216159, 0.148481, 0.0500816, 0.0907735
worst_total, 14037.9,,18, 89.5429, 71.4181, 77.5523, 86.2337, 81.8386,,18, 1, 1.25378, 1.15461, 1.03837, 1.09414,,18, 0, 0.202415, 0.133909, 0.0369567, 0.0860404
total_local, 13016.1,,19, 89.8074, 72.6911, 78.7228, 87.6117, 82.9771,,19, 1, 1.23547, 1.14081, 1.02506, 1.08232,,19, 0, 0.190589, 0.123426, 0.0244482, 0.0760549
total_lx_zan, 11292.5,,20, 89.9689, 67.6398, 74.125, 82.7284, 78.7397,,20, 1, 1.33012, 1.21374, 1.08752, 1.14261,,20, 0, 0.248187, 0.176103, 0.0804775, 0.124811
total_lx_hyb, 12254.7,,21, 90.4519, 71.6582, 78.0439, 86.6306, 82.6415,,21, 1, 1.26227, 1.15899, 1.04411, 1.09451,,21, 0, 0.207776, 0.137178, 0.0422475, 0.0863483
total_lx_mmx64_BA, 14037.9,,22, 90.7433, 73.094, 78.895, 87.5208, 83.9219,,22, 1, 1.24146, 1.15018, 1.03682, 1.08128,,22, 0, 0.194497, 0.130569, 0.0355119, 0.0751716
total_lx_mmx64_h2, 12871.3,,23, 90.9543, 73.5605, 80.0233, 88.9077, 84.355,,23, 1, 1.23646, 1.1366, 1.02302, 1.07823,,23, 0, 0.191237, 0.120182, 0.0225014, 0.0725569
ratio_local, 1,,24, 91.0893, 69.7952, 75.4241, 84.5135, 80.4601,,24, 1, 1.30509, 1.20769, 1.07781, 1.13211,,24, 0, 0.233771, 0.171976, 0.0721902, 0.11669
ratio_lx_zan, 1.15264,,25, 91.2658, 73.4627, 79.3737, 88.432, 84.128,,25, 1, 1.24234, 1.14983, 1.03204, 1.08484,,25, 0, 0.195069, 0.130303, 0.0310498, 0.078209
ratio_lx_hyb, 1.06213,,26, 91.4865, 74.5933, 80.4781, 89.4635, 85.2816,,26, 1, 1.22647, 1.13679, 1.02261, 1.07276,,26, 0, 0.184652, 0.120328, 0.0221122, 0.067823
ratio_lx_mmx64_BA, 0.927215,,27, 92.2377, 75.4228, 81.2642, 90.2889, 86.2313,,27, 1, 1.22294, 1.13503, 1.02158, 1.06965,,27, 0, 0.1823, 0.11897, 0.021128, 0.0651187
ratio_lx_mmx64_h2, 1.01125,,28, 92.1079, 71.303, 76.8127, 85.6653, 81.9386,,28, 1, 1.29178, 1.19912, 1.07521, 1.12411,,28, 0, 0.225875, 0.166057, 0.0699469, 0.110407
,,,29, 92.5399, 74.9889, 80.824, 89.9617, 85.4301,,29, 1, 1.23405, 1.14496, 1.02866, 1.08322,,29, 0, 0.189659, 0.126604, 0.0278609, 0.0768297
,,,30, 92.5262, 76.1353, 82.207, 90.9532, 86.4087,,30, 1, 1.21529, 1.12553, 1.01729, 1.0708,,30, 0, 0.177149, 0.111527, 0.0170005, 0.0661158
,,,31, 92.9077, 76.7866, 82.9214, 91.8642, 87.6703,,31, 1, 1.20995, 1.12043, 1.01136, 1.05974,,31, 0, 0.173517, 0.107486, 0.0112318, 0.0563714
,,,32, 93.1467, 72.5024, 78.5214, 87.4704, 83.3772,,32, 1, 1.28474, 1.18626, 1.06489, 1.11717,,32, 0, 0.221631, 0.157013, 0.0609393, 0.104883
,,,33, 93.7074, 76.5285, 82.7422, 91.3218, 86.9861,,33, 1, 1.22448, 1.13252, 1.02612, 1.07727,,33, 0, 0.183325, 0.117016, 0.0254582, 0.0717263
,,,34, 94.3995, 77.9071, 83.5155, 92.6361, 88.466,,34, 1, 1.21169, 1.13032, 1.01904, 1.06707,,34, 0, 0.174709, 0.115297, 0.0186798, 0.0628552
,,,35, 94.1741, 78.3414, 84.3353, 93.5955, 89.3997,,35, 1, 1.2021, 1.11666, 1.00618, 1.05341,,35, 0, 0.168122, 0.104474, 0.0061432, 0.0506976
,,,36, 94.4726, 73.9996, 79.9154, 88.8388, 84.9894,,36, 1, 1.27666, 1.18216, 1.06342, 1.11158,,36, 0, 0.216709, 0.15409, 0.0596343, 0.100381
,,,37, 94.759, 78, 83.9267, 93.0025, 88.7139,,37, 1, 1.21486, 1.12907, 1.01889, 1.06814,,37, 0, 0.176859, 0.114315, 0.0185362, 0.0637945
,,,38, 95.0502, 79.3302, 85.4468, 94.0424, 89.8229,,38, 1, 1.19816, 1.11239, 1.01072, 1.05819,,38, 0, 0.165386, 0.101035, 0.0106024, 0.0549942
