name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,0, 54.2242, 51, 54, 62.5661, 56,,0, 1, 1.06322, 1.00415, 0.86667, 0.968289,,0, 0, 0.0594605, 0.00413468,-0.153841,-0.0327492
start,0,,1, 63.5456, 60.3199, 63.3222, 71.888, 65.3245,,1, 1, 1.05348, 1.00353, 0.883954, 0.972769,,1, 0, 0.0507615, 0.00351558,-0.131281,-0.027993
end,128,,2, 63.7853, 61.3225, 64.3295, 72.8799, 66.3279,,2, 1, 1.04016, 0.991541, 0.875212, 0.961667,,2, 0, 0.038611,-0.00853092,-0.142581,-0.0398613
incr,1,,3, 66.557, 63.3231, 66.3226, 74.8846, 68.3229,,3, 1, 1.05107, 1.00353, 0.888794, 0.974153,,3, 0, 0.0485885, 0.00352188,-0.125119,-0.0265329
num_try,491520,,4, 67.5326, 60.3239, 63.328, 71.8712, 65.329,,4, 1, 1.1195, 1.06639, 0.939634, 1.03373,,4, 0, 0.106744, 0.0622605,-0.0642445, 0.0326306
align,0,,5, 68.5351, 64.3368, 67.3237, 75.8641, 69.3259,,5, 1, 1.06525, 1.01799, 0.903393, 0.988593,,5, 0, 0.0612568, 0.0176751,-0.106938,-0.0115387
baseline,0,,6, 69.5345, 65.33, 68.3296, 76.4181, 70.3254,,6, 1, 1.06436, 1.01763, 0.909922, 0.988753,,6, 0, 0.0604654, 0.017327,-0.0989955,-0.0113745
rand,1,,7, 70.5388, 65.3552, 69.3216, 77.4164, 71.326,,7, 1, 1.07931, 1.01756, 0.911161, 0.988964,,7, 0, 0.0734858, 0.017256,-0.0975007,-0.011159
rand_align,0,,8, 71.5474, 61.3233, 64.3332, 72.8772, 66.3235,,8, 1, 1.16672, 1.11214, 0.981753, 1.07876,,8, 0, 0.142899, 0.100831,-0.0185859, 0.0730132
seed,0,,9, 72.8042, 66.3237, 69.3234, 77.4268, 71.3257,,9, 1, 1.09771, 1.05021, 0.940298, 1.02073,,9, 0, 0.0890128, 0.0478104,-0.0634928, 0.0203089
testmask,0,,10, 74.5534, 67.3197, 70.3241, 78.894, 72.3282,,10, 1, 1.10745, 1.06014, 0.944982, 1.03077,,10, 0, 0.0970264, 0.0567285,-0.0582215, 0.029847
clock,500,,11, 75.5444, 68.3208, 71.3205, 79.881, 73.3251,,11, 1, 1.10573, 1.05922, 0.945711, 1.03027,,11, 0, 0.0956195, 0.0559122,-0.0574056, 0.0293775
=====,,,12, 82.2474, 64.3336, 67.3222, 75.887, 69.3273,,12, 1, 1.27845, 1.2217, 1.08381, 1.18636,,12, 0, 0.217804, 0.181466, 0.0773326, 0.157088
Totals:,,,13, 86.1889, 68.3208, 71.3202, 79.8765, 73.3216,,13, 1, 1.26153, 1.20848, 1.07903, 1.17549,,13, 0, 0.207313, 0.172513, 0.073239, 0.149292
total_bytes, 8256,,14, 87.1846, 69.32, 72.3293, 80.8813, 74.3251,,14, 1, 1.25771, 1.20538, 1.07793, 1.17302,,14, 0, 0.204906, 0.170389, 0.0722987, 0.147497
best_test,lx_zan,,15, 88.2253, 70.3195, 73.3291, 81.8859, 75.3229,,15, 1, 1.25464, 1.20314, 1.07742, 1.17129,,15, 0, 0.202956, 0.168843, 0.071855, 0.146244
best_total, 10495.5,,16, 83.2761, 65.3349, 68.3244, 76.4044, 70.322,,16, 1, 1.2746, 1.21883, 1.08994, 1.18421,,16, 0, 0.215442, 0.179544, 0.0825176, 0.155557
worst_test,local,,17, 87.1882, 69.3227, 72.3262, 80.8788, 74.3266,,17, 1, 1.25771, 1.20549, 1.07801, 1.17304,,17, 0, 0.204907, 0.170459, 0.0723654, 0.147515
worst_total, 12657.4,,18, 88.2296, 70.3225, 73.3336, 81.8762, 75.3303,,18, 1, 1.25464, 1.20313, 1.0776, 1.17124,,18, 0, 0.20296, 0.168832, 0.0720096, 0.146202
total_local, 12657.4,,19, 89.1203, 71.3196, 74.321, 82.8879, 76.3271,,19, 1, 1.24959, 1.19913, 1.07519, 1.16761,,19, 0, 0.199738, 0.16606, 0.0699323, 0.14355
total_lx_zan, 10495.5,,20, 84.1928, 66.3224, 69.3202, 77.4147, 71.3214,,20, 1, 1.26945, 1.21455, 1.08756, 1.18047,,20, 0, 0.212256, 0.176649, 0.0805066, 0.15288
total_lx_hyb, 10885.2,,21, 88.2283, 70.3216, 73.3314, 81.8883, 75.3253,,21, 1, 1.25464, 1.20314, 1.07742, 1.1713,,21, 0, 0.202959, 0.168845, 0.0718594, 0.146245
total_lx_mmx64_BA, 12435.3,,22, 89.1223, 71.3254, 74.32, 82.8778, 76.3198,,22, 1, 1.24952, 1.19917, 1.07535, 1.16775,,22, 0, 0.199691, 0.166089, 0.0700662, 0.14365
total_lx_mmx64_h2, 11143.8,,23, 90.252, 72.3296, 75.3242, 83.8716, 77.3238,,23, 1, 1.24779, 1.19818, 1.07607, 1.1672,,23, 0, 0.198582, 0.165401, 0.0706954, 0.143246
ratio_local, 1,,24, 85.1864, 67.3239, 70.3214, 78.8906, 72.3263,,24, 1, 1.26532, 1.21139, 1.0798, 1.17781,,24, 0, 0.209687, 0.1745, 0.0739059, 0.150965
