ptest -- strlen version 1.0
start	1	end	128
incr	1	ntry	1000000
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i486	        	   i486p	        	  lxSimp	        	    lxus	        
       1	   0.000%	  75.696	   3.600%	  72.971	   0.077%	  75.638	  12.657%	  66.115	  -0.272%	  75.902
       2	   0.000%	  87.129	   4.142%	  83.520	  -0.450%	  87.521	  21.683%	  68.237	  11.294%	  77.289
       3	   0.000%	  94.185	   3.796%	  90.610	  -1.229%	  95.342	  25.022%	  70.618	  15.775%	  79.327
       4	   0.000%	  96.975	   3.505%	  93.576	  -0.753%	  97.704	  25.156%	  72.580	  14.843%	  82.581
       5	   0.000%	  99.751	   3.414%	  96.345	  -0.634%	 100.383	  24.869%	  74.944	  14.208%	  85.578
       6	   0.000%	 102.627	   3.313%	  99.227	  -0.658%	 103.302	  25.026%	  76.944	  14.718%	  87.522
       7	   0.000%	 105.358	   3.046%	 102.148	  -0.712%	 106.108	  24.899%	  79.125	  14.970%	  89.585
       8	   0.000%	 108.461	   3.201%	 104.989	  -0.881%	 109.417	  25.023%	  81.321	  15.539%	  91.607
       9	   0.000%	 111.327	   3.040%	 107.943	  -1.265%	 112.736	  25.048%	  83.442	  15.968%	  93.550
      10	   0.000%	 114.411	   3.175%	 110.779	  -1.638%	 116.285	  25.075%	  85.723	  16.364%	  95.689
      11	   0.000%	 117.263	   3.220%	 113.487	  -1.952%	 119.551	  24.982%	  87.968	  16.879%	  97.470
      12	   0.000%	 120.959	   3.222%	 117.062	  -1.643%	 122.947	  25.418%	  90.213	  17.678%	  99.576
      13	   0.000%	 124.472	   2.754%	 121.044	  -1.618%	 126.486	  25.907%	  92.225	  18.430%	 101.531
      14	   0.000%	 128.431	   2.934%	 124.662	  -1.292%	 130.090	  25.724%	  95.394	  19.099%	 103.901
      15	   0.000%	 131.788	   2.913%	 127.950	  -1.411%	 133.648	  26.382%	  97.019	  19.790%	 105.707
      16	   0.000%	 133.839	   2.699%	 130.227	  -1.702%	 136.117	  25.487%	  99.728	  19.419%	 107.849
