ptest -- strlen version 1.0
start	1	end	128
incr	1	ntry	1000000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i486	        	   i486p	        	  lxSimp	        	    lxus	        
       1	   0.000%	  75.862	   4.060%	  72.782	  -0.001%	  75.863	  13.271%	  65.794	  -4.648%	  79.388
       2	   0.000%	  80.861	   4.155%	  77.501	   0.532%	  80.431	  16.172%	  67.784	   0.956%	  80.088
       3	   0.000%	  78.196	   4.185%	  74.923	   0.879%	  77.508	  11.366%	  69.308	  -5.066%	  82.157
       4	   0.000%	  82.054	   3.916%	  78.841	   0.877%	  81.334	  12.514%	  71.786	  -5.779%	  86.796
       5	   0.000%	  86.638	   3.989%	  83.182	   1.079%	  85.703	  14.835%	  73.786	  -3.132%	  89.351
       6	   0.000%	  91.229	   3.284%	  88.233	   0.702%	  90.589	  16.922%	  75.791	   0.461%	  90.808
       7	   0.000%	  89.242	   3.676%	  85.962	   1.030%	  88.324	  12.842%	  77.782	  -4.624%	  93.369
       8	   0.000%	  93.117	   3.713%	  89.659	  -1.821%	  94.812	  14.323%	  79.780	  -1.827%	  94.818
       9	   0.000%	  97.551	   3.452%	  94.183	  -1.638%	  99.148	  16.154%	  81.793	   0.190%	  97.366
      10	   0.000%	 102.855	   3.550%	  99.203	  -1.344%	 104.237	  18.547%	  83.778	   3.951%	  98.791
      11	   0.000%	  99.984	   3.718%	  96.267	  -1.471%	 101.455	  14.678%	  85.309	  -1.369%	 101.353
      12	   0.000%	 107.400	   3.284%	 103.873	  -1.737%	 109.265	  18.279%	  87.768	   4.434%	 102.637
      13	   0.000%	 112.060	   3.093%	 108.594	  -1.696%	 113.960	  19.869%	  89.795	   5.965%	 105.375
      14	   0.000%	 117.020	   3.206%	 113.269	  -1.592%	 118.884	  21.573%	  91.775	   8.883%	 106.626
      15	   0.000%	 112.757	   3.349%	 108.981	  -1.700%	 114.674	  16.823%	  93.788	   3.022%	 109.350
      16	   0.000%	 115.291	   2.946%	 111.895	  -2.698%	 118.402	  16.920%	  95.784	   4.044%	 110.629
      17	   0.000%	 119.957	   2.835%	 116.556	  -2.289%	 122.703	  18.486%	  97.782	   5.501%	 113.359
      18	   0.000%	 124.821	   2.835%	 121.282	  -2.385%	 127.797	  20.062%	  99.780	   8.156%	 114.640
      19	   0.000%	 122.003	   3.138%	 118.174	  -2.507%	 125.061	  16.963%	 101.307	   3.811%	 117.353
      20	   0.000%	 123.421	   2.850%	 119.904	  -2.405%	 126.390	  15.905%	 103.791	   3.895%	 118.614
      21	   0.000%	 127.983	   2.578%	 124.683	  -2.278%	 130.899	  17.342%	 105.789	   5.164%	 121.374
      22	   0.000%	 132.938	   2.838%	 129.165	  -2.105%	 135.737	  18.924%	 107.781	   7.488%	 122.984
      23	   0.000%	 130.918	   2.926%	 127.087	  -2.079%	 133.640	  16.135%	 109.794	   4.236%	 125.373
      24	   0.000%	 132.688	   3.039%	 128.656	  -2.078%	 135.446	  15.755%	 111.783	   4.548%	 126.653
      25	   0.000%	 137.165	   2.707%	 133.452	  -2.014%	 139.928	  17.044%	 113.786	   5.687%	 129.365
      26	   0.000%	 141.843	   2.283%	 138.605	  -2.106%	 144.830	  18.374%	 115.781	   7.648%	 130.994
      27	   0.000%	 138.955	   2.695%	 135.210	  -1.917%	 141.618	  15.209%	 117.821	   4.158%	 133.177
      28	   0.000%	 142.484	   2.611%	 138.764	  -2.259%	 145.703	  15.933%	 119.783	   5.342%	 134.873
      29	   0.000%	 147.303	   2.635%	 143.422	  -1.716%	 149.831	  17.305%	 121.812	   6.739%	 137.376
      30	   0.000%	 152.193	   2.383%	 148.566	  -1.738%	 154.838	  18.667%	 123.784	   9.741%	 137.368
      31	   0.000%	 149.044	   2.534%	 145.267	  -1.862%	 151.819	  15.611%	 125.776	   7.822%	 137.386
      32	   0.000%	 155.618	   2.561%	 151.632	  -0.836%	 156.919	  14.449%	 133.132	 -11.650%	 173.747
      33	   0.000%	 160.361	   2.566%	 156.246	   0.043%	 160.292	  14.981%	 136.337	  -9.893%	 176.226
      34	   0.000%	 165.295	   2.385%	 161.352	   0.151%	 165.045	  16.319%	 138.321	  -7.685%	 177.998
      35	   0.000%	 162.201	   2.278%	 158.506	   0.069%	 162.089	  13.520%	 140.272	 -11.119%	 180.236
      36	   0.000%	 163.645	   2.449%	 159.638	   0.762%	 162.399	  13.338%	 141.818	 -13.509%	 185.752
      37	   0.000%	 168.370	   2.456%	 164.234	   0.574%	 167.404	  14.283%	 144.322	 -13.934%	 191.829
      38	   0.000%	 173.297	   2.270%	 169.363	   0.570%	 172.308	  15.570%	 146.314	 -11.667%	 193.515
      39	   0.000%	 170.975	   2.228%	 167.167	   0.481%	 170.153	  13.281%	 148.268	 -14.495%	 195.757
      40	   0.000%	 172.538	   2.234%	 168.683	  -4.129%	 179.663	  13.172%	 149.811	 -14.579%	 197.693
      41	   0.000%	 177.081	   2.001%	 173.537	  -4.274%	 184.649	  13.970%	 152.342	 -12.837%	 199.812
      42	   0.000%	 182.046	   1.941%	 178.513	  -4.218%	 189.725	  15.228%	 154.325	 -10.692%	 201.511
      43	   0.000%	 178.964	   2.130%	 175.153	  -4.158%	 186.405	  12.682%	 156.268	 -13.856%	 203.760
      44	   0.000%	 182.629	   2.164%	 178.678	  -3.844%	 189.650	  13.588%	 157.814	 -12.615%	 205.668
      45	   0.000%	 187.344	   1.973%	 183.648	  -3.878%	 194.610	  14.418%	 160.333	 -10.877%	 207.722
      46	   0.000%	 192.208	   1.890%	 188.576	  -3.837%	 199.583	  15.549%	 162.322	  -8.994%	 209.495
      47	   0.000%	 188.889	   1.850%	 185.394	  -3.974%	 196.396	  13.027%	 164.282	 -12.089%	 211.723
      48	   0.000%	 190.702	   2.121%	 186.658	  -4.312%	 198.925	  13.054%	 165.809	 -12.046%	 213.674
      49	   0.000%	 195.278	   1.892%	 191.583	  -4.155%	 203.392	  13.801%	 168.329	 -10.455%	 215.695
      50	   0.000%	 200.008	   1.745%	 196.518	  -4.243%	 208.495	  14.845%	 170.318	  -8.733%	 217.474
      51	   0.000%	 196.873	   1.765%	 193.398	  -4.261%	 205.261	  12.487%	 172.289	 -11.598%	 219.705
      52	   0.000%	 198.713	   2.038%	 194.663	  -4.139%	 206.938	  12.536%	 173.801	 -11.537%	 221.638
      53	   0.000%	 202.876	   1.619%	 199.592	  -4.197%	 211.390	  13.078%	 176.344	 -10.308%	 223.788
      54	   0.000%	 208.128	   1.724%	 204.540	  -4.030%	 216.515	  14.327%	 178.310	  -8.340%	 225.485
      55	   0.000%	 206.020	   1.793%	 202.326	  -4.112%	 214.492	  12.491%	 180.287	 -10.540%	 227.734
      56	   0.000%	 207.396	   1.665%	 203.942	  -4.177%	 216.059	  12.334%	 181.816	 -10.741%	 229.673
      57	   0.000%	 212.182	   1.802%	 208.358	  -3.892%	 220.440	  13.130%	 184.324	  -9.250%	 231.809
      58	   0.000%	 217.639	   2.006%	 213.272	  -3.657%	 225.597	  14.395%	 186.310	  -7.304%	 233.534
      59	   0.000%	 214.023	   1.734%	 210.311	  -3.961%	 222.501	  12.024%	 188.290	 -10.166%	 235.780
      60	   0.000%	 217.736	   1.761%	 213.901	  -3.749%	 225.899	  12.822%	 189.817	  -9.179%	 237.722
      61	   0.000%	 222.660	   1.817%	 218.615	  -3.435%	 230.309	  13.621%	 192.332	  -7.710%	 239.826
      62	   0.000%	 227.482	   1.590%	 223.865	  -3.577%	 235.619	  14.580%	 194.314	  -5.429%	 239.833
      63	   0.000%	 224.289	   1.816%	 220.216	  -3.612%	 232.390	  12.490%	 196.276	  -6.930%	 239.834
      64	   0.000%	 231.503	   1.823%	 227.282	  -2.135%	 236.445	  12.063%	 203.578	 -10.675%	 256.215
      65	   0.000%	 235.759	   1.566%	 232.067	  -1.947%	 240.350	  12.255%	 206.868	  -9.614%	 258.424
      66	   0.000%	 240.792	   1.603%	 236.932	  -1.658%	 244.785	  13.277%	 208.823	  -8.054%	 260.186
      67	   0.000%	 237.523	   1.490%	 233.984	  -1.968%	 242.197	  11.444%	 210.341	 -10.639%	 262.792
      68	   0.000%	 239.400	   1.729%	 235.260	  -1.392%	 242.733	  10.967%	 213.144	 -12.241%	 268.705
      69	   0.000%	 243.825	   1.582%	 239.968	  -1.236%	 246.840	  11.767%	 215.134	 -12.817%	 275.076
      70	   0.000%	 248.991	   1.632%	 244.929	  -1.264%	 252.138	  12.824%	 217.060	 -11.148%	 276.748
      71	   0.000%	 246.959	   1.650%	 242.883	  -1.322%	 250.223	  11.479%	 218.611	 -12.997%	 279.057
      72	   0.000%	 248.326	   1.592%	 244.374	  -4.726%	 260.063	  10.942%	 221.153	 -13.047%	 280.725
      73	   0.000%	 252.671	   1.410%	 249.108	  -4.615%	 264.332	  11.686%	 223.143	 -11.936%	 282.829
      74	   0.000%	 257.501	   1.350%	 254.024	  -4.554%	 269.228	  12.596%	 225.067	 -10.670%	 284.976
      75	   0.000%	 254.636	   1.426%	 251.005	  -4.421%	 265.893	  11.046%	 226.509	 -12.763%	 287.135
      76	   0.000%	 258.401	   1.550%	 254.396	  -4.403%	 269.779	  11.326%	 229.134	 -11.832%	 288.974
      77	   0.000%	 262.763	   1.353%	 259.208	  -4.324%	 274.125	  12.039%	 231.129	 -10.764%	 291.046
      78	   0.000%	 267.707	   1.451%	 263.822	  -4.342%	 279.332	  12.909%	 233.148	  -9.340%	 292.710
      79	   0.000%	 264.692	   1.570%	 260.536	  -4.434%	 276.428	  11.345%	 234.663	 -11.452%	 295.005
      80	   0.000%	 266.609	   1.509%	 262.585	  -4.564%	 278.778	  11.044%	 237.164	 -11.291%	 296.712
      81	   0.000%	 270.706	   1.365%	 267.010	  -4.593%	 283.138	  11.658%	 239.147	 -10.368%	 298.772
      82	   0.000%	 275.950	   1.374%	 272.160	  -4.466%	 288.273	  12.642%	 241.064	  -9.059%	 300.948
      83	   0.000%	 272.707	   1.367%	 268.979	  -4.587%	 285.215	  11.082%	 242.486	 -11.149%	 303.112
      84	   0.000%	 274.400	   1.421%	 270.500	  -4.509%	 286.773	  10.693%	 245.060	 -11.128%	 304.934
      85	   0.000%	 278.628	   1.256%	 275.128	  -4.657%	 291.605	  11.327%	 247.068	 -10.194%	 307.031
      86	   0.000%	 283.609	   1.391%	 279.665	  -4.425%	 296.159	  12.124%	 249.224	  -8.848%	 308.704
      87	   0.000%	 281.419	   1.204%	 278.031	  -4.551%	 294.227	  10.930%	 250.659	 -10.532%	 311.058
      88	   0.000%	 283.469	   1.277%	 279.848	  -4.211%	 295.406	  10.815%	 252.811	 -10.307%	 312.685
      89	   0.000%	 287.750	   1.435%	 283.621	  -4.366%	 300.314	  11.451%	 254.800	  -9.403%	 314.806
      90	   0.000%	 292.677	   1.389%	 288.612	  -4.271%	 305.176	  12.187%	 257.009	  -8.306%	 316.988
      91	   0.000%	 289.487	   1.128%	 286.221	  -4.433%	 302.322	  10.742%	 258.392	 -10.244%	 319.142
      92	   0.000%	 293.704	   1.522%	 289.233	  -3.962%	 305.340	  11.267%	 260.611	  -9.284%	 320.972
      93	   0.000%	 297.858	   1.210%	 294.254	  -4.159%	 310.244	  11.829%	 262.623	  -8.459%	 323.054
      94	   0.000%	 302.651	   1.196%	 299.031	  -4.248%	 315.509	  12.508%	 264.797	  -6.744%	 323.062
      95	   0.000%	 299.902	   1.289%	 296.037	  -4.066%	 312.096	  10.983%	 266.963	  -7.723%	 323.065
      96	   0.000%	 306.703	   1.403%	 302.400	  -3.264%	 316.715	  10.540%	 274.377	 -10.621%	 339.279
      97	   0.000%	 311.100	   1.266%	 307.162	  -2.786%	 319.767	  10.862%	 277.309	  -9.705%	 341.293
      98	   0.000%	 316.329	   1.324%	 312.140	  -2.600%	 324.554	  11.587%	 279.675	  -8.580%	 343.471
      99	   0.000%	 312.935	   1.082%	 309.550	  -2.818%	 321.753	   9.994%	 281.660	 -10.524%	 345.868
     100	   0.000%	 314.651	   1.216%	 310.823	  -2.459%	 322.389	   9.850%	 283.659	 -11.811%	 351.815
     101	   0.000%	 319.003	   1.157%	 315.311	  -2.542%	 327.113	  10.503%	 285.499	 -12.347%	 358.390
     102	   0.000%	 323.890	   1.136%	 320.211	  -2.501%	 331.990	  11.181%	 287.676	 -11.159%	 360.034
     103	   0.000%	 322.319	   1.243%	 318.312	  -2.248%	 329.566	  10.024%	 290.010	 -12.292%	 361.937
     104	   0.000%	 323.380	   1.129%	 319.730	  -4.865%	 339.112	   9.794%	 291.707	 -12.535%	 363.917
     105	   0.000%	 328.126	   1.166%	 324.300	  -4.827%	 343.966	  10.609%	 293.316	 -11.602%	 366.196
     106	   0.000%	 332.918	   1.084%	 329.311	  -4.950%	 349.397	  11.186%	 295.678	 -10.485%	 367.825
     107	   0.000%	 330.267	   1.145%	 326.483	  -4.691%	 345.758	   9.874%	 297.656	 -11.953%	 369.744
     108	   0.000%	 333.577	   1.020%	 330.175	  -4.739%	 349.384	  10.171%	 299.649	 -11.618%	 372.331
     109	   0.000%	 338.442	   1.196%	 334.393	  -4.530%	 353.774	  10.911%	 301.514	 -10.501%	 373.981
     110	   0.000%	 343.225	   1.103%	 339.439	  -4.566%	 358.896	  11.523%	 303.675	  -9.557%	 376.029
     111	   0.000%	 339.956	   1.064%	 336.340	  -4.639%	 355.728	   9.977%	 306.037	 -11.168%	 377.924
     112	   0.000%	 341.656	   1.095%	 337.913	  -4.999%	 358.736	   9.942%	 307.689	 -11.191%	 379.890
     113	   0.000%	 345.956	   1.021%	 342.422	  -4.879%	 362.835	  10.592%	 309.313	 -10.464%	 382.158
     114	   0.000%	 351.039	   0.963%	 347.659	  -4.815%	 367.941	  11.207%	 311.697	  -9.332%	 383.799
     115	   0.000%	 347.677	   1.078%	 343.927	  -5.008%	 365.089	   9.788%	 313.646	 -10.950%	 385.748
     116	   0.000%	 349.223	   0.893%	 346.103	  -4.916%	 366.389	   9.609%	 315.665	 -11.194%	 388.315
     117	   0.000%	 354.206	   1.093%	 350.335	  -4.657%	 370.700	  10.364%	 317.497	 -10.105%	 389.997
     118	   0.000%	 359.159	   1.043%	 355.414	  -4.666%	 375.916	  10.995%	 319.669	  -9.144%	 392.000
     119	   0.000%	 356.635	   0.981%	 353.138	  -4.922%	 374.188	   9.701%	 322.037	 -10.450%	 393.904
     120	   0.000%	 358.610	   1.142%	 354.515	  -4.687%	 375.419	   9.732%	 323.712	 -10.400%	 395.907
     121	   0.000%	 363.209	   1.091%	 359.246	  -4.677%	 380.198	  10.430%	 325.325	  -9.627%	 398.175
     122	   0.000%	 368.107	   1.011%	 364.386	  -4.634%	 385.166	  10.979%	 327.693	  -8.621%	 399.840
     123	   0.000%	 364.834	   0.978%	 361.266	  -4.644%	 381.777	   9.645%	 329.645	 -10.130%	 401.791
     124	   0.000%	 368.490	   1.000%	 364.804	  -4.566%	 385.315	   9.995%	 331.660	  -9.727%	 404.335
     125	   0.000%	 373.309	   1.072%	 369.306	  -4.492%	 390.079	  10.667%	 333.489	  -8.851%	 406.351
     126	   0.000%	 377.863	   0.869%	 374.580	  -4.548%	 395.048	  11.169%	 335.660	  -7.540%	 406.352
     127	   0.000%	 375.163	   0.982%	 371.478	  -4.500%	 392.046	   9.901%	 338.020	  -8.313%	 406.349
     128	   0.000%	 382.265	   1.121%	 377.980	  -3.540%	 395.799	   9.682%	 345.255	 -10.565%	 422.651
