ptest -- memcmp version 1.0
start	0	end	128
incr	1	ntry	10016
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i686	        	  lxCond	        	    lxDw	        
       0	   0.000%	  67.070	   5.250%	  63.548	  10.442%	  60.066	   7.559%	  62.000	 -15.429%	  77.418
       1	   0.000%	 101.101	   3.707%	  97.352	   8.526%	  92.480	   5.327%	  95.715	  -8.677%	 109.873
       2	   0.000%	 108.528	   3.603%	 104.618	 -17.088%	 127.073	   4.823%	 103.293	  -8.444%	 117.692
       3	   0.000%	 111.946	   2.812%	 108.798	 -17.335%	 131.351	   4.699%	 106.686	  -8.688%	 121.672
       4	   0.000%	 115.952	   3.559%	 111.825	 -11.624%	 129.431	   4.306%	 110.959	   1.751%	 113.921
       5	   0.000%	 119.840	   3.191%	 116.015	 -11.272%	 133.348	   4.573%	 114.359	  -1.439%	 121.565
       6	   0.000%	 123.660	   2.987%	 119.966	 -12.410%	 139.006	   4.604%	 117.967	  -2.253%	 126.446
       7	   0.000%	 127.768	   3.255%	 123.609	 -10.777%	 141.537	   4.432%	 122.105	  -1.701%	 129.942
       8	   0.000%	 131.542	   3.904%	 126.407	  -5.383%	 138.624	   4.195%	 126.024	   5.458%	 124.363
       9	   0.000%	 134.581	   2.424%	 131.318	  -5.718%	 142.276	   4.027%	 129.162	   2.367%	 131.395
      10	   0.000%	 138.609	   2.382%	 135.307	  -5.612%	 146.388	   3.801%	 133.340	   1.691%	 136.264
      11	   0.000%	 142.300	   2.832%	 138.270	  -5.707%	 150.421	   3.472%	 137.360	   1.253%	 140.517
      12	   0.000%	 146.735	   2.791%	 142.640	  -0.994%	 148.193	   4.100%	 140.719	   9.568%	 132.695
      13	   0.000%	 150.626	   2.977%	 146.142	  -1.449%	 152.808	   3.942%	 144.688	   6.926%	 140.193
      14	   0.000%	 153.514	   2.947%	 148.990	  -1.772%	 156.235	   2.842%	 149.151	   6.464%	 143.592
      15	   0.000%	 157.686	   2.492%	 153.756	  -1.275%	 159.696	   2.885%	 153.136	   6.292%	 147.765
      16	   0.000%	 162.493	   3.176%	 157.333	   2.914%	 157.759	   3.530%	 156.757	  13.996%	 139.750
      17	   0.000%	 166.576	   3.052%	 161.492	   2.775%	 161.953	   3.866%	 160.136	  11.830%	 146.869
      18	   0.000%	 170.683	   3.239%	 165.154	   3.513%	 164.686	   3.806%	 164.187	  11.009%	 151.893
      19	   0.000%	 174.716	   2.866%	 169.708	   3.111%	 169.280	   3.544%	 168.523	  11.245%	 155.069
      20	   0.000%	 176.639	   1.647%	 173.729	   6.027%	 165.992	   2.468%	 172.279	  16.487%	 147.516
      21	   0.000%	 180.373	   1.744%	 177.227	   5.359%	 170.707	   2.828%	 175.271	  14.455%	 154.299
      22	   0.000%	 185.640	   3.030%	 180.014	   5.949%	 174.595	   3.803%	 178.580	  14.548%	 158.632
      23	   0.000%	 188.689	   2.102%	 184.723	   5.827%	 177.694	   2.736%	 183.527	  14.478%	 161.371
      24	   0.000%	 191.673	   1.701%	 188.412	   8.531%	 175.321	   2.481%	 186.918	  18.895%	 155.457
      25	   0.000%	 195.815	   2.158%	 191.590	   8.824%	 178.537	   2.923%	 190.091	  17.831%	 160.898
      26	   0.000%	 199.640	   2.381%	 194.887	   8.981%	 181.711	   3.055%	 193.541	  16.814%	 166.072
      27	   0.000%	 201.402	   1.974%	 197.426	   7.487%	 186.323	   2.569%	 196.229	  16.204%	 168.766
      28	   0.000%	 206.151	   2.731%	 200.520	  11.217%	 183.028	   2.029%	 201.968	  21.029%	 162.800
      29	   0.000%	 208.629	   1.690%	 205.104	  10.012%	 187.741	   1.934%	 204.594	  19.341%	 168.278
      30	   0.000%	 211.976	   1.584%	 208.618	   9.639%	 191.542	   1.972%	 207.795	  18.340%	 173.099
      31	   0.000%	 215.387	   1.375%	 212.425	   9.603%	 194.703	   2.130%	 210.800	  18.542%	 175.451
      32	   0.000%	 218.209	   1.729%	 214.436	  15.532%	 184.316	   2.151%	 213.515	  22.199%	 169.769
      33	   0.000%	 220.020	   1.331%	 217.090	  14.012%	 189.191	   1.707%	 216.265	  20.492%	 174.933
      34	   0.000%	 222.689	   1.207%	 220.001	  14.018%	 191.472	   1.470%	 219.415	  19.874%	 178.433
      35	   0.000%	 229.222	   1.732%	 225.252	  14.725%	 195.468	   3.325%	 221.600	  19.907%	 183.592
      36	   0.000%	 231.171	   2.311%	 225.829	  16.732%	 192.491	   2.004%	 226.538	  23.466%	 176.925
      37	   0.000%	 232.542	   0.532%	 231.306	  15.828%	 195.736	   1.137%	 229.899	  22.135%	 181.069
      38	   0.000%	 238.243	   2.225%	 232.941	  16.336%	 199.324	   2.740%	 231.715	  22.307%	 185.098
      39	   0.000%	 241.768	   1.236%	 238.780	  16.163%	 202.690	   1.573%	 237.966	  22.221%	 188.045
      40	   0.000%	 243.712	   0.756%	 241.870	  18.620%	 198.332	   1.560%	 239.911	  24.718%	 183.472
      41	   0.000%	 250.320	   2.683%	 243.605	  18.666%	 203.595	   3.191%	 242.333	  25.122%	 187.435
      42	   0.000%	 252.080	   2.147%	 246.668	  17.786%	 207.244	   3.106%	 244.249	  24.516%	 190.280
      43	   0.000%	 254.361	   1.163%	 251.403	  17.734%	 209.254	   2.623%	 247.690	  23.372%	 194.912
      44	   0.000%	 257.758	   1.262%	 254.506	  19.387%	 207.787	   1.673%	 253.446	  26.319%	 189.919
      45	   0.000%	 260.608	   1.196%	 257.490	  19.027%	 211.021	   2.105%	 255.121	  25.342%	 194.563
      46	   0.000%	 266.050	   2.889%	 258.365	  19.744%	 213.520	   2.768%	 258.684	  25.774%	 197.478
      47	   0.000%	 265.760	   0.575%	 264.233	  19.234%	 214.643	   2.010%	 260.419	  25.090%	 199.082
      48	   0.000%	 267.518	   0.598%	 265.919	  20.182%	 213.528	  -0.137%	 267.885	  27.172%	 194.830
      49	   0.000%	 272.253	   3.057%	 263.932	  20.850%	 215.489	   1.314%	 268.675	  26.601%	 199.831
      50	   0.000%	 273.505	   0.665%	 271.685	  20.456%	 217.556	   1.171%	 270.303	  26.228%	 201.771
      51	   0.000%	 279.888	   1.079%	 276.868	  21.272%	 220.351	   3.063%	 271.316	  27.158%	 203.875
      52	   0.000%	 282.105	   2.202%	 275.892	  22.337%	 219.092	   1.211%	 278.688	  29.159%	 199.846
      53	   0.000%	 283.674	   0.399%	 282.541	  21.952%	 221.402	   1.825%	 278.498	  28.215%	 203.634
      54	   0.000%	 285.245	   0.500%	 283.820	  20.283%	 227.388	   0.867%	 282.773	  27.541%	 206.686
      55	   0.000%	 287.915	   0.591%	 286.215	  20.403%	 229.172	   1.370%	 283.971	  27.585%	 208.495
      56	   0.000%	 293.981	   2.128%	 287.725	  22.643%	 227.416	   3.515%	 283.647	  30.370%	 204.699
      57	   0.000%	 294.597	   0.149%	 294.159	  21.912%	 230.044	   0.706%	 292.517	  29.306%	 208.263
      58	   0.000%	 302.810	   2.340%	 295.725	  23.674%	 231.122	   3.959%	 290.821	  30.645%	 210.014
      59	   0.000%	 299.479	   0.619%	 297.625	  21.918%	 233.838	   0.907%	 296.763	  28.904%	 212.919
      60	   0.000%	 305.379	   0.249%	 304.619	  23.640%	 233.189	   2.989%	 296.252	  31.530%	 209.091
      61	   0.000%	 308.962	   0.490%	 307.448	  22.626%	 239.056	   1.785%	 303.447	  31.375%	 212.025
      62	   0.000%	 308.920	   0.773%	 306.533	  22.392%	 239.748	  -0.088%	 309.193	  30.393%	 215.030
      63	   0.000%	 316.578	   1.808%	 310.855	  22.475%	 245.428	   2.519%	 308.605	  32.103%	 214.947
      64	   0.000%	 311.788	   0.509%	 310.200	  24.873%	 234.236	   0.480%	 310.292	  31.697%	 212.960
      65	   0.000%	 321.808	   0.881%	 318.974	  24.757%	 242.138	   3.400%	 310.866	  32.910%	 215.900
      66	   0.000%	 322.281	   0.251%	 321.472	  24.978%	 241.782	   0.681%	 320.085	  31.083%	 222.106
      67	   0.000%	 325.999	   1.539%	 320.982	  25.048%	 244.343	   3.464%	 314.707	  31.276%	 224.041
      68	   0.000%	 330.845	   2.949%	 321.090	  26.537%	 243.049	   2.962%	 321.044	  34.568%	 216.480
      69	   0.000%	 333.347	   0.791%	 330.711	  26.623%	 244.599	   3.269%	 322.451	  33.116%	 222.957
      70	   0.000%	 332.568	   0.585%	 330.624	  26.097%	 245.778	   0.588%	 330.611	  32.169%	 225.584
      71	   0.000%	 334.918	   0.885%	 331.953	  26.249%	 247.004	   0.045%	 334.768	  32.276%	 226.819
      72	   0.000%	 335.465	   0.470%	 333.890	  24.945%	 251.782	   0.556%	 333.602	  33.369%	 223.523
      73	   0.000%	 343.264	   2.778%	 333.727	  26.201%	 253.326	   2.292%	 335.395	  34.115%	 226.160
      74	   0.000%	 346.384	   1.368%	 341.644	  26.551%	 254.416	   0.393%	 345.021	  34.321%	 227.501
      75	   0.000%	 344.541	   0.647%	 342.313	  25.778%	 255.727	   0.466%	 342.936	  33.545%	 228.966
      76	   0.000%	 346.218	   0.008%	 346.189	  26.086%	 255.902	   0.557%	 344.289	  34.623%	 226.346
      77	   0.000%	 356.905	   2.331%	 348.586	  28.044%	 256.813	   2.829%	 346.809	  35.719%	 229.423
      78	   0.000%	 350.992	   1.421%	 346.005	  26.827%	 256.832	   1.203%	 346.769	  34.492%	 229.929
      79	   0.000%	 362.690	   1.563%	 357.021	  27.019%	 264.694	   1.897%	 355.811	  36.421%	 230.596
      80	   0.000%	 359.148	   0.873%	 356.013	  28.084%	 258.284	   0.647%	 356.823	  36.209%	 229.103
      81	   0.000%	 366.004	   2.826%	 355.659	  27.746%	 264.452	   3.442%	 353.407	  36.901%	 230.944
      82	   0.000%	 368.546	   2.330%	 359.957	  27.187%	 268.351	   1.476%	 363.105	  35.187%	 238.865
      83	   0.000%	 373.541	   0.821%	 370.475	  28.891%	 265.622	   2.021%	 365.992	  36.010%	 239.030
      84	   0.000%	 378.197	   0.530%	 376.191	  29.684%	 265.933	   0.764%	 375.309	  38.846%	 231.283
      85	   0.000%	 380.412	   0.807%	 377.342	  29.467%	 268.317	   1.452%	 374.888	  37.326%	 238.419
      86	   0.000%	 378.437	  -0.434%	 380.080	  28.980%	 268.765	   0.343%	 377.138	  36.489%	 240.348
      87	   0.000%	 382.065	   0.613%	 379.723	  30.476%	 265.626	   0.841%	 378.853	  36.935%	 240.951
      88	   0.000%	 385.033	   1.028%	 381.075	  29.985%	 269.580	   1.109%	 380.762	  37.906%	 239.082
      89	   0.000%	 385.217	   0.586%	 382.960	  29.095%	 273.139	   0.646%	 382.728	  37.592%	 240.406
      90	   0.000%	 394.953	   3.217%	 382.246	  29.902%	 276.854	   3.259%	 382.079	  38.747%	 241.922
      91	   0.000%	 386.017	   0.190%	 385.283	  29.314%	 272.862	   0.484%	 384.150	  37.405%	 241.627
      92	   0.000%	 394.715	   1.810%	 387.572	  30.818%	 273.073	   3.465%	 381.039	  39.065%	 240.521
      93	   0.000%	 396.241	   0.609%	 393.827	  30.671%	 274.711	   3.002%	 384.345	  38.926%	 241.998
      94	   0.000%	 398.913	   0.532%	 396.791	  29.872%	 279.751	   0.609%	 396.483	  39.083%	 243.007
      95	   0.000%	 399.096	   0.415%	 397.438	  31.127%	 274.868	   0.957%	 395.278	  38.820%	 244.166
      96	   0.000%	 402.505	   0.380%	 400.974	  33.725%	 266.760	   0.756%	 399.462	  39.740%	 242.551
      97	   0.000%	 402.104	   0.590%	 399.730	  31.283%	 276.313	   0.663%	 399.439	  39.553%	 243.062
      98	   0.000%	 403.248	   0.608%	 400.797	  31.448%	 276.435	   0.757%	 400.196	  37.546%	 251.844
      99	   0.000%	 403.547	   0.657%	 400.897	  31.496%	 276.448	   0.581%	 401.205	  37.524%	 252.120
     100	   0.000%	 404.247	   0.631%	 401.695	  32.327%	 273.565	   0.900%	 400.610	  39.782%	 243.427
     101	   0.000%	 413.035	   0.278%	 411.885	  33.454%	 274.859	   3.564%	 398.314	  39.239%	 250.966
     102	   0.000%	 413.502	   2.179%	 404.494	  33.012%	 276.998	   2.084%	 404.886	  39.048%	 252.038
     103	   0.000%	 415.411	   0.184%	 414.646	  33.169%	 277.623	   0.400%	 413.748	  39.352%	 251.938
     104	   0.000%	 415.304	   0.322%	 413.969	  33.722%	 275.254	   2.816%	 403.609	  39.519%	 251.181
     105	   0.000%	 413.092	  -0.677%	 415.890	  31.192%	 284.242	   0.039%	 412.931	  39.163%	 251.315
     106	   0.000%	 418.527	   0.618%	 415.939	  33.760%	 277.233	   1.245%	 413.316	  39.561%	 252.953
     107	   0.000%	 414.137	  -0.410%	 415.836	  31.536%	 283.536	   0.018%	 414.063	  38.858%	 253.213
     108	   0.000%	 419.116	   0.414%	 417.380	  33.889%	 277.083	   1.081%	 414.586	  39.631%	 253.017
     109	   0.000%	 417.773	   0.213%	 416.884	  31.589%	 285.803	  -0.160%	 418.442	  39.461%	 252.916
     110	   0.000%	 419.873	   0.332%	 418.480	  32.290%	 284.298	   0.878%	 416.186	  39.728%	 253.064
     111	   0.000%	 420.052	  -0.006%	 420.079	  32.108%	 285.183	  -0.030%	 420.178	  39.885%	 252.515
     112	   0.000%	 421.503	   1.020%	 417.203	  33.152%	 281.768	   1.409%	 415.564	  40.186%	 252.117
     113	   0.000%	 428.731	   2.300%	 418.870	  33.464%	 285.260	   2.902%	 416.291	  40.741%	 254.063
     114	   0.000%	 416.922	  -2.959%	 429.260	  31.449%	 285.806	   0.265%	 415.818	  39.221%	 253.403
     115	   0.000%	 430.530	   0.280%	 429.326	  34.079%	 283.809	   3.024%	 417.509	  39.997%	 258.330
     116	   0.000%	 429.644	   2.659%	 418.220	  33.415%	 286.079	   0.014%	 429.582	  39.421%	 260.276
     117	   0.000%	 430.482	   0.189%	 429.669	  33.940%	 284.375	   0.196%	 429.637	  39.214%	 261.673
     118	   0.000%	 431.876	   0.180%	 431.097	  33.932%	 285.331	   3.269%	 417.757	  41.696%	 251.801
     119	   0.000%	 429.636	  -0.471%	 431.658	  31.367%	 294.872	  -0.092%	 430.031	  41.053%	 253.258
     120	   0.000%	 430.377	   0.088%	 430.000	  31.595%	 294.400	   0.533%	 428.084	  41.102%	 253.483
     121	   0.000%	 430.757	   0.220%	 429.809	  31.816%	 293.709	   0.107%	 430.296	  39.426%	 260.928
     122	   0.000%	 429.685	  -0.347%	 431.175	  34.274%	 282.413	  -0.220%	 430.630	  39.283%	 260.890
     123	   0.000%	 432.676	   0.017%	 432.603	  32.006%	 294.196	   0.596%	 430.099	  39.658%	 261.086
     124	   0.000%	 433.060	   0.575%	 430.568	  33.269%	 288.984	   0.608%	 430.427	  39.573%	 261.685
     125	   0.000%	 432.108	   0.174%	 431.355	  34.325%	 283.787	   0.648%	 429.309	  39.545%	 261.232
     126	   0.000%	 434.147	   1.147%	 429.166	  32.967%	 291.022	   1.075%	 429.482	  39.793%	 261.388
     127	   0.000%	 433.345	  -0.058%	 433.595	  32.366%	 293.087	   0.498%	 431.189	  39.737%	 261.146
     128	   0.000%	 430.695	   0.013%	 430.637	  36.326%	 274.241	   0.011%	 430.650	  39.347%	 261.231
