ptest -- memcmp version 1.0
start	3	end	2049
incr	33	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i686	        	  lxCond	        	    lxDw	        
       3	   0.000%	  87.558	   4.733%	  83.414	 -17.453%	 102.840	   4.792%	  83.363	 -10.053%	  96.360
      36	   0.000%	 194.774	   2.318%	 190.259	  28.021%	 140.197	   2.433%	 190.036	  37.913%	 120.929
      69	   0.000%	 301.521	   1.505%	 296.982	  36.473%	 191.547	   1.577%	 296.766	  47.195%	 159.219
     102	   0.000%	 409.414	   1.191%	 404.538	  43.173%	 232.657	   1.088%	 404.957	  52.503%	 194.460
     135	   0.000%	 516.997	   1.411%	 509.703	  47.429%	 271.789	   1.593%	 508.763	  55.587%	 229.616
     168	   0.000%	 622.622	   0.878%	 617.153	  51.248%	 303.543	   1.034%	 616.186	  59.396%	 252.811
     201	   0.000%	 731.000	   1.019%	 723.554	  52.971%	 343.779	   1.301%	 721.488	  60.185%	 291.050
     234	   0.000%	 833.081	   0.232%	 831.153	  54.029%	 382.972	   0.338%	 830.264	  60.853%	 326.123
     267	   0.000%	 941.648	   0.117%	 940.545	  55.097%	 422.828	   0.515%	 936.795	  61.615%	 361.450
     300	   0.000%	1046.073	   0.018%	1045.885	  56.470%	 455.354	   0.415%	1041.733	  63.409%	 382.770
     333	   0.000%	1154.903	   0.590%	1148.090	  57.110%	 495.336	   1.313%	1139.741	  63.711%	 419.098
     366	   0.000%	1260.767	   1.052%	1247.504	  57.756%	 532.597	   1.497%	1241.899	  63.938%	 454.660
     399	   0.000%	1359.935	   0.043%	1359.354	  58.046%	 570.552	   0.386%	1354.684	  64.084%	 488.438
     432	   0.000%	1454.432	   0.162%	1452.070	  58.664%	 601.209	   0.389%	1448.774	  64.785%	 512.178
     465	   0.000%	1563.724	   0.567%	1554.855	  58.879%	 643.013	   0.904%	1549.584	  65.094%	 545.836
     498	   0.000%	1674.445	   0.839%	1660.395	  59.531%	 677.638	   1.588%	1647.862	  65.247%	 581.912
     531	   0.000%	1762.557	   0.211%	1758.830	  59.148%	 720.036	  -0.841%	1777.379	  65.143%	 614.371
