name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,0, 157.137, 160.131, 155.477, 147.068, 157.127, 129.92, 145.409, 145.348, 145.242, 169.793,,0, 1, 0.981306, 1.01068, 1.06847, 1.00007, 1.20949, 1.08066, 1.08111, 1.0819, 0.925461,,0, 0,-0.0190503, 0.0105685, 0.0640789, 6.79882e-05, 0.173206, 0.0746388, 0.0750265, 0.0757025,-0.0805421
start,0,,1, 191.759, 170.994, 166.302, 188.293, 167.807, 176.671, 157.275, 158.269, 158.33, 181.158,,1, 1, 1.12144, 1.15308, 1.01841, 1.14273, 1.0854, 1.21926, 1.2116, 1.21113, 1.05852,,1, 0, 0.108286, 0.132755, 0.0180778, 0.124905, 0.0786806, 0.179829, 0.174646, 0.174328, 0.0552829
end,128,,2, 207.934, 180.666, 177.657, 198.367, 177.855, 188.051, 165.743, 168.126, 167.765, 193.555,,2, 1, 1.15093, 1.17042, 1.04823, 1.16912, 1.10573, 1.25456, 1.23677, 1.23944, 1.07429,,2, 0, 0.131139, 0.145608, 0.0460081, 0.144654, 0.0956222, 0.202907, 0.191445, 0.193183, 0.0691498
incr,1,,3, 223.575, 192.738, 189.854, 207.736, 189.017, 199.808, 174.708, 175.574, 174.866, 206.173,,3, 1, 1.15999, 1.17762, 1.07625, 1.18283, 1.11895, 1.27971, 1.27339, 1.27855, 1.08441,,3, 0, 0.137926, 0.150827, 0.0708435, 0.154569, 0.106302, 0.218571, 0.214695, 0.217865, 0.0778359
num_try,61440,,4, 239.191, 203.768, 202.078, 217.355, 200.231, 211.104, 185.399, 185.223, 183.108, 217.806,,4, 1, 1.17384, 1.18366, 1.10046, 1.19457, 1.13305, 1.29014, 1.29136, 1.30628, 1.09818,,4, 0, 0.148093, 0.15516, 0.0912913, 0.16288, 0.117426, 0.224891, 0.225625, 0.234469, 0.0894027
align,31,,5, 254.459, 215.29, 214.253, 227.218, 211.585, 222.352, 195.032, 191.94, 191.725, 230.74,,5, 1, 1.18194, 1.18765, 1.11989, 1.20263, 1.14439, 1.3047, 1.32572, 1.32721, 1.10279,,5, 0, 0.153931, 0.158004, 0.107052, 0.168491, 0.126175, 0.233543, 0.245691, 0.24654, 0.0932112
baseline,0,,6, 270.231, 225.606, 225.726, 236.505, 222.394, 233.496, 205.256, 199.922, 199.779, 243.368,,6, 1, 1.1978, 1.19716, 1.1426, 1.2151, 1.15733, 1.31656, 1.35168, 1.35265, 1.11038,,6, 0, 0.165138, 0.164693, 0.124806, 0.177024, 0.13594, 0.240444, 0.260182, 0.260711, 0.099408
rand,1,,7, 285.391, 236.727, 237.818, 246.249, 233.613, 244.467, 215.336, 208.541, 208.286, 255.858,,7, 1, 1.20557, 1.20004, 1.15895, 1.22164, 1.1674, 1.32533, 1.36851, 1.37019, 1.11543,,7, 0, 0.170515, 0.166691, 0.137152, 0.181429, 0.143395, 0.24547, 0.269277, 0.270174, 0.103481
rand_align,1,,8, 300.396, 247.947, 249.727, 255.745, 244.71, 255.47, 225.452, 217.749, 215.875, 264.319,,8, 1, 1.21153, 1.2029, 1.17459, 1.22756, 1.17585, 1.33242, 1.37955, 1.39153, 1.13649,,8, 0, 0.1746, 0.168673, 0.148641, 0.185374, 0.149554, 0.249484, 0.275126, 0.281365, 0.120097
seed,0,,9, 315.861, 258.612, 261.22, 264.986, 255.11, 266.173, 234.866, 226.733, 225.854, 273.434,,9, 1, 1.22137, 1.20918, 1.19199, 1.23814, 1.18667, 1.34486, 1.3931, 1.39852, 1.15516,,9, 0, 0.181247, 0.172992, 0.161069, 0.192335, 0.157309, 0.256425, 0.282175, 0.284959, 0.134322
testmask,0,,10, 330.2, 269.152, 273.4, 273.939, 265.62, 277.47, 244.743, 235.083, 233.074, 282.364,,10, 1, 1.22682, 1.20775, 1.20538, 1.24313, 1.19004, 1.34917, 1.40461, 1.41672, 1.16941,,10, 0, 0.184883, 0.172017, 0.170385, 0.195579, 0.159691, 0.258803, 0.288059, 0.294144, 0.144869
clock,500,,11, 345.314, 280.361, 285.188, 283.557, 276.697, 288.526, 254.328, 241.674, 239.005, 290.879,,11, 1, 1.23168, 1.21083, 1.21779, 1.24799, 1.19682, 1.35775, 1.42884, 1.4448, 1.18714,,11, 0, 0.1881, 0.17412, 0.178842, 0.19871, 0.164453, 0.263487, 0.300132, 0.307862, 0.15764
=====,,,12, 359.783, 290.831, 296.511, 292.077, 287.447, 299.091, 264.375, 247.963, 244.827, 299.168,,12, 1, 1.23709, 1.21339, 1.23181, 1.25165, 1.20292, 1.36088, 1.45095, 1.46954, 1.20261,,12, 0, 0.191648, 0.175861, 0.188187, 0.201054, 0.168691, 0.265183, 0.310798, 0.319515, 0.168477
Totals:,,,13, 374.838, 301.024, 307.565, 302.638, 298.015, 309.411, 273.613, 254.187, 250.757, 307.555,,13, 1, 1.24521, 1.21873, 1.23857, 1.25778, 1.21146, 1.36995, 1.47466, 1.49482, 1.21877,,13, 0, 0.196921, 0.179472, 0.192616, 0.20495, 0.174546, 0.270049, 0.321876, 0.331025, 0.1795
total_bytes, 8256,,14, 388.478, 311.887, 319.424, 310.866, 307.78, 319.468, 283.311, 260.08, 257.349, 315.699,,14, 1, 1.24557, 1.21618, 1.24966, 1.2622, 1.21602, 1.37121, 1.49369, 1.50954, 1.23053,,14, 0, 0.197157, 0.177755, 0.199785, 0.207731, 0.177644, 0.270717, 0.330517, 0.337545, 0.187344
best_test,i686_r2,,15, 403.52, 321.673, 330.406, 319.105, 318.433, 330.528, 292.608, 265.826, 262.352, 324.047,,15, 1, 1.25444, 1.22128, 1.26454, 1.26721, 1.22084, 1.37905, 1.51799, 1.53808, 1.24525,,15, 0, 0.202832, 0.18119, 0.209196, 0.210862, 0.180889, 0.274862, 0.341233, 0.349841, 0.196949
best_total, 64040.6,,16, 417, 331.626, 341.234, 328.093, 328.759, 340.908, 301.953, 275.451, 271.263, 332.885,,16, 1, 1.25744, 1.22203, 1.27098, 1.2684, 1.2232, 1.38101, 1.51388, 1.53725, 1.25268,,16, 0, 0.204733, 0.181692, 0.213206, 0.211607, 0.182475, 0.275892, 0.339447, 0.349488, 0.201713
