name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,0, 158.112, 160.538, 155.892, 146.713, 157.613, 130.228, 145.728, 145.894, 145.784, 167.947,,0, 1, 0.984889, 1.01424, 1.0777, 1.00317, 1.21412, 1.08498, 1.08375, 1.08457, 0.941443,,0, 0,-0.0153426, 0.0140395, 0.072099, 0.00316017, 0.17636, 0.0783248, 0.0772746, 0.0779719,-0.0621989
start,0,,1, 189.318, 168.655, 164.363, 186.483, 165.683, 173.941, 154.992, 155.855, 155.768, 176.729,,1, 1, 1.12252, 1.15183, 1.01521, 1.14265, 1.0884, 1.22147, 1.21471, 1.21539, 1.07124,,1, 0, 0.109144, 0.131817, 0.0149788, 0.124845, 0.081223, 0.181316, 0.176759, 0.177216, 0.0664986
end,128,,2, 202.4, 175.728, 172.619, 193.139, 172.712, 182.662, 160.847, 162.778, 162.371, 184.564,,2, 1, 1.15178, 1.17253, 1.04795, 1.1719, 1.10806, 1.25834, 1.24341, 1.24653, 1.09664,,2, 0, 0.13178, 0.147141, 0.0457583, 0.146683, 0.0975193, 0.205304, 0.195763, 0.197771, 0.0881228
incr,1,,3, 215.318, 185.18, 182.44, 200.257, 181.77, 191.896, 166.92, 167.02, 166.827, 195.202,,3, 1, 1.16275, 1.18021, 1.07521, 1.18456, 1.12206, 1.28995, 1.28918, 1.29067, 1.10305,,3, 0, 0.139969, 0.152695, 0.0699462, 0.155804, 0.108779, 0.224774, 0.224311, 0.225208, 0.0934253
num_try,61440,,4, 228.161, 193.144, 192.129, 207.228, 190.629, 200.275, 174.638, 174.723, 172.815, 209.317,,4, 1, 1.1813, 1.18754, 1.10101, 1.19688, 1.13924, 1.30648, 1.30584, 1.32026, 1.09002,,4, 0, 0.153474, 0.157923, 0.0917452, 0.164495, 0.122221, 0.234585, 0.23421, 0.242572, 0.0825884
align,0,,5, 240.685, 202.769, 201.866, 214.516, 199.365, 208.862, 182.388, 178.972, 179.187, 216.16,,5, 1, 1.18699, 1.1923, 1.12199, 1.20726, 1.15237, 1.31964, 1.34482, 1.3432, 1.11346,,5, 0, 0.157536, 0.161288, 0.108729, 0.171679, 0.132221, 0.242215, 0.256406, 0.255512, 0.101899
baseline,0,,6, 253.319, 211.151, 211.25, 221.167, 207.887, 218.144, 189.982, 186.216, 186.292, 220.942,,6, 1, 1.19971, 1.19914, 1.14538, 1.21854, 1.16125, 1.33339, 1.36035, 1.3598, 1.14654,,6, 0, 0.166463, 0.166072, 0.126926, 0.179348, 0.138859, 0.250032, 0.264895, 0.264596, 0.127811
rand,1,,7, 266.018, 219.691, 221.045, 227.693, 216.214, 226.447, 197.465, 194.51, 194.728, 230.215,,7, 1, 1.21087, 1.20346, 1.16831, 1.23034, 1.17474, 1.34716, 1.36763, 1.3661, 1.15552,,7, 0, 0.174148, 0.16906, 0.144066, 0.187218, 0.14875, 0.257699, 0.268808, 0.267987, 0.134589
rand_align,0,,8, 278.475, 228.094, 230.199, 234.478, 225.025, 234.72, 204.917, 203.724, 203.037, 234.446,,8, 1, 1.22088, 1.20972, 1.18764, 1.23753, 1.18641, 1.35897, 1.36693, 1.37155, 1.1878,,8, 0, 0.180917, 0.17336, 0.157992, 0.19194, 0.157124, 0.264147, 0.268432, 0.270896, 0.158108
seed,0,,9, 290.791, 236.529, 239.316, 240.766, 233.697, 243.341, 212.343, 214.173, 213.192, 240.911,,9, 1, 1.22941, 1.21509, 1.20778, 1.24431, 1.195, 1.36944, 1.35774, 1.36399, 1.20705,,9, 0, 0.186601, 0.177018, 0.172032, 0.19634, 0.163178, 0.269773, 0.263482, 0.266856, 0.171531
testmask,0,,10, 302.626, 244.854, 248.75, 247.731, 242.115, 251.452, 219.904, 222.526, 221.232, 245.922,,10, 1, 1.23595, 1.21659, 1.22159, 1.24993, 1.20351, 1.37617, 1.35996, 1.36791, 1.23058,,10, 0, 0.190903, 0.178027, 0.181394, 0.199953, 0.169099, 0.273347, 0.264682, 0.268958, 0.187373
clock,500,,11, 314.636, 253.22, 257.975, 254.258, 250.253, 259.774, 226.912, 229.41, 226.867, 254.459,,11, 1, 1.24254, 1.21964, 1.23747, 1.25727, 1.21119, 1.3866, 1.3715, 1.38687, 1.23649,,11, 0, 0.195194, 0.180084, 0.191898, 0.204625, 0.174366, 0.27881, 0.27087, 0.278952, 0.191259
=====,,,12, 327.058, 261.302, 267.068, 260.685, 258.763, 267.641, 234.18, 235.859, 233.063, 258.666,,12, 1, 1.25165, 1.22462, 1.25461, 1.26393, 1.222, 1.39661, 1.38667, 1.40331, 1.2644,,12, 0, 0.201055, 0.183423, 0.20294, 0.208816, 0.181672, 0.283979, 0.278847, 0.287397, 0.209113
Totals:,,,13, 338.272, 269.591, 276.003, 266.984, 266.429, 276.766, 241.39, 242.733, 239.091, 264.562,,13, 1, 1.25476, 1.22561, 1.26701, 1.26965, 1.22223, 1.40135, 1.39359, 1.41482, 1.27861,,13, 0, 0.203034, 0.184079, 0.210742, 0.212382, 0.181824, 0.286402, 0.282431, 0.293199, 0.217901
total_bytes, 8256,,14, 350.432, 277.781, 284.981, 273.744, 274.969, 284.47, 248.633, 247.811, 244.869, 269.667,,14, 1, 1.26154, 1.22967, 1.28015, 1.27444, 1.23188, 1.40944, 1.41411, 1.4311, 1.2995,,14, 0, 0.20732, 0.186773, 0.218839, 0.215342, 0.188231, 0.290496, 0.292841, 0.301236, 0.230472
best_test,i686_r2,,15, 361.613, 285.962, 293.816, 279.279, 282.22, 292.763, 255.549, 254.248, 250.592, 277.839,,15, 1, 1.26455, 1.23074, 1.29481, 1.28132, 1.23517, 1.41504, 1.42228, 1.44304, 1.30152,,15, 0, 0.209202, 0.187484, 0.227686, 0.219552, 0.190395, 0.293307, 0.296905, 0.307017, 0.231667
best_total, 61546.8,,16, 373.711, 293.706, 302.704, 286.109, 290.932, 300.236, 262.481, 264.218, 259.239, 281.839,,16, 1, 1.2724, 1.23458, 1.30618, 1.28453, 1.24473, 1.42376, 1.4144, 1.44157, 1.32597,,16, 0, 0.214082, 0.190007, 0.23441, 0.221507, 0.196611, 0.297637, 0.292988, 0.306312, 0.245838
worst_test,local,,17, 384.763, 301.674, 311.27, 292.394, 298.097, 308.193, 269.292, 270.994, 267.684, 287.64,,17, 1, 1.27542, 1.23611, 1.31591, 1.29073, 1.24845, 1.42879, 1.41982, 1.43738, 1.33765,,17, 0, 0.215947, 0.191008, 0.240067, 0.225246, 0.199006, 0.300108, 0.295684, 0.304288, 0.252422
worst_total, 117324,,18, 396.116, 309.75, 319.874, 298.328, 306.381, 316.059, 276.353, 277.394, 274.295, 292.571,,18, 1, 1.27883, 1.23835, 1.32779, 1.29289, 1.2533, 1.43337, 1.42799, 1.44413, 1.35391,,18, 0, 0.218033, 0.192475, 0.246868, 0.226536, 0.202105, 0.302344, 0.299716, 0.30754, 0.261401
total_local, 117324,,19, 408.326, 317.407, 328.599, 304.504, 314.166, 323.496, 283.175, 282.022, 277.402, 300.246,,19, 1, 1.28644, 1.24263, 1.34095, 1.29971, 1.26223, 1.44196, 1.44785, 1.47196, 1.35997,,19, 0, 0.222662, 0.195254, 0.254262, 0.2306, 0.207751, 0.306497, 0.309322, 0.320635, 0.26469
total_local_gg, 87168.9,,20, 418.823, 324.823, 337.098, 310.686, 321.805, 331.799, 289.815, 286.477, 282.787, 304.145,,20, 1, 1.28939, 1.24244, 1.34806, 1.30148, 1.26228, 1.44514, 1.46198, 1.48106, 1.37705,,20, 0, 0.224439, 0.19513, 0.258193, 0.231644, 0.207782, 0.308025, 0.315996, 0.324807, 0.27381
total_generic, 93415.7,,21, 429.926, 332.823, 345.604, 316.163, 329.182, 339.352, 296.259, 290.961, 288.316, 309.769,,21, 1, 1.29175, 1.24399, 1.35983, 1.30605, 1.26691, 1.45118, 1.47761, 1.49117, 1.38789,,21, 0, 0.225859, 0.196133, 0.264612, 0.23433, 0.210675, 0.310907, 0.323231, 0.329384, 0.279483
total_i386, 76493.4,,22, 442.32, 340.446, 353.661, 322.665, 337.126, 347.465, 303.373, 298.086, 292.964, 314.211,,22, 1, 1.29924, 1.25069, 1.37083, 1.31203, 1.27299, 1.45801, 1.48387, 1.50981, 1.40772,,22, 0, 0.230318, 0.20044, 0.270516, 0.237822, 0.214449, 0.314133, 0.326085, 0.337666, 0.289629
total_i486, 86968.8,,23, 452.647, 347.486, 362.259, 328.633, 344.391, 352.709, 309.871, 301.75, 299.419, 322.249,,23, 1, 1.30263, 1.24951, 1.37736, 1.31434, 1.28334, 1.46076, 1.50008, 1.51175, 1.40465,,23, 0, 0.232325, 0.199689, 0.273975, 0.239163, 0.220786, 0.315426, 0.333367, 0.338516, 0.288079
total_i686, 87907.1,,24, 465.597, 354.641, 370.128, 334.483, 351.328, 359.695, 316.328, 307.708, 303.32, 325.667,,24, 1, 1.31287, 1.25793, 1.39199, 1.32525, 1.29442, 1.47188, 1.51311, 1.535, 1.42967,,24, 0, 0.238309, 0.205045, 0.281603, 0.245423, 0.227454, 0.320597, 0.33911, 0.348534, 0.300539
