name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,3, 179.603, 161.26, 156.014, 159.49, 157.708, 141.597, 140.762, 139.895, 137.505, 163.251,,3, 1, 1.11375, 1.1512, 1.12611, 1.13884, 1.26841, 1.27594, 1.28385, 1.30616, 1.10017,,3, 0, 0.102135, 0.131342, 0.111987, 0.12191, 0.211614, 0.216262, 0.221091, 0.234398, 0.0910485
start,3,,36, 687.007, 467.705, 493.369, 465.182, 463.692, 444.607, 413.099, 386.49, 359.888, 440.673,,36, 1, 1.46889, 1.39248, 1.47686, 1.4816, 1.5452, 1.66305, 1.77755, 1.90894, 1.55899,,36, 0, 0.319214, 0.281858, 0.322886, 0.325054, 0.352835, 0.398697, 0.437429, 0.47615, 0.358561
end,2049,,69, 1190.15, 770.596, 829.962, 773.18, 771.065, 749.521, 684.34, 613.365, 560.956, 703.385,,69, 1, 1.54445, 1.43398, 1.53929, 1.54351, 1.58787, 1.73911, 1.94036, 2.12164, 1.69203,,69, 0, 0.352519, 0.302639, 0.350348, 0.352126, 0.370227, 0.424995, 0.48463, 0.528666, 0.408993
incr,33,,102, 1692.57, 1079.16, 1161.7, 1075.18, 1074.87, 1049.31, 952.386, 840.053, 760.866, 963.634,,102, 1, 1.56842, 1.45698, 1.57421, 1.57467, 1.61302, 1.77719, 2.01483, 2.22453, 1.75644,,102, 0, 0.362415, 0.313648, 0.364761, 0.364947, 0.380045, 0.437312, 0.503681, 0.550466, 0.430667
num_try,15360,,135, 2190.27, 1377.2, 1487.83, 1373.74, 1377.49, 1345.37, 1219.31, 1065.4, 957.874, 1221.65,,135, 1, 1.59039, 1.47212, 1.59439, 1.59005, 1.62801, 1.79633, 2.05581, 2.2866, 1.79288,,135, 0, 0.371222, 0.320708, 0.3728, 0.371088, 0.385753, 0.443309, 0.513575, 0.562669, 0.442239
align,31,,168, 2669.53, 1680.52, 1806.42, 1677.29, 1671.88, 1644.49, 1484.37, 1289.4, 1160.9, 1476.19,,168, 1, 1.58851, 1.4778, 1.59158, 1.59672, 1.62332, 1.79843, 2.07037, 2.29954, 1.80839,,168, 0, 0.370481, 0.323321, 0.371692, 0.373717, 0.383977, 0.443958, 0.516995, 0.56513, 0.447023
baseline,0,,201, 3195.48, 1976.51, 2162.43, 1983.24, 1979.07, 1931.15, 1746.44, 1506.72, 1353.26, 1729.92,,201, 1, 1.61673, 1.47773, 1.61124, 1.61464, 1.6547, 1.82971, 2.12081, 2.36132, 1.84718,,201, 0, 0.381468, 0.323285, 0.37936, 0.380666, 0.395661, 0.453466, 0.528483, 0.576508, 0.458635
rand,1,,234, 3680.46, 2251.81, 2452.45, 2265.51, 2249.92, 2213.66, 2011.81, 1714.18, 1544.91, 1989.27,,234, 1, 1.63444, 1.50073, 1.62456, 1.63582, 1.66261, 1.82943, 2.14707, 2.38232, 1.85016,,234, 0, 0.388171, 0.333657, 0.384449, 0.388686, 0.398537, 0.453383, 0.534249, 0.580241, 0.459506
rand_align,1,,267, 4151.12, 2562.02, 2797.78, 2552.03, 2536.29, 2491.75, 2283.94, 1925.56, 1732.19, 2229.05,,267, 1, 1.62025, 1.48372, 1.62659, 1.63669, 1.66595, 1.81752, 2.15579, 2.39646, 1.86228,,267, 0, 0.382811, 0.326018, 0.385219, 0.389011, 0.39974, 0.4498, 0.536134, 0.582717, 0.463023
seed,0,,300, 4591.95, 2840.18, 3100.93, 2828.46, 2851.57, 2790.3, 2524.61, 2132.78, 1912.18, 2478.18,,300, 1, 1.61678, 1.48083, 1.62348, 1.61032, 1.64568, 1.81888, 2.15303, 2.40142, 1.85295,,300, 0, 0.381487, 0.324704, 0.384038, 0.379007, 0.39235, 0.45021, 0.535539, 0.583579, 0.460321
testmask,0,,333, 5088.24, 3145.67, 3422.01, 3131.72, 3135.48, 3079.07, 2787.11, 2340.92, 2103.28, 2730.43,,333, 1, 1.61754, 1.48691, 1.62474, 1.62279, 1.65252, 1.82563, 2.1736, 2.4192, 1.86353,,333, 0, 0.381775, 0.327466, 0.384518, 0.383779, 0.394864, 0.452244, 0.539934, 0.586639, 0.463383
clock,500,,366, 5582.76, 3423.35, 3739.27, 3436.45, 3421.2, 3386.39, 3041.23, 2562.47, 2286.57, 2972.57,,366, 1, 1.63079, 1.49301, 1.62457, 1.63182, 1.64859, 1.83569, 2.17866, 2.44154, 1.87809,,366, 0, 0.386801, 0.330211, 0.384453, 0.387186, 0.39342, 0.455246, 0.541002, 0.590422, 0.467544
=====,,,399, 6023.25, 3703.67, 4051.91, 3724.68, 3703.35, 3673.54, 3306.38, 2779.59, 2473.93, 3226.22,,399, 1, 1.62629, 1.48652, 1.61712, 1.62643, 1.63963, 1.8217, 2.16695, 2.43469, 1.86697,,399, 0, 0.385104, 0.327287, 0.381617, 0.385157, 0.390106, 0.451063, 0.538522, 0.58927, 0.464373
Totals:,,,432, 6465.62, 3976.59, 4355.77, 3985.21, 3979.58, 3954.92, 3559.29, 2966.24, 2667.06, 3466,,432, 1, 1.62592, 1.48438, 1.62241, 1.6247, 1.63483, 1.81655, 2.17974, 2.42425, 1.86544,,432, 0, 0.384964, 0.326318, 0.383631, 0.384502, 0.388315, 0.449506, 0.541229, 0.587502, 0.463935
total_bytes, 64638,,465, 7060.01, 4249.25, 4667.13, 4234.81, 4260.56, 4229.01, 3818.9, 3195.97, 2853.45, 3729.29,,465, 1, 1.66147, 1.51271, 1.66714, 1.65706, 1.66942, 1.8487, 2.20903, 2.4742, 1.89312,,465, 0, 0.398124, 0.338935, 0.400169, 0.396523, 0.400991, 0.45908, 0.547314, 0.59583, 0.471772
best_test,i686_r2,,498, 7429.81, 4536.36, 4947.96, 4544.48, 4531.1, 4493.52, 4070.27, 3389.38, 3025.57, 3945.95,,498, 1, 1.63784, 1.50159, 1.63491, 1.63973, 1.65345, 1.82538, 2.19209, 2.45567, 1.88289,,498, 0, 0.389438, 0.334039, 0.388345, 0.390145, 0.395204, 0.45217, 0.543814, 0.59278, 0.468903
best_total, 334179,,531, 7892.69, 4789.74, 5278.62, 4802.67, 4807.91, 4754.67, 4309.88, 3575.9, 3230.29, 4196.81,,531, 1, 1.64783, 1.49522, 1.6434, 1.6416, 1.65998, 1.8313, 2.20719, 2.44334, 1.88064,,531, 0, 0.393142, 0.331201, 0.391504, 0.39084, 0.397585, 0.45394, 0.546935, 0.590724, 0.468265
worst_test,local,,564, 8372.61, 5084.32, 5558.22, 5056.61, 5060.3, 5028.34, 4524.37, 3768.37, 3390.92, 4437.42,,564, 1, 1.64675, 1.50635, 1.65578, 1.65457, 1.66509, 1.85056, 2.22181, 2.46912, 1.88682,,564, 0, 0.392743, 0.336142, 0.396054, 0.395612, 0.39943, 0.459623, 0.549916, 0.594998, 0.470007
worst_total, 830714,,597, 8750.06, 5364.53, 5859.12, 5343.75, 5318.54, 5283.38, 4775.37, 3957.81, 3565.58, 4634.71,,597, 1, 1.6311, 1.49341, 1.63744, 1.6452, 1.65615, 1.83233, 2.21083, 2.45403, 1.88794,,597, 0, 0.386915, 0.33039, 0.389289, 0.392171, 0.396189, 0.454247, 0.547682, 0.592507, 0.470322
total_local, 830714,,630, 9369.74, 5629.15, 6186.51, 5624.3, 5610.21, 5560.84, 4969.53, 4137.2, 3708.15, 4872.82,,630, 1, 1.6645, 1.51454, 1.66594, 1.67012, 1.68495, 1.88544, 2.26475, 2.52679, 1.92286,,630, 0, 0.39922, 0.339735, 0.399738, 0.401241, 0.40651, 0.469619, 0.558451, 0.604242, 0.479941
total_local_gg, 507616,,663, 9722.45, 5880.84, 6462.27, 5882.03, 5877.06, 5847.91, 5244.4, 4333.16, 3901.93, 5114.19,,663, 1, 1.65324, 1.5045, 1.65291, 1.6543, 1.66255, 1.85387, 2.24374, 2.4917, 1.90107,,663, 0, 0.395128, 0.335326, 0.395006, 0.395517, 0.398515, 0.460589, 0.554315, 0.598668, 0.473982
total_generic, 555650,,696, 10198.8, 6130.78, 6806.69, 6145.93, 6171.59, 6115.11, 5478.73, 4524.72, 4048.03, 5315.77,,696, 1, 1.66354, 1.49835, 1.65943, 1.65253, 1.6678, 1.86152, 2.25401, 2.51944, 1.91859,,696, 0, 0.398871, 0.332597, 0.397385, 0.394869, 0.400407, 0.462805, 0.556347, 0.603086, 0.478784
total_i386, 508051,,729, 10585.1, 6442.3, 7064.73, 6446.41, 6450.21, 6349.55, 5748.89, 4710.9, 4231.02, 5553.44,,729, 1, 1.64306, 1.49831, 1.64202, 1.64105, 1.66706, 1.84124, 2.24694, 2.50179, 1.90605,,729, 0, 0.391381, 0.332579, 0.390993, 0.390634, 0.400143, 0.456889, 0.55495, 0.600286, 0.475354
total_i486, 508168,,762, 11110.9, 6711.04, 7350.35, 6692.27, 6724.14, 6685.71, 5955.49, 4897.53, 4392.71, 5792.41,,762, 1, 1.65561, 1.51161, 1.66025, 1.65238, 1.66188, 1.86565, 2.26867, 2.52939, 1.91818,,762, 0, 0.395993, 0.338454, 0.397683, 0.394814, 0.398273, 0.463994, 0.559213, 0.604647, 0.478672
total_i686, 503471,,795, 11474.7, 6987.73, 7657.15, 6930.43, 6928.88, 6899.53, 6205.95, 5082.87, 4561.38, 6009.43,,795, 1, 1.64212, 1.49856, 1.65569, 1.65606, 1.66311, 1.84898, 2.25752, 2.51561, 1.90945,,795, 0, 0.39103, 0.332692, 0.396024, 0.396159, 0.398717, 0.459161, 0.557036, 0.602483, 0.476288
total_i686_1i, 452028,,828, 11966.9, 7220.31, 7945.26, 7215.88, 7191.8, 7156.27, 6467.09, 5258.29, 4702.52, 6240.02,,828, 1, 1.65739, 1.50617, 1.65841, 1.66396, 1.67222, 1.85043, 2.27581, 2.54478, 1.91776,,828, 0, 0.396642, 0.336062, 0.397013, 0.399025, 0.401993, 0.459585, 0.560597, 0.607039, 0.478559
total_i686_1iu, 373208,,861, 12360.2, 7462.76, 8174.47, 7458.78, 7480.34, 7418.03, 6682.17, 5424.27, 4859.32, 6502.8,,861, 1, 1.65626, 1.51206, 1.65714, 1.65237, 1.66624, 1.84973, 2.27869, 2.54362, 1.90076,,861, 0, 0.396229, 0.338649, 0.396551, 0.394807, 0.399848, 0.459382, 0.561152, 0.606859, 0.473894
total_i686_r2, 334179,,894, 12770.5, 7679.92, 8443.9, 7698.63, 7670.25, 7656.36, 6919.83, 5596.78, 5050.89, 6685.33,,894, 1, 1.66284, 1.51239, 1.6588, 1.66494, 1.66796, 1.84549, 2.28175, 2.52836, 1.91022,,894, 0, 0.398619, 0.338795, 0.397154, 0.399377, 0.400464, 0.458138, 0.561741, 0.604487, 0.476501
