name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,3, 170.667, 152.65, 146.307, 150.939, 149.066, 132.636, 131.877, 131.028, 127.272, 143.004,,3, 1, 1.11802, 1.1665, 1.1307, 1.14491, 1.28673, 1.29414, 1.30252, 1.34096, 1.19344,,3, 0, 0.105566, 0.142732, 0.115594, 0.126567, 0.222835, 0.227285, 0.232258, 0.254264, 0.162085
start,3,,36, 672.032, 451.592, 477.669, 451.46, 448.687, 431.675, 398.413, 365.124, 336.933, 419.351,,36, 1, 1.48814, 1.4069, 1.48857, 1.49777, 1.5568, 1.68677, 1.84056, 1.99456, 1.60255,,36, 0, 0.32802, 0.289216, 0.328216, 0.332342, 0.357657, 0.407152, 0.456687, 0.498636, 0.375995
end,2049,,69, 1168.24, 752.844, 805.034, 747.95, 749.302, 727.02, 663.192, 593.392, 537.974, 677.979,,69, 1, 1.55177, 1.45117, 1.56192, 1.55911, 1.60689, 1.76154, 1.96875, 2.17155, 1.72312,,69, 0, 0.355574, 0.310901, 0.359763, 0.358607, 0.37768, 0.432316, 0.492063, 0.5395, 0.419658
incr,33,,102, 1664.6, 1051.15, 1127.43, 1045.49, 1044.23, 1015.77, 926.555, 821.221, 732.923, 933.558,,102, 1, 1.58359, 1.47646, 1.59218, 1.5941, 1.63876, 1.79655, 2.02698, 2.27118, 1.78307,,102, 0, 0.368525, 0.322703, 0.371929, 0.372686, 0.389781, 0.443376, 0.506655, 0.5597, 0.439169
num_try,15360,,135, 2141.48, 1334.7, 1460.97, 1344.06, 1344.22, 1307.64, 1184.72, 1045.05, 933.651, 1189.91,,135, 1, 1.60446, 1.46579, 1.59329, 1.5931, 1.63766, 1.80758, 2.04916, 2.29366, 1.7997,,135, 0, 0.376739, 0.317773, 0.372368, 0.372294, 0.389374, 0.446775, 0.511994, 0.564016, 0.444351
align,0,,168, 2661.18, 1632.02, 1772.94, 1633.77, 1632.94, 1589.48, 1451.06, 1263.01, 1127.85, 1443.67,,168, 1, 1.6306, 1.501, 1.62885, 1.62969, 1.67424, 1.83396, 2.10701, 2.35952, 1.84334,,168, 0, 0.386729, 0.333776, 0.386071, 0.386385, 0.402715, 0.454732, 0.525394, 0.576185, 0.457507
baseline,0,,201, 3127.4, 1927.62, 2092.24, 1930.61, 1904.81, 1886.94, 1697.56, 1484.35, 1319.33, 1689.75,,201, 1, 1.62241, 1.49476, 1.6199, 1.64184, 1.65739, 1.84229, 2.10691, 2.37044, 1.85081,,201, 0, 0.383633, 0.330995, 0.382677, 0.390927, 0.396642, 0.457197, 0.525372, 0.578138, 0.459695
rand,1,,234, 3608.56, 2203.09, 2412.75, 2195.13, 2200.15, 2165.63, 1955.79, 1699.92, 1515.7, 1934.77,,234, 1, 1.63796, 1.49562, 1.6439, 1.64014, 1.66629, 1.84507, 2.12278, 2.38079, 1.86512,,234, 0, 0.389483, 0.331381, 0.391689, 0.390297, 0.399863, 0.458015, 0.52892, 0.579972, 0.46384
rand_align,0,,267, 4095.13, 2504.21, 2725.1, 2479.39, 2483.64, 2449.76, 2206.37, 1895.94, 1700.38, 2186.33,,267, 1, 1.6353, 1.50275, 1.65167, 1.64884, 1.67164, 1.85605, 2.15995, 2.40837, 1.87306,,267, 0, 0.388492, 0.334552, 0.394551, 0.393514, 0.401787, 0.46122, 0.537027, 0.584781, 0.466114
seed,0,,300, 4575.94, 2769.14, 3030.88, 2779.01, 2772.71, 2732.85, 2451.24, 2108.52, 1885.03, 2438.03,,300, 1, 1.65248, 1.50977, 1.64661, 1.65035, 1.67442, 1.86678, 2.17021, 2.42751, 1.8769,,300, 0, 0.394848, 0.337648, 0.39269, 0.394068, 0.402778, 0.464319, 0.539215, 0.588056, 0.467206
