name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,0, 102.864, 132.019, 121.094, 130.035,,0, 1, 0.779158, 0.849452, 0.791043,,0, 0,-0.283436,-0.17723,-0.264154
start,0,,1, 137.055, 140.199, 136.793, 140.414,,1, 1, 0.977569, 1.00191, 0.976077,,1, 0,-0.022946, 0.00191007,-0.0245098
end,128,,2, 146.017, 149.257, 154.963, 150.365,,2, 1, 0.978293, 0.942264, 0.97108,,2, 0,-0.022189,-0.0612732,-0.0297817
incr,1,,3, 154.857, 157.579, 176.088, 158.711,,3, 1, 0.98273, 0.879432, 0.975719,,3, 0,-0.0175737,-0.137098,-0.0248854
num_try,122880,,4, 163.046, 163.125, 180.291, 164.451,,4, 1, 0.999513, 0.904347, 0.991454,,4, 0,-0.000487511,-0.10577,-0.00861991
align,31,,5, 172.182, 167.898, 186.118, 169.439,,5, 1, 1.02551, 0.925127, 1.01619,,5, 0, 0.0248801,-0.0809325, 0.015931
baseline,0,,6, 180.662, 172.856, 191.366, 174.329,,6, 1, 1.04515, 0.944065, 1.03632,,6, 0, 0.0432038,-0.059249, 0.03505
rand,1,,7, 189.385, 178.104, 196.294, 179.732,,7, 1, 1.06334, 0.964801, 1.0537,,7, 0, 0.0595632,-0.0364834, 0.0509674
rand_align,1,,8, 197.837, 182.456, 201.439, 184.112,,8, 1, 1.0843, 0.982118, 1.07455,,8, 0, 0.0777468,-0.0182079, 0.069376
seed,0,,9, 206.326, 186.866, 203.411, 188.4,,9, 1, 1.10413, 1.01433, 1.09515,,9, 0, 0.0943132, 0.0141282, 0.0868815
testmask,0,,10, 214.491, 190.931, 206.468, 192.285,,10, 1, 1.1234, 1.03886, 1.11549,,10, 0, 0.109845, 0.0374059, 0.103532
clock,500,,11, 222.639, 195.906, 209.18, 196.87,,11, 1, 1.13646, 1.06434, 1.1309,,11, 0, 0.120075, 0.060453, 0.115747
=====,,,12, 231.268, 201.627, 212.375, 203.105,,12, 1, 1.14701, 1.08896, 1.13866,,12, 0, 0.128165, 0.0816899, 0.121777
Totals:,,,13, 239.358, 208.05, 217.454, 209.579,,13, 1, 1.15048, 1.10073, 1.14209,,13, 0, 0.130801, 0.091514, 0.124412
total_bytes, 8256,,14, 248.152, 213.646, 220.872, 215.026,,14, 1, 1.16151, 1.12351, 1.15406,,14, 0, 0.139051, 0.109932, 0.133491
best_test,lx_r3,,15, 256.176, 219.272, 225.505, 220.845,,15, 1, 1.1683, 1.13601, 1.15998,,15, 0, 0.144056, 0.119725, 0.137915
best_total, 52022.2,,16, 265.086, 224.24, 231.035, 226.054,,16, 1, 1.18216, 1.14739, 1.17267,,16, 0, 0.154088, 0.128454, 0.147242
worst_test,local,,17, 273.508, 229.445, 236.285, 230.89,,17, 1, 1.19204, 1.15753, 1.18458,,17, 0, 0.161103, 0.136093, 0.155819
worst_total, 86515.4,,18, 282.034, 234.572, 242.516, 236.264,,18, 1, 1.20233, 1.16295, 1.19372,,18, 0, 0.168284, 0.140119, 0.162285
total_local, 86515.4,,19, 289.848, 239.805, 248.565, 241.257,,19, 1, 1.20868, 1.16608, 1.20141,,19, 0, 0.172652, 0.142429, 0.167643
total_lx_r3, 52022.2,,20, 298.655, 243.824, 252.048, 245.497,,20, 1, 1.22488, 1.18492, 1.21654,,20, 0, 0.183594, 0.156059, 0.177994
total_lx_5a, 52582.1,,21, 307.236, 248.846, 256.662, 250.213,,21, 1, 1.23464, 1.19704, 1.2279,,21, 0, 0.190048, 0.164607, 0.185598
total_lx_5a_r, 52214,,22, 315.804, 253.539, 259.755, 255.259,,22, 1, 1.24558, 1.21577, 1.23719,,22, 0, 0.197163, 0.177479, 0.191718
ratio_local, 1,,23, 323.97, 258.264, 263.206, 259.928,,23, 1, 1.25441, 1.23086, 1.24638,,23, 0, 0.202814, 0.187559, 0.197678
ratio_lx_r3, 1.66305,,24, 332.623, 261.814, 266.676, 263.3,,24, 1, 1.27045, 1.24729, 1.26328,,24, 0, 0.212879, 0.198262, 0.208412
ratio_lx_5a, 1.64534,,25, 340.981, 264.026, 269.979, 265.616,,25, 1, 1.29147, 1.26299, 1.28374,,25, 0, 0.225689, 0.208228, 0.221025
ratio_lx_5a_r, 1.65694,,26, 349.829, 268.128, 272.95, 269.706,,26, 1, 1.30471, 1.28166, 1.29708,,26, 0, 0.233546, 0.21976, 0.229035
,,,27, 358.069, 271.844, 276.18, 273.558,,27, 1, 1.31718, 1.2965, 1.30893,,27, 0, 0.240804, 0.228695, 0.236018
,,,28, 366.373, 276.291, 279.594, 277.524,,28, 1, 1.32604, 1.31038, 1.32015,,28, 0, 0.245876, 0.23686, 0.242508
,,,29, 374.399, 281.308, 282.654, 282.773,,29, 1, 1.33092, 1.32458, 1.32403,,29, 0, 0.248641, 0.245046, 0.244729
,,,30, 383.119, 284.154, 285.672, 285.588,,30, 1, 1.34828, 1.34112, 1.34151,,30, 0, 0.258315, 0.254352, 0.254572
,,,31, 391.973, 286.784, 288.745, 288.331,,31, 1, 1.36679, 1.35751, 1.35946,,31, 0, 0.268358, 0.263356, 0.264413
,,,32, 400.194, 290.46, 293.024, 292.14,,32, 1, 1.37779, 1.36574, 1.36987,,32, 0, 0.274201, 0.267796, 0.270003
,,,33, 409.273, 293.351, 296.796, 295.635,,33, 1, 1.39516, 1.37897, 1.38439,,33, 0, 0.283239, 0.274821, 0.277658
,,,34, 417.206, 298.421, 301.685, 300.194,,34, 1, 1.39805, 1.38292, 1.38979,,34, 0, 0.284717, 0.276892, 0.280467
,,,35, 425.913, 303.079, 305.584, 304.695,,35, 1, 1.40529, 1.39377, 1.39784,,35, 0, 0.288402, 0.28252, 0.284608
,,,36, 434.211, 307.092, 309.621, 308.211,,36, 1, 1.41394, 1.40239, 1.40881,,36, 0, 0.292758, 0.286933, 0.290181
,,,37, 442.531, 310.414, 313.59, 311.946,,37, 1, 1.42562, 1.41118, 1.41862,,37, 0, 0.298549, 0.291371, 0.295087
,,,38, 451.018, 314.568, 317.089, 315.791,,38, 1, 1.43377, 1.42237, 1.42821,,38, 0, 0.302537, 0.296948, 0.299825
,,,39, 459.448, 318.178, 320.539, 319.41,,39, 1, 1.444, 1.43336, 1.43843,,39, 0, 0.307477, 0.302339, 0.304796
