name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,3, 151.726, 146.713, 177.676, 141.567,,3, 1, 1.03417, 0.853946, 1.07176,,3, 0, 0.0330388,-0.171034, 0.0669593
start,3,,36, 450.453, 261.815, 249.971, 253.662,,36, 1, 1.7205, 1.80202, 1.7758,,36, 0, 0.418775, 0.445067, 0.436875
end,2049,,69, 744.703, 375.567, 389.957, 367.083,,69, 1, 1.98288, 1.9097, 2.02871,,69, 0, 0.495683, 0.476359, 0.507075
incr,33,,102, 1039.03, 495.996, 513.237, 489.15,,102, 1, 2.09483, 2.02446, 2.12415,,102, 0, 0.522635, 0.506041, 0.529224
num_try,15360,,135, 1332.9, 609.53, 638.998, 602.522,,135, 1, 2.18677, 2.08593, 2.2122,,135, 0, 0.542704, 0.520596, 0.547962
align,0,,168, 1631.39, 725.272, 708.134, 717.964,,168, 1, 2.24934, 2.30378, 2.27224,,168, 0, 0.555426, 0.565931, 0.559905
baseline,0,,201, 1963.02, 838.792, 845.891, 830.836,,201, 1, 2.34029, 2.32065, 2.3627,,201, 0, 0.572703, 0.569087, 0.576756
rand,1,,234, 2257.75, 959.327, 971.4, 952.727,,234, 1, 2.35348, 2.32423, 2.36978,,234, 0, 0.575096, 0.569749, 0.57802
rand_align,0,,267, 2553.79, 1074.58, 1098.18, 1067.25,,267, 1, 2.37654, 2.32547, 2.39286,,267, 0, 0.579221, 0.56998, 0.58209
seed,0,,300, 2865.39, 1186.35, 1168.94, 1179.26,,300, 1, 2.41529, 2.45128, 2.42982,,300, 0, 0.585971, 0.59205, 0.588447
testmask,0,,333, 3143.03, 1302.11, 1303.16, 1294.98,,333, 1, 2.41379, 2.41184, 2.42709,,333, 0, 0.585714, 0.585379, 0.587984
clock,500,,366, 3454.27, 1414.05, 1430.98, 1406.88,,366, 1, 2.44281, 2.41392, 2.45526,,366, 0, 0.590636, 0.585736, 0.592711
=====,,,399, 3729.21, 1529.96, 1556.11, 1522.13,,399, 1, 2.43746, 2.39649, 2.44999,,399, 0, 0.589737, 0.582724, 0.591836
Totals:,,,432, 4045.9, 1648.51, 1659.61, 1641.41,,432, 1, 2.45427, 2.43786, 2.46489,,432, 0, 0.592547, 0.589804, 0.594302
total_bytes, 64638,,465, 4337.11, 1804.84, 1754.76, 1797.22,,465, 1, 2.40304, 2.47163, 2.41323,,465, 0, 0.583861, 0.595408, 0.585617
best_test,lx_5a,,498, 4668.7, 1920.08, 1914.47, 1869.55,,498, 1, 2.43151, 2.43863, 2.49723,,498, 0, 0.588734, 0.589934, 0.599556
best_total, 236870,,531, 4938.6, 2033.54, 2005.97, 1983.94,,531, 1, 2.42857, 2.46194, 2.48929,,531, 0, 0.588235, 0.593817, 0.598279
worst_test,local,,564, 5286.99, 2111.09, 2114.57, 2103.89,,564, 1, 2.50439, 2.50027, 2.51296,,564, 0, 0.600701, 0.600043, 0.602062
worst_total, 599382,,597, 5572.67, 2269.66, 2260.28, 2273.96,,597, 1, 2.45529, 2.46547, 2.45065,,597, 0, 0.592716, 0.594398, 0.591945
total_local, 599382,,630, 5862.69, 2391.82, 2388.15, 2376.84,,630, 1, 2.45114, 2.45491, 2.46659,,630, 0, 0.592027, 0.592653, 0.594582
total_lx_r3, 238913,,663, 6161.15, 2502.09, 2502.78, 2491.15,,663, 1, 2.4624, 2.46172, 2.47322,,663, 0, 0.593892, 0.593779, 0.595668
total_lx_5a, 236870,,696, 6488.82, 2570.79, 2532.56, 2599.23,,696, 1, 2.52406, 2.56216, 2.49644,,696, 0, 0.603813, 0.609704, 0.599429
total_lx_5a_r, 238473,,729, 6771.42, 2730.08, 2728.03, 2735.6,,729, 1, 2.4803, 2.48216, 2.4753,,729, 0, 0.596824, 0.597126, 0.596008
ratio_local, 1,,762, 7047.8, 2854.62, 2852.5, 2855.61,,762, 1, 2.46891, 2.47075, 2.46805,,762, 0, 0.594962, 0.595264, 0.594822
ratio_lx_r3, 2.50879,,795, 7344.57, 2983.02, 2973.99, 2966.36,,795, 1, 2.46212, 2.4696, 2.47595,,795, 0, 0.593846, 0.595077, 0.596115
ratio_lx_5a, 2.53043,,828, 7653.92, 3082.37, 3032.44, 3067.31,,828, 1, 2.48313, 2.52402, 2.49532,,828, 0, 0.597283, 0.603806, 0.599249
ratio_lx_5a_r, 2.51341,,861, 7984.72, 3202.64, 3172.47, 3191.22,,861, 1, 2.49317, 2.51687, 2.50209,,861, 0, 0.598904, 0.602682, 0.600334
,,,894, 8244.67, 3324.91, 3302.42, 3318.12,,894, 1, 2.47967, 2.49656, 2.48475,,894, 0, 0.59672, 0.599448, 0.597544
,,,927, 8574.56, 3446.59, 3432.19, 3425.83,,927, 1, 2.48784, 2.49828, 2.50292,,927, 0, 0.598045, 0.599725, 0.600466
,,,960, 8960.8, 3553.35, 3502.14, 3540.69,,960, 1, 2.52179, 2.55866, 2.53081,,960, 0, 0.603456, 0.609171, 0.60487
,,,993, 9229.97, 3683.01, 3620.75, 3689.91,,993, 1, 2.50609, 2.54919, 2.50141,,993, 0, 0.600973, 0.607718, 0.600225
,,,1026, 9545.64, 3799.3, 3788.19, 3801.59,,1026, 1, 2.51247, 2.51984, 2.51096,,1026, 0, 0.601985, 0.60315, 0.601746
,,,1059, 9851.85, 3924.04, 3913.32, 3913.64,,1059, 1, 2.51064, 2.51752, 2.51731,,1059, 0, 0.601695, 0.602783, 0.602751
,,,1092, 10132.6, 4028.21, 3974.88, 4007.76,,1092, 1, 2.51541, 2.54916, 2.52825,,1092, 0, 0.602451, 0.607714, 0.604469
,,,1125, 10440.7, 4122.07, 4087.04, 4145.76,,1125, 1, 2.53287, 2.55458, 2.51839,,1125, 0, 0.605191, 0.608546, 0.602921
,,,1158, 10739.5, 4261.68, 4230.63, 4263.28,,1158, 1, 2.52002, 2.53851, 2.51908,,1158, 0, 0.603178, 0.606069, 0.603029
,,,1191, 11054.9, 4388.19, 4379.17, 4375.43,,1191, 1, 2.51925, 2.52444, 2.5266,,1191, 0, 0.603056, 0.603872, 0.604211
,,,1224, 11365.9, 4514.42, 4430.06, 4503.37,,1224, 1, 2.51769, 2.56564, 2.52387,,1224, 0, 0.602811, 0.610234, 0.603783
,,,1257, 11645.8, 4603.64, 4565.2, 4591.94,,1257, 1, 2.52969, 2.55099, 2.53613,,1257, 0, 0.604695, 0.607995, 0.605699
,,,1290, 11949.2, 4749.94, 4684.73, 4718.99,,1290, 1, 2.51566, 2.55067, 2.53216,,1290, 0, 0.602489, 0.607946, 0.60508
