name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,3, 99.5289, 106.693, 124.387, 108.617,,3, 1, 0.932853, 0.800155, 0.916329,,3, 0,-0.0719799,-0.249758,-0.0913109
start,3,,36, 311.888, 234.519, 247.622, 236.843,,36, 1, 1.32991, 1.25953, 1.31685,,36, 0, 0.248067, 0.206055, 0.240615
end,2049,,69, 524.37, 355.429, 366.118, 357.923,,69, 1, 1.47531, 1.43224, 1.46504,,69, 0, 0.322178, 0.301794, 0.317423
incr,33,,102, 737.629, 475.441, 484.312, 478.344,,102, 1, 1.55146, 1.52305, 1.54205,,102, 0, 0.355448, 0.343421, 0.351511
num_try,61440,,135, 949.674, 596.285, 602.695, 598.523,,135, 1, 1.59265, 1.57571, 1.5867,,135, 0, 0.372116, 0.365366, 0.36976
align,31,,168, 1162.79, 717.054, 724.173, 719.464,,168, 1, 1.62162, 1.60568, 1.61619,,168, 0, 0.383333, 0.377211, 0.38126
baseline,0,,201, 1374.7, 838.487, 845.015, 841.099,,201, 1, 1.6395, 1.62684, 1.63441,,201, 0, 0.390059, 0.385311, 0.388159
rand,1,,234, 1587.51, 957.985, 966.902, 960.391,,234, 1, 1.65714, 1.64185, 1.65299,,234, 0, 0.396549, 0.390932, 0.395034
rand_align,1,,267, 1801.15, 1077.73, 1087.55, 1080.26,,267, 1, 1.67125, 1.65615, 1.66733,,267, 0, 0.401645, 0.396191, 0.400237
seed,0,,300, 2013.69, 1199.61, 1209.15, 1202.16,,300, 1, 1.67862, 1.66538, 1.67505,,300, 0, 0.404273, 0.399537, 0.403003
testmask,0,,333, 2226.81, 1323.01, 1329.06, 1325.73,,333, 1, 1.68314, 1.67548, 1.67969,,333, 0, 0.405872, 0.403157, 0.404653
clock,500,,366, 2440.44, 1444.44, 1450.11, 1447.81,,366, 1, 1.68954, 1.68293, 1.68561,,366, 0, 0.408122, 0.405798, 0.406743
=====,,,399, 2682.09, 1568.97, 1572.26, 1571.24,,399, 1, 1.70946, 1.70588, 1.70699,,399, 0, 0.415019, 0.413793, 0.414174
Totals:,,,432, 2863.84, 1690.11, 1694.34, 1690.33,,432, 1, 1.69447, 1.69024, 1.69425,,432, 0, 0.409843, 0.408368, 0.409767
total_bytes, 64638,,465, 3106.41, 1807.21, 1815.58, 1809.62,,465, 1, 1.71889, 1.71098, 1.71661,,465, 0, 0.418231, 0.415539, 0.417456
best_test,lx_r3,,498, 3289.11, 1927, 1937.9, 1928.69,,498, 1, 1.70686, 1.69725, 1.70536,,498, 0, 0.414129, 0.410813, 0.413615
best_total, 245163,,531, 3533.95, 2045.97, 2060.19, 2048.61,,531, 1, 1.72728, 1.71535, 1.72505,,531, 0, 0.421054, 0.417029, 0.420305
worst_test,local,,564, 3750.69, 2170.04, 2182.22, 2169.72,,564, 1, 1.7284, 1.71875, 1.72865,,564, 0, 0.421429, 0.418182, 0.421514
worst_total, 426103,,597, 3962.86, 2289.3, 2298.63, 2291.36,,597, 1, 1.73103, 1.72401, 1.72948,,597, 0, 0.42231, 0.419956, 0.42179
total_local, 426103,,630, 4179.06, 2410.94, 2419.47, 2412.55,,630, 1, 1.73337, 1.72726, 1.73222,,630, 0, 0.423089, 0.421048, 0.422705
total_lx_r3, 245163,,663, 4409.57, 2532.6, 2538.82, 2534.61,,663, 1, 1.74112, 1.73686, 1.73974,,663, 0, 0.425658, 0.424248, 0.425201
total_lx_5a, 245683,,696, 4605.46, 2653.59, 2663.17, 2655.55,,696, 1, 1.73556, 1.72931, 1.73428,,696, 0, 0.423816, 0.421736, 0.423391
total_lx_5a_r, 245356,,729, 4824.94, 2773.89, 2781.26, 2775.55,,729, 1, 1.73941, 1.73481, 1.73837,,729, 0, 0.425092, 0.423566, 0.42475
ratio_local, 1,,762, 5032.41, 2894.49, 2902.95, 2896.77,,762, 1, 1.73862, 1.73355, 1.73725,,762, 0, 0.424831, 0.423148, 0.424377
ratio_lx_r3, 1.73804,,795, 5251.67, 3015.21, 3025.09, 3017.44,,795, 1, 1.74172, 1.73604, 1.74044,,795, 0, 0.425856, 0.423976, 0.425432
ratio_lx_5a, 1.73436,,828, 5480.1, 3136.52, 3144.07, 3139,,828, 1, 1.74719, 1.74299, 1.74581,,828, 0, 0.427653, 0.426274, 0.427201
ratio_lx_5a_r, 1.73667,,861, 5677, 3260.14, 3265.78, 3263.28,,861, 1, 1.74133, 1.73833, 1.73966,,861, 0, 0.425728, 0.424734, 0.425175
,,,894, 5892.42, 3381.59, 3387.14, 3411.5,,894, 1, 1.7425, 1.73964, 1.72722,,894, 0, 0.426111, 0.425169, 0.421036
,,,927, 6103.8, 3506.09, 3509.03, 3508.57,,927, 1, 1.74091, 1.73945, 1.73968,,927, 0, 0.425588, 0.425106, 0.425182
,,,960, 6325.73, 3652.81, 3657.71, 3626.4,,960, 1, 1.73174, 1.72942, 1.74436,,960, 0, 0.422547, 0.421772, 0.426722
,,,993, 6559.18, 3771.88, 3754.38, 3747.74,,993, 1, 1.73897, 1.74708, 1.75017,,993, 0, 0.424947, 0.427616, 0.428627
,,,1026, 6750.65, 3862.68, 3904.54, 3866.13,,1026, 1, 1.74766, 1.72892, 1.7461,,1026, 0, 0.427807, 0.421605, 0.427295
,,,1059, 6961.67, 4012.32, 4028.88, 4012.2,,1059, 1, 1.73507, 1.72794, 1.73512,,1059, 0, 0.423656, 0.421276, 0.423672
,,,1092, 7167.43, 4134.79, 4147.99, 4136.09,,1092, 1, 1.73344, 1.72793, 1.7329,,1092, 0, 0.423114, 0.421273, 0.422933
,,,1125, 7400.97, 4256.36, 4238.13, 4262.48,,1125, 1, 1.7388, 1.74628, 1.73631,,1125, 0, 0.424891, 0.427354, 0.424065
,,,1158, 7625.12, 4376.33, 4386.66, 4382.95,,1158, 1, 1.74235, 1.73825, 1.73972,,1158, 0, 0.426064, 0.424709, 0.425196
,,,1191, 7820.32, 4504.45, 4511.56, 4509.72,,1191, 1, 1.73613, 1.73339, 1.7341,,1191, 0, 0.424006, 0.423097, 0.423333
,,,1224, 8060.48, 4622.2, 4628.95, 4626.44,,1224, 1, 1.74386, 1.74132, 1.74227,,1224, 0, 0.42656, 0.425723, 0.426035
,,,1257, 8252.61, 4747.16, 4755.51, 4751.95,,1257, 1, 1.73843, 1.73538, 1.73668,,1257, 0, 0.424768, 0.423757, 0.424188
,,,1290, 8469.15, 4888.53, 4875.02, 4897.47,,1290, 1, 1.73245, 1.73725, 1.72929,,1290, 0, 0.422783, 0.424379, 0.421728
,,,1323, 8701.67, 4990.32, 4999.22, 4996.38,,1323, 1, 1.74371, 1.74061, 1.7416,,1323, 0, 0.42651, 0.425488, 0.425814
,,,1356, 8897.55, 5112.98, 5121.91, 5118.55,,1356, 1, 1.74019, 1.73715, 1.7383,,1356, 0, 0.42535, 0.424346, 0.424724
,,,1389, 9142.58, 5236.66, 5241.96, 5242.29,,1389, 1, 1.74588, 1.74411, 1.74401,,1389, 0, 0.427223, 0.426643, 0.426607
,,,1422, 9348.6, 5387.89, 5387.24, 5388.2,,1422, 1, 1.73511, 1.73532, 1.73501,,1422, 0, 0.423668, 0.423738, 0.423636
,,,1455, 9581.9, 5480.85, 5510.28, 5483.66,,1455, 1, 1.74825, 1.73891, 1.74735,,1455, 0, 0.428, 0.424928, 0.427706
,,,1488, 9790.48, 5602.95, 5605.44, 5609.26,,1488, 1, 1.74738, 1.7466, 1.74541,,1488, 0, 0.427714, 0.42746, 0.42707
,,,1521, 9980.05, 5728.93, 5732.37, 5725.56,,1521, 1, 1.74205, 1.741, 1.74307,,1521, 0, 0.425962, 0.425617, 0.4263
,,,1554, 10209.2, 5870.49, 5881.42, 5877.32,,1554, 1, 1.73907, 1.73583, 1.73704,,1554, 0, 0.424979, 0.423907, 0.424309
,,,1587, 10448.8, 5988.78, 6002.85, 5994.95,,1587, 1, 1.74472, 1.74064, 1.74293,,1587, 0, 0.426843, 0.425497, 0.426253
,,,1620, 10658, 6085.2, 6099.76, 6091.32,,1620, 1, 1.75146, 1.74728, 1.7497,,1620, 0, 0.429047, 0.427681, 0.428473
,,,1653, 10863.6, 6203.26, 6219.51, 6215.36,,1653, 1, 1.75128, 1.7467, 1.74787,,1653, 0, 0.428988, 0.427492, 0.427875
