name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,3, 105.664, 104.192, 121.37, 103.209,,3, 1, 1.01412, 0.870594, 1.02378,,3, 0, 0.0139246,-0.148641, 0.0232323
start,3,,36, 325.129, 217.588, 211.78, 215.738,,36, 1, 1.49424, 1.53522, 1.50705,,36, 0, 0.330764, 0.348629, 0.336453
end,2049,,69, 545.375, 337.214, 353.013, 335.431,,69, 1, 1.6173, 1.54491, 1.62589,,69, 0, 0.381684, 0.352715, 0.384954
incr,33,,102, 765.742, 457.424, 474.286, 456.767,,102, 1, 1.67403, 1.61452, 1.67644,,102, 0, 0.402639, 0.380619, 0.403498
num_try,61440,,135, 986.485, 577.796, 597.016, 575.058,,135, 1, 1.70733, 1.65236, 1.71545,,135, 0, 0.414289, 0.394805, 0.417064
align,0,,168, 1207.55, 696.65, 696.14, 694.854,,168, 1, 1.73337, 1.73464, 1.73785,,168, 0, 0.423089, 0.423511, 0.424576
baseline,0,,201, 1427.05, 820.782, 837.931, 818.599,,201, 1, 1.73865, 1.70307, 1.74329,,201, 0, 0.424842, 0.412825, 0.426371
rand,1,,234, 1647.95, 944.307, 961.335, 943.138,,234, 1, 1.74514, 1.71423, 1.7473,,234, 0, 0.426979, 0.416646, 0.427689
rand_align,0,,267, 1869.48, 1064.13, 1086.22, 1063.32,,267, 1, 1.75683, 1.72109, 1.75815,,267, 0, 0.430791, 0.418973, 0.43122
seed,0,,300, 2090.55, 1189.69, 1179.55, 1188.55,,300, 1, 1.75722, 1.77232, 1.7589,,300, 0, 0.430921, 0.435768, 0.431463
testmask,0,,333, 2311.25, 1316.85, 1323.22, 1315.36,,333, 1, 1.75514, 1.74668, 1.75713,,333, 0, 0.430245, 0.427487, 0.43089
clock,500,,366, 2532.04, 1441.86, 1444.84, 1440.02,,366, 1, 1.75609, 1.75248, 1.75834,,366, 0, 0.430553, 0.429379, 0.431281
=====,,,399, 2752.15, 1561.62, 1568.33, 1561.29,,399, 1, 1.76237, 1.75483, 1.76274,,399, 0, 0.432581, 0.430143, 0.432701
Totals:,,,432, 3001.03, 1671.88, 1665.75, 1668.66,,432, 1, 1.795, 1.80161, 1.79847,,432, 0, 0.442896, 0.444942, 0.443971
total_bytes, 64638,,465, 3193.18, 1796.63, 1804.72, 1794.76,,465, 1, 1.77731, 1.76935, 1.77917,,465, 0, 0.437353, 0.434822, 0.43794
best_test,lx_5a,,498, 3444.26, 1920.67, 1927.95, 1919.19,,498, 1, 1.79325, 1.78649, 1.79464,,498, 0, 0.442354, 0.440243, 0.442785
best_total, 244512,,531, 3662.68, 2042.19, 2051.84, 2040.03,,531, 1, 1.79351, 1.78507, 1.7954,,531, 0, 0.442434, 0.439798, 0.443023
worst_test,local,,564, 3881.84, 2163.77, 2149.38, 2158.51,,564, 1, 1.79402, 1.80603, 1.79839,,564, 0, 0.442592, 0.446298, 0.443948
worst_total, 442794,,597, 4114.75, 2286.23, 2287.61, 2283.73,,597, 1, 1.7998, 1.79871, 1.80176,,597, 0, 0.444382, 0.444046, 0.444988
total_local, 442794,,630, 4321.6, 2410.51, 2410.7, 2409.79,,630, 1, 1.79282, 1.79268, 1.79335,,630, 0, 0.442219, 0.442175, 0.442384
total_lx_r3, 245033,,663, 4551.26, 2532.56, 2532.55, 2530.67,,663, 1, 1.7971, 1.79711, 1.79844,,663, 0, 0.443547, 0.44355, 0.443963
total_lx_5a, 244512,,696, 4767, 2646.88, 2627.54, 2644.3,,696, 1, 1.80099, 1.81424, 1.80274,,696, 0, 0.44475, 0.448806, 0.44529
total_lx_5a_r, 244892,,729, 5015.75, 2769.66, 2770.84, 2768.79,,729, 1, 1.81096, 1.8102, 1.81154,,729, 0, 0.447808, 0.447573, 0.447982
ratio_local, 1,,762, 5212.63, 2893.52, 2890.46, 2892.54,,762, 1, 1.80148, 1.80339, 1.80209,,762, 0, 0.444902, 0.445489, 0.445089
ratio_lx_r3, 1.80708,,795, 5430.96, 3014.72, 3013.62, 3013.88,,795, 1, 1.80148, 1.80213, 1.80198,,795, 0, 0.444901, 0.445102, 0.445056
ratio_lx_5a, 1.81093,,828, 5660.08, 3132.86, 3110.75, 3128.86,,828, 1, 1.80668, 1.81952, 1.809,,828, 0, 0.446499, 0.450406, 0.447207
ratio_lx_5a_r, 1.80812,,861, 5904.24, 3255.5, 3248.45, 3252.22,,861, 1, 1.81362, 1.81755, 1.81545,,861, 0, 0.448617, 0.44981, 0.449171
,,,894, 6100.2, 3409.31, 3401.25, 3405.35,,894, 1, 1.78928, 1.79352, 1.79136,,894, 0, 0.441115, 0.442437, 0.441764
,,,927, 6341.46, 3521.4, 3517.42, 3519.65,,927, 1, 1.80083, 1.80287, 1.80173,,927, 0, 0.444702, 0.445329, 0.444977
,,,960, 6589.46, 3617.78, 3605.82, 3643.58,,960, 1, 1.82141, 1.82745, 1.80851,,960, 0, 0.450974, 0.452789, 0.447059
,,,993, 6812.98, 3742.24, 3743.31, 3739.31,,993, 1, 1.82056, 1.82004, 1.82199,,993, 0, 0.45072, 0.450563, 0.451149
,,,1026, 7029.8, 3900.15, 3895.73, 3894.52,,1026, 1, 1.80245, 1.80449, 1.80505,,1026, 0, 0.445198, 0.445827, 0.445999
,,,1059, 7280.5, 4013.65, 4023.03, 4015.4,,1059, 1, 1.81393, 1.80971, 1.81314,,1059, 0, 0.448712, 0.447424, 0.448472
,,,1092, 7477.68, 4136.79, 4110.2, 4130.6,,1092, 1, 1.8076, 1.8193, 1.81031,,1092, 0, 0.446781, 0.450337, 0.447609
,,,1125, 7721.94, 4253.01, 4247.63, 4250.84,,1125, 1, 1.81564, 1.81794, 1.81657,,1125, 0, 0.44923, 0.449927, 0.449511
