name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,0, 104.341, 103.243, 84.4853, 101.868, 102.724,,0, 1, 1.01064, 1.23503, 1.02428, 1.01574,,0, 0, 0.0105316, 0.1903, 0.0237062, 0.0155008
start,0,,1, 108.762, 105.993, 89.0475, 114.82, 105.521,,1, 1, 1.02612, 1.22139, 0.947233, 1.03071,,1, 0, 0.0254535, 0.181259,-0.0557064, 0.0297917
end,128,,2, 117.081, 112.893, 92.2201, 117.393, 111.994,,2, 1, 1.0371, 1.26959, 0.997344, 1.04543,,2, 0, 0.0357741, 0.212342,-0.00266267, 0.0434521
incr,1,,3, 109.261, 105.425, 94.7126, 120.943, 108.42,,3, 1, 1.03638, 1.15361, 0.903412, 1.00776,,3, 0, 0.0351073, 0.133154,-0.106915, 0.00769983
num_try,122880,,4, 112.595, 111.535, 98.5349, 123.949, 113.382,,4, 1, 1.00951, 1.1427, 0.908403, 0.993067,,4, 0, 0.00942049, 0.124877,-0.100833,-0.00698165
align,0,,5, 116.974, 114.368, 101.378, 127.336, 117.22,,5, 1, 1.02278, 1.15383, 0.91862, 0.997901,,5, 0, 0.0222741, 0.133325,-0.0885895,-0.00210369
baseline,0,,6, 124.94, 122.681, 104.283, 129.473, 128.002,,6, 1, 1.01842, 1.19809, 0.964995, 0.976081,,6, 0, 0.0180868, 0.165342,-0.0362749,-0.0245053
rand,1,,7, 117.773, 115.013, 107.435, 132.557, 127.824,,7, 1, 1.024, 1.09622, 0.888475, 0.92137,,7, 0, 0.0234358, 0.0877783,-0.125524,-0.0853409
rand_align,0,,8, 120.077, 120.866, 109.859, 136.062, 122.639,,8, 1, 0.993472, 1.09301, 0.882515, 0.979103,,8, 0,-0.00657084, 0.0850938,-0.133126,-0.0213429
seed,0,,9, 124.513, 122.541, 113.032, 138.848, 124.503,,9, 1, 1.01609, 1.10157, 0.896752, 1.00008,,9, 0, 0.0158357, 0.0922057,-0.115136, 8.05185e-05
testmask,0,,10, 132.553, 129.634, 116.685, 142.108, 134.102,,10, 1, 1.02252, 1.13599, 0.932758, 0.988448,,10, 0, 0.0220236, 0.119713,-0.072089,-0.011687
clock,500,,11, 126.991, 124.969, 118.996, 145.11, 133.405,,11, 1, 1.01617, 1.06718, 0.875135, 0.951918,,11, 0, 0.0159166, 0.0629543,-0.142681,-0.0505107
=====,,,12, 133.251, 133.958, 122.248, 148.115, 133.496,,12, 1, 0.99472, 1.09001, 0.899643, 0.998166,,12, 0,-0.00530797, 0.0825746,-0.111552,-0.0018378
Totals:,,,13, 137.982, 136.625, 125.063, 150.58, 135.888,,13, 1, 1.00993, 1.1033, 0.916334, 1.01541,,13, 0, 0.00983498, 0.0936252,-0.0913049, 0.0151726
total_bytes, 8256,,14, 141.869, 142.926, 128.092, 153.904, 143.63,,14, 1, 0.992604, 1.10755, 0.921799, 0.987738,,14, 0,-0.00745084, 0.0971066,-0.0848352,-0.012414
best_test,i486p,,15, 136.763, 135.073, 131.459, 157.357, 144.09,,15, 1, 1.01251, 1.04034, 0.869124, 0.949145,,15, 0, 0.0123522, 0.0387794,-0.150584,-0.0535799
best_total, 34076.6,,16, 146.62, 147.678, 134.284, 159.959, 149.706,,16, 1, 0.992833, 1.09186, 0.916607, 0.979382,,16, 0,-0.00721864, 0.0841355,-0.0909801,-0.0210523
worst_test,lxus,,17, 150.916, 150.829, 137.522, 162.749, 152.337,,17, 1, 1.00057, 1.09739, 0.927295, 0.990673,,17, 0, 0.000574341, 0.0887497,-0.0784054,-0.00941439
worst_total, 45313.7,,18, 159.104, 157.303, 140.409, 165.705, 159.129,,18, 1, 1.01145, 1.13314, 0.960162, 0.99984,,18, 0, 0.0113167, 0.117498,-0.0414914,-0.000159973
total_local, 40901.8,,19, 152.029, 150.896, 143.439, 168.697, 157.155,,19, 1, 1.00751, 1.05989, 0.901195, 0.967387,,19, 0, 0.00745708, 0.0565065,-0.109637,-0.0337124
total_i486p, 34076.6,,20, 154.126, 156.379, 146.318, 171.592, 158.693,,20, 1, 0.985589, 1.05336, 0.898211, 0.971216,,20, 0,-0.0146221, 0.0506568,-0.113324,-0.0296367
total_lxSimp, 44547.9,,21, 159.164, 159.261, 149.583, 175.083, 162.199,,21, 1, 0.999386, 1.06405, 0.909075, 0.981287,,21, 0,-0.000614203, 0.0601922,-0.100019,-0.0190697
total_lxus, 45313.7,,22, 166.889, 166.385, 152.7, 177.861, 169.757,,22, 1, 1.00303, 1.09291, 0.938311, 0.9831,,22, 0, 0.00301808, 0.0850156,-0.0657442,-0.0171901
total_lx_5a_r2, 34312.5,,23, 159.825, 159.453, 154.97, 180.289, 169.768,,23, 1, 1.00234, 1.03133, 0.886495, 0.941436,,23, 0, 0.00233335, 0.0303803,-0.128038,-0.0622073
ratio_local, 1,,24, 163.068, 167.686, 158.213, 183.688, 171.816,,24, 1, 0.972457, 1.03069, 0.887741, 0.949081,,24, 0,-0.0283231, 0.0297716,-0.126454,-0.0536513
ratio_i486p, 1.20029,,25, 167.767, 170.607, 160.974, 186.765, 174.727,,25, 1, 0.983355, 1.0422, 0.898277, 0.960167,,25, 0,-0.0169265, 0.0404924,-0.113243,-0.0414859
ratio_lxSimp, 0.918154,,26, 175.777, 177.03, 164.516, 190.062, 182.533,,26, 1, 0.992923, 1.06845, 0.92484, 0.962985,,26, 0,-0.00712707, 0.0640618,-0.0812678,-0.0384373
ratio_lxus, 0.902638,,27, 169.143, 170.859, 167.444, 193.039, 181.644,,27, 1, 0.989957, 1.01014, 0.87621, 0.93118,,27, 0,-0.0101446, 0.0100429,-0.141279,-0.0739063
ratio_lx_5a_r2, 1.19204,,28, 173.99, 179.233, 170.384, 195.814, 179.243,,28, 1, 0.970746, 1.02116, 0.888548, 0.970692,,28, 0,-0.030136, 0.0207246,-0.125431,-0.0301931
,,,29, 176.789, 182.77, 173.117, 198.583, 183.019,,29, 1, 0.967281, 1.02121, 0.890256, 0.96596,,29, 0,-0.0338258, 0.0207725,-0.123272,-0.0352392
,,,30, 177.307, 188.935, 176.229, 201.912, 190.515,,30, 1, 0.938456, 1.00612, 0.87814, 0.930669,,30, 0,-0.0655804, 0.00607946,-0.138771,-0.0744961
,,,31, 173.612, 176.232, 179.485, 202.984, 190.53,,31, 1, 0.985132, 0.967275, 0.855299, 0.911204,,31, 0,-0.0150922,-0.0338321,-0.169181,-0.0974494
,,,32, 224.137, 188.158, 224.529, 234.283, 186.725,,32, 1, 1.19122, 0.998254, 0.956691, 1.20036,,32, 0, 0.160523,-0.00174896,-0.04527, 0.166916
,,,33, 228.785, 190.516, 229.334, 237.869, 189.508,,33, 1, 1.20087, 0.997607, 0.961812, 1.20726,,33, 0, 0.167272,-0.00239877,-0.0397045, 0.17168
,,,34, 236.788, 198.849, 232.286, 240.834, 196.5,,34, 1, 1.19079, 1.01938, 0.9832, 1.20503,,34, 0, 0.160221, 0.0190139,-0.0170869, 0.170142
,,,35, 229.556, 191.327, 235.32, 243.498, 192.826,,35, 1, 1.19981, 0.975506, 0.942745, 1.19048,,35, 0, 0.166535,-0.0251093,-0.0607322, 0.160005
