name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,3, 131.392, 128.648, 98.2406, 119.271, 127.593,,3, 1, 1.02133, 1.33745, 1.10163, 1.02977,,3, 0, 0.0208865, 0.252311, 0.0922559, 0.028912
start,3,,36, 250.811, 225.47, 242.36, 249.845, 221.268,,36, 1, 1.11239, 1.03487, 1.00387, 1.13352,,36, 0, 0.101037, 0.0336943, 0.00385263, 0.117791
end,2049,,69, 366.658, 306.52, 386.284, 396.164, 300.414,,69, 1, 1.1962, 0.949192, 0.92552, 1.22051,,69, 0, 0.164016,-0.0535281,-0.0804732, 0.180668
incr,33,,102, 482.319, 387.856, 530.841, 520.136, 379.737,,102, 1, 1.24355, 0.908594, 0.927293, 1.27014,,102, 0, 0.19585,-0.100602,-0.0784075, 0.212685
num_try,15360,,135, 598.534, 468.921, 674.354, 641.396, 459.694,,135, 1, 1.27641, 0.887566, 0.933174, 1.30203,,135, 0, 0.216551,-0.126676,-0.0716117, 0.231967
align,31,,168, 713.845, 550.93, 818.545, 761.886, 538.835,,168, 1, 1.29571, 0.872089, 0.936944, 1.32479,,168, 0, 0.228221,-0.146672,-0.0672992, 0.245165
baseline,0,,201, 830.335, 631.222, 962.389, 883.982, 617.438,,201, 1, 1.31544, 0.862785, 0.939313, 1.34481,,201, 0, 0.239799,-0.159037,-0.0646084, 0.2564
rand,1,,234, 946.029, 713.347, 1106.36, 1006.28, 696.516,,234, 1, 1.32618, 0.855085, 0.940128, 1.35823,,234, 0, 0.245956,-0.169475,-0.0636854, 0.263747
rand_align,1,,267, 1062.16, 794.348, 1250.13, 1129.43, 775.456,,267, 1, 1.33715, 0.84964, 0.940447, 1.36973,,267, 0, 0.252143,-0.176969,-0.063324, 0.269929
seed,0,,300, 1179.36, 875.308, 1437.26, 1252.1, 853.601,,300, 1, 1.34736, 0.82056, 0.941901, 1.38162,,300, 0, 0.257808,-0.21868,-0.0616829, 0.276214
testmask,0,,333, 1295.75, 957.83, 1538.02, 1379.46, 931.774,,333, 1, 1.3528, 0.842479, 0.939315, 1.39062,,333, 0, 0.26079,-0.186974,-0.0646054, 0.280899
clock,500,,366, 1409.49, 1037.63, 1719.74, 1503.22, 1010.14,,366, 1, 1.35838, 0.819592, 0.937641, 1.39534,,366, 0, 0.263826,-0.220119,-0.0665057, 0.283329
=====,,,399, 1569.88, 1117.77, 1870.3, 1624.8, 1089.82,,399, 1, 1.40447, 0.83937, 0.966194, 1.44049,,399, 0, 0.28799,-0.19137,-0.0349884, 0.30579
Totals:,,,432, 1639.01, 1197.92, 2011.39, 1784.67, 1167.56,,432, 1, 1.3682, 0.814861, 0.918379, 1.40379,,432, 0, 0.269115,-0.227203,-0.0888748, 0.287641
total_bytes, 64638,,465, 1756.18, 1278.9, 2148.43, 1910.79, 1245.12,,465, 1, 1.3732, 0.817423, 0.919083, 1.41044,,465, 0, 0.271772,-0.223356,-0.088041, 0.291003
best_test,lx_5a_r2,,498, 1912.86, 1357.65, 2315.42, 1992.41, 1322.85,,498, 1, 1.40894, 0.826136, 0.960072, 1.44601,,498, 0, 0.290248,-0.210454,-0.0415888, 0.308441
best_total, 165351,,531, 2028.03, 1440.06, 2448.97, 2148.94, 1399.57,,531, 1, 1.4083, 0.828115, 0.943736, 1.44904,,531, 0, 0.289923,-0.207561,-0.0596181, 0.309888
worst_test,lxSimp,,564, 2143.84, 1555.83, 2584.23, 2279.35, 1478,,564, 1, 1.37794, 0.829584, 0.940547, 1.4505,,564, 0, 0.27428,-0.205423,-0.0632107, 0.310582
worst_total, 293273,,597, 2259.01, 1601.08, 2744.61, 2402.25, 1557.31,,597, 1, 1.41093, 0.823071, 0.940371, 1.45058,,597, 0, 0.291248,-0.214963,-0.0634098, 0.310623
total_local, 239636,,630, 2382.13, 1683.38, 2904.79, 2521.17, 1636.4,,630, 1, 1.41509, 0.82007, 0.944853, 1.45571,,630, 0, 0.29333,-0.219408,-0.0583661, 0.313052
total_i486p, 169669,,663, 2517.85, 1804.22, 3022.81, 2643.08, 1751.91,,663, 1, 1.39554, 0.83295, 0.95262, 1.43721,,663, 0, 0.283429,-0.200552,-0.049737, 0.304206
total_lxSimp, 293273,,696, 2633.97, 1896.88, 3163.85, 2764.33, 1833.17,,696, 1, 1.38858, 0.83252, 0.952842, 1.43684,,696, 0, 0.279838,-0.201173,-0.0494915, 0.304027
total_lxus, 253513,,729, 2737.07, 1924.76, 3336.22, 2904.46, 1912.74,,729, 1, 1.42204, 0.820412, 0.942368, 1.43097,,729, 0, 0.296783,-0.2189,-0.0611562, 0.301173
total_lx_5a_r2, 165351,,762, 2885.64, 2053.08, 3479.54, 3022.8, 1991.38,,762, 1, 1.40551, 0.829314, 0.954623, 1.44906,,762, 0, 0.288517,-0.205815,-0.0475341, 0.309898
ratio_local, 1,,795, 2987.13, 2086.15, 3606.98, 3138.72, 2070.63,,795, 1, 1.43188, 0.828152, 0.951702, 1.44262,,795, 0, 0.301619,-0.207507,-0.0507487, 0.306815
ratio_i486p, 1.41237,,828, 3115.53, 2206.72, 3777.93, 3246.76, 2110.94,,828, 1, 1.41184, 0.824666, 0.959581, 1.4759,,828, 0, 0.291704,-0.212612,-0.0421219, 0.322446
ratio_lxSimp, 0.817108,,861, 3215.14, 2290.89, 3928.59, 3388.21, 2188.9,,861, 1, 1.40345, 0.818397, 0.94892, 1.46884,,861, 0, 0.28747,-0.221902,-0.0538296, 0.319191
ratio_lxus, 0.945261,,894, 3312.43, 2370.99, 4063.37, 3528.24, 2315.24,,894, 1, 1.39707, 0.815192, 0.938833, 1.4307,,894, 0, 0.284214,-0.226704,-0.0651521, 0.301044
ratio_lx_5a_r2, 1.44925,,927, 3439.48, 2458.36, 4231.91, 3651.24, 2396.9,,927, 1, 1.3991, 0.812749, 0.942005, 1.43497,,927, 0, 0.285255,-0.230392,-0.0615652, 0.303123
,,,960, 3569.23, 2532.79, 4372.31, 3804.65, 2475.91,,960, 1, 1.40921, 0.816326, 0.938124, 1.44159,,960, 0, 0.290383,-0.225001,-0.0659574, 0.306319
,,,993, 3695.37, 2607.51, 4509.31, 3887.62, 2555.75,,993, 1, 1.4172, 0.819496, 0.950546, 1.4459,,993, 0, 0.294383,-0.220262,-0.0520268, 0.30839
,,,1026, 3795.25, 2688.32, 4638.27, 4026.7, 2612.77,,1026, 1, 1.41176, 0.818247, 0.94252, 1.45258,,1026, 0, 0.291662,-0.222125,-0.0609857, 0.311568
,,,1059, 3885.7, 2784.69, 4793.07, 4162.64, 2697.87,,1059, 1, 1.39538, 0.810691, 0.933469, 1.44029,,1059, 0, 0.283349,-0.233516,-0.0712729, 0.305693
,,,1092, 4046.99, 2878.74, 4962.61, 4269.45, 2786.25,,1092, 1, 1.40582, 0.815497, 0.947896, 1.45249,,1092, 0, 0.288673,-0.226246,-0.0549686, 0.311526
