name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,0, 73.1239, 75.3605, 65.0568, 86.7962, 76.9154,,0, 1, 0.970321, 1.124, 0.842478, 0.950705,,0, 0,-0.0305867, 0.110321,-0.186975,-0.0518512
start,0,,1, 77.6125, 79.0668, 69.8201, 99.0677, 80.7667,,1, 1, 0.981606, 1.11161, 0.783429, 0.960947,,1, 0,-0.0187383, 0.100401,-0.27644,-0.0406404
end,128,,2, 83.047, 84.4061, 71.3128, 101.4, 85.834,,2, 1, 0.983899, 1.16455, 0.819003, 0.96753,,2, 0,-0.0163648, 0.141297,-0.220997,-0.0335596
incr,1,,3, 80.5098, 82.2481, 73.5716, 103.546, 86.9091,,3, 1, 0.978865, 1.0943, 0.77753, 0.926367,,3, 0,-0.0215914, 0.0861773,-0.286124,-0.0794854
num_try,491520,,4, 83.8529, 85.0694, 75.7549, 105.412, 87.8126,,4, 1, 0.985701, 1.1069, 0.795479, 0.954908,,4, 0,-0.0145069, 0.0965748,-0.257104,-0.047221
align,0,,5, 88.5666, 91.3732, 77.7541, 107.511, 93.429,,5, 1, 0.969284, 1.13906, 0.823792, 0.947956,,5, 0,-0.0316892, 0.122083,-0.213898,-0.0549007
baseline,0,,6, 93.8298, 96.5419, 79.3034, 109.342, 98.0835,,6, 1, 0.971907, 1.18317, 0.858129, 0.956632,,6, 0,-0.0289048, 0.154816,-0.165326,-0.0453344
rand,1,,7, 91.3056, 94.4303, 81.5294, 111.453, 99.9257,,7, 1, 0.966911, 1.11991, 0.819231, 0.913735,,7, 0,-0.0342219, 0.107072,-0.220657,-0.0944093
rand_align,0,,8, 95.2476, 98.8039, 83.7387, 112.978, 102.688,,8, 1, 0.964006, 1.13744, 0.843059, 0.927545,,8, 0,-0.0373376, 0.120831,-0.186156,-0.078115
seed,0,,9, 100.02, 104.408, 85.8163, 115.108, 105.202,,9, 1, 0.957968, 1.16551, 0.868919, 0.950743,,9, 0,-0.0438758, 0.142007,-0.150855,-0.0518086
testmask,0,,10, 105.058, 108.865, 87.299, 117.391, 108.824,,10, 1, 0.965033, 1.20343, 0.894941, 0.965397,,10, 0,-0.0362343, 0.169043,-0.117392,-0.0358431
clock,500,,11, 102.386, 107.169, 89.7607, 119.511, 110.218,,11, 1, 0.955365, 1.14065, 0.856703, 0.928942,,11, 0,-0.0467203, 0.123309,-0.167265,-0.0764938
=====,,,12, 109.706, 112.512, 91.9157, 121.4, 107.848,,12, 1, 0.975065, 1.19356, 0.903679, 1.01723,,12, 0,-0.0255731, 0.162168,-0.106588, 0.016939
Totals:,,,13, 114.132, 117.008, 93.999, 123.583, 111.426,,13, 1, 0.975425, 1.21419, 0.923529, 1.02429,,13, 0,-0.0251944, 0.176403,-0.0828032, 0.0237152
total_bytes, 8256,,14, 119.284, 121.542, 95.4784, 125.527, 115.044,,14, 1, 0.981422, 1.24933, 0.950264, 1.03685,,14, 0,-0.0189293, 0.199568,-0.0523392, 0.0355388
best_test,lx_5a_r2,,15, 114.823, 117.324, 97.6774, 127.334, 115.55,,15, 1, 0.978679, 1.17553, 0.901746, 0.993705,,15, 0,-0.021785, 0.149322,-0.10896,-0.00633524
best_total, 31312,,16, 117.513, 120.849, 99.8765, 129.228, 121.155,,16, 1, 0.972391, 1.17658, 0.909345, 0.969938,,16, 0,-0.0283927, 0.150078,-0.0996932,-0.0309935
worst_test,lxus,,17, 122.208, 125.308, 101.893, 131.458, 125.437,,17, 1, 0.975259, 1.19938, 0.929634, 0.974257,,17, 0,-0.0253691, 0.166233,-0.075692,-0.0264228
worst_total, 35082.3,,18, 127.019, 129.997, 103.283, 133.861, 130.289,,18, 1, 0.977097, 1.22982, 0.948888, 0.974903,,18, 0,-0.0234398, 0.186873,-0.0538653,-0.0257434
