name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,3, 106.376, 105.587, 84.0849, 105.122, 106.506,,3, 1, 1.00748, 1.26511, 1.01193, 0.998786,,3, 0, 0.00742114, 0.209553, 0.0117892,-0.00121583
start,3,,36, 222.858, 203.712, 190.433, 206.744, 203.183,,36, 1, 1.09399, 1.17027, 1.07794, 1.09683,,36, 0, 0.0859121, 0.145497, 0.0723047, 0.0882831
end,2049,,69, 332.094, 290.65, 297.809, 303.26, 285.909,,69, 1, 1.14259, 1.11513, 1.09508, 1.16154,,69, 0, 0.124799, 0.103242, 0.0868274, 0.139072
incr,33,,102, 442.514, 375.282, 404.01, 399.055, 369.288,,102, 1, 1.17915, 1.09531, 1.1089, 1.19829,,102, 0, 0.151933, 0.0870128, 0.0982091, 0.165479
num_try,61440,,135, 552.847, 460.742, 510.144, 496.525, 453.001,,135, 1, 1.19991, 1.08371, 1.11343, 1.22041,,135, 0, 0.166602, 0.0772409, 0.101877, 0.180603
align,31,,168, 661.373, 551.042, 621.46, 602.172, 541.579,,168, 1, 1.20022, 1.06423, 1.09831, 1.22119,,168, 0, 0.166822, 0.0603493, 0.0895121, 0.181129
baseline,0,,201, 772.823, 640.211, 727.276, 698.323, 626.842,,201, 1, 1.20714, 1.06263, 1.10668, 1.23288,,201, 0, 0.171594, 0.0589358, 0.0963992, 0.188893
rand,1,,234, 882.492, 728.204, 833.207, 796.386, 714.281,,234, 1, 1.21187, 1.05915, 1.10812, 1.2355,,234, 0, 0.174832, 0.0558478, 0.097571, 0.190609
rand_align,1,,267, 991.09, 818.01, 942.99, 893.632, 797.197,,267, 1, 1.21159, 1.05101, 1.10906, 1.24322,,267, 0, 0.174636, 0.0485319, 0.0983335, 0.195636
seed,0,,300, 1100.62, 903.908, 1046.81, 987.241, 885.47,,300, 1, 1.21763, 1.05141, 1.11485, 1.24298,,300, 0, 0.178732, 0.0488988, 0.103017, 0.195484
testmask,0,,333, 1211.71, 991.962, 1155.79, 1083.7, 970.37,,333, 1, 1.22153, 1.04838, 1.11812, 1.24871,,333, 0, 0.181354, 0.0461484, 0.10564, 0.199173
clock,500,,366, 1321.75, 1075.87, 1264.3, 1180.98, 1053.41,,366, 1, 1.22854, 1.04544, 1.1192, 1.25474,,366, 0, 0.186025, 0.0434616, 0.106504, 0.20302
=====,,,399, 1431.23, 1164.18, 1369.18, 1278.55, 1135.34,,399, 1, 1.22938, 1.04532, 1.11941, 1.26061,,399, 0, 0.186582, 0.0433515, 0.106673, 0.206733
Totals:,,,432, 1541.09, 1251.18, 1476.23, 1375.31, 1223.94,,432, 1, 1.23171, 1.04394, 1.12054, 1.25913,,432, 0, 0.188119, 0.0420893, 0.10757, 0.205798
